"SystemTime","x","y","z"
"Y_VEC-ACC: ","1533402528249","0.5527636","-0.50842434","-0.66027045"
"Y_VEC-ACC: ","1533402528249","0.211212","-0.6072602","-0.76591414"
"Y_VEC-ACC: ","1533402558256","-0.99153155","-0.12089483","-0.0474299"
"Y_VEC-ACC: ","1533402558258","-0.80993336","-0.47695464","-0.34135357"
"Y_VEC-ACC: ","1533402558259","-0.7539652","-0.49726865","-0.42925557"
"Y_VEC-DECC: ","1533402738249","0.14082795","0.5597131","0.81663257"
"Y_VEC-DECC: ","1533402738251","-0.016263561","0.6088526","0.7931166"
"Y_VEC-DECC: ","1533402768246","-0.8931957","0.3078794","0.32773724"
"Y_VEC-DECC: ","1533402768247","-0.8350526","0.35824233","0.41755193"
"Y_VEC-DECC: ","1533402768248","-0.7649737","0.41516778","0.49239314"
"Y_VEC-DECC: ","1533402768251","-0.8698197","0.3425073","0.35510907"
"Y_VEC-DECC: ","1533402768257","-0.43497202","0.47843862","0.76282096"
"Y_VEC-DECC: ","1533402768259","0.014186704","0.5259583","0.85039204"
"Z_VEC: ","1533402798253","0.019643662","-0.73799217","0.6745233"
"Z_VEC: ","1533402798254","0.018939164","-0.74026763","0.6720455"
"Z_VEC: ","1533402798255","0.018388057","-0.741627","0.6705604"
"Z_VEC: ","1533402798255","0.018059164","-0.7424025","0.6697107"
"Z_VEC: ","1533402798259","0.018005103","-0.74299973","0.66904944"
"Z_VEC: ","1533402798260","0.017917601","-0.7433803","0.66862893"
"Z_VEC: ","1533402798261","0.01792605","-0.7435909","0.6683945"
"Z_VEC: ","1533402798262","0.017954368","-0.7436015","0.6683819"
"Z_VEC: ","1533402798263","0.01808743","-0.7436578","0.6683157"
"Z_VEC: ","1533402798264","0.018000888","-0.7436334","0.6683453"
"Z_VEC: ","1533402798266","0.018029977","-0.7437199","0.66824824"
"Z_VEC: ","1533402798266","0.018061984","-0.74373406","0.66823155"
"Z_VEC: ","1533402798267","0.017989296","-0.7436777","0.6682963"
"Z_VEC: ","1533402798275","0.018065674","-0.74379426","0.6681645"
"Z_VEC: ","1533402798278","0.018040057","-0.74371374","0.66825473"
"Z_VEC: ","1533402798279","0.018079113","-0.7438504","0.6681016"
"Z_VEC: ","1533402798280","0.017900199","-0.7439615","0.6679827"
"Z_VEC: ","1533402798280","0.017727258","-0.7438901","0.6680668"
"Z_VEC: ","1533402798283","0.017785741","-0.7438101","0.6681543"
"Z_VEC: ","1533402798283","0.017870286","-0.7438823","0.6680717"
"Z_VEC: ","1533402798284","0.01787769","-0.74394816","0.66799814"
"Z_VEC: ","1533402798285","0.017800488","-0.7438552","0.66810375"
"Z_VEC: ","1533402798287","0.017676188","-0.74395615","0.6679946"
"Z_VEC: ","1533402798289","0.017709358","-0.7440608","0.66787714"
"Z_VEC: ","1533402798290","0.01772011","-0.743977","0.66797024"
"Z_VEC: ","1533402798290","0.017669717","-0.7439449","0.6680073"
"Z_VEC: ","1533402798291","0.017696185","-0.7438904","0.6680673"
"Z_VEC: ","1533402798292","0.01768371","-0.7438367","0.6681274"
"Z_VEC: ","1533402798292","0.017788567","-0.74393237","0.6680181"
"Z_VEC: ","1533402798293","0.017781844","-0.7439066","0.66804695"
"Z_VEC: ","1533402798293","0.017881544","-0.74385655","0.66810006"
"Z_VEC: ","1533402798294","0.017922906","-0.74386835","0.6680858"
"Z_VEC: ","1533402798295","0.01802346","-0.7438339","0.66812146"
"Z_VEC: ","1533402798297","0.018101273","-0.7438061","0.6681503"
"Z_VEC: ","1533402798298","0.017896323","-0.7438218","0.6681384"
"Z_VEC: ","1533402798299","0.017923255","-0.74393106","0.66801596"
"Z_VEC: ","1533402798299","0.017981475","-0.7439738","0.6679668"
"Z_VEC: ","1533402798300","0.018037286","-0.74390566","0.66804117"
"Z_VEC: ","1533402798300","0.017995244","-0.7438613","0.66809165"
"Z_VEC: ","1533402798301","0.018084299","-0.74387413","0.668075"
"Z_VEC: ","1533402798302","0.018207213","-0.74396515","0.66797036"
"Z_VEC: ","1533402798302","0.018108167","-0.7439011","0.6680443"
"Z_VEC: ","1533402798302","0.018130008","-0.7438024","0.66815364"
"Z_VEC: ","1533402798303","0.018176815","-0.74374425","0.6682171"
"Z_VEC: ","1533402798303","0.01818714","-0.7438686","0.6680784"
"Z_VEC: ","1533402798303","0.018093934","-0.74376523","0.66819596"
"Z_VEC: ","1533402798304","0.018110655","-0.7437513","0.66821104"
"Z_VEC: ","1533402798304","0.018010443","-0.7438122","0.668146"
"Z_VEC: ","1533402798304","0.018000644","-0.7438148","0.6681433"
"Z_VEC: ","1533402798305","0.017969044","-0.7437391","0.66822845"
"Z_VEC: ","1533402798305","0.017836165","-0.74386084","0.66809654"
"Z_VEC: ","1533402798306","0.017742695","-0.7438864","0.66807055"
"Z_VEC: ","1533402798307","0.017548164","-0.74390274","0.66805744"
"Z_VEC: ","1533402798307","0.017428568","-0.74388975","0.6680751"
"Z_VEC: ","1533402798307","0.017414559","-0.7438611","0.66810733"
"Z_VEC: ","1533402798308","0.017551944","-0.74388677","0.6680752"
"Z_VEC: ","1533402798315","0.017563595","-0.74383676","0.6681305"
"Z_VEC: ","1533402798315","0.017573442","-0.74378777","0.6681848"
"Z_VEC: ","1533402798316","0.017673582","-0.7437877","0.66818225"
"Z_VEC: ","1533402828247","0.017718973","-0.74396944","0.66797864"
"Z_VEC: ","1533402828247","0.017694633","-0.7440302","0.66791165"
"Z_VEC: ","1533402828248","0.017694894","-0.7440198","0.6679233"
"Z_VEC: ","1533402828248","0.017701305","-0.7439909","0.6679553"
"Z_VEC: ","1533402828249","0.017741818","-0.74393815","0.6680129"
"Z_VEC: ","1533402828249","0.017777894","-0.7439114","0.66804177"
"Z_VEC: ","1533402828249","0.017805334","-0.7439486","0.6679996"
"Z_VEC: ","1533402828250","0.017765671","-0.74380684","0.6681585"
"Z_VEC: ","1533402828250","0.01772321","-0.74374187","0.66823196"
"Z_VEC: ","1533402828251","0.01781711","-0.7438118","0.6681516"
"Z_VEC: ","1533402828251","0.017943807","-0.74387443","0.6680785"
"Z_VEC: ","1533402828252","0.018083073","-0.74390215","0.66804385"
"Z_VEC: ","1533402828253","0.01808296","-0.74399763","0.6679375"
"Z_VEC: ","1533402828254","0.017999168","-0.7440403","0.6678922"
"Z_VEC: ","1533402828254","0.017827284","-0.7440691","0.6678648"
"Z_VEC: ","1533402828255","0.01771602","-0.7441834","0.66774035"
"Z_VEC: ","1533402828255","0.017495014","-0.7441409","0.6677935"
"Z_VEC: ","1533402828255","0.017317573","-0.74413216","0.66780794"
"Z_VEC: ","1533402828256","0.01731892","-0.7441206","0.6678208"
"Z_VEC: ","1533402828256","0.01753945","-0.74422145","0.6677026"
"Z_VEC: ","1533402828256","0.01765934","-0.7445003","0.66738856"
"Z_VEC: ","1533402828258","0.016992591","-0.74560875","0.66616726"
"Z_VEC: ","1533402828258","0.01646515","-0.7462741","0.6654351"
"Z_VEC: ","1533402828259","0.016913833","-0.74535346","0.6664549"
"Z_VEC: ","1533402828259","0.017257364","-0.74479157","0.66707397"
"Z_VEC: ","1533402828259","0.017513959","-0.7442939","0.6676225"
"Z_VEC: ","1533402828260","0.01762722","-0.7440677","0.6678716"
"Z_VEC: ","1533402828260","0.017564818","-0.74398607","0.6679642"
"Z_VEC: ","1533402828260","0.017658772","-0.7438448","0.668119"
"Z_VEC: ","1533402828261","0.017687216","-0.74380267","0.6681652"
"Z_VEC: ","1533402828261","0.017693374","-0.74390084","0.6680558"
"Z_VEC: ","1533402828262","0.017607305","-0.7439869","0.66796213"
"Z_VEC: ","1533402828263","0.017445313","-0.7440161","0.6679339"
"Z_VEC: ","1533402828264","0.017568253","-0.74399275","0.6679567"
"Z_VEC: ","1533402828264","0.017642383","-0.7440572","0.667883"
"Z_VEC: ","1533402828265","0.017717058","-0.74401265","0.6679306"
"Z_VEC: ","1533402828265","0.017868442","-0.74409574","0.667834"
"Z_VEC: ","1533402828265","0.017850233","-0.74413157","0.6677946"
"Z_VEC: ","1533402828266","0.017814886","-0.74409443","0.6678369"
"Z_VEC: ","1533402828266","0.017721515","-0.7440068","0.667937"
"Z_VEC: ","1533402828267","0.017820159","-0.74407554","0.6678578"
"Z_VEC: ","1533402828268","0.017866056","-0.7441869","0.66773254"
"Z_VEC: ","1533402828268","0.017805744","-0.744214","0.66770387"
"Z_VEC: ","1533402828269","0.01774919","-0.744058","0.66787916"
"Z_VEC: ","1533402828269","0.01782891","-0.7440759","0.66785717"
"Z_VEC: ","1533402828269","0.017876886","-0.744107","0.6678212"
"Z_VEC: ","1533402828270","0.0179835","-0.74412626","0.6677969"
"Z_VEC: ","1533402828270","0.018000579","-0.74403816","0.6678946"
"Z_VEC: ","1533402828270","0.017926391","-0.74397045","0.667972"
"Z_VEC: ","1533402828271","0.01769944","-0.74393857","0.6680136"
"Z_VEC: ","1533402828271","0.017732678","-0.744005","0.6679387"
"Z_VEC: ","1533402828272","0.01785211","-0.74402446",
