"timestamp","RPM","Speed","AirFuelRatio","ThrottlePosition","MassAirFlow","FuelLevel"
"1533402452051","1666","0","14841","192","1394","741"
"1533402453643","1724","0","14841","192","1384","741"
"1533402454638","1685","0","14841","192","1407","741"
"1533402455224","1643","0","14851","192","1417","741"
"1533402455725","1648","0","14851","192","1434","741"
"1533402456249","1489","0","14631","176","978","741"
"1533402456597","1258","0","14631","176","1042","741"
"1533402456999","1031","2","14631","173","928","741"
"1533402457337","1082","3","14631","173","914","741"
"1533402457730","1059","4","14631","165","786","741"
"1533402458287","1061","5","14631","161","719","741"
"1533402458709","1020","6","14631","161","756","741"
"1533402459159","977","6","14631","165","762","741"
"1533402459563","996","7","14631","161","733","741"
"1533402459987","1013","7","14631","161","729","741"
"1533402460405","1012","7","14631","161","725","741"
"1533402460818","1014","7","14631","161","696","741"
"1533402461191","993","7","14631","161","701","741"
"1533402461655","1002","7","14631","161","696","741"
"1533402462056","1015","7","14631","161","673","741"
"1533402462443","1003","7","14631","161","668","741"
"1533402462834","985","7","14631","161","683","733"
"1533402463224","989","7","14631","161","698","733"
"1533402463608","995","7","14631","161","683","733"
"1533402464012","1014","8","14631","157","668","733"
"1533402464453","1023","8","14631","157","645","733"
"1533402464842","1022","8","14631","165","788","733"
"1533402465236","1015","8","14631","161","705","733"
"1533402465626","1006","8","14631","165","774","733"
"1533402466001","968","8","14631","165","758","733"
"1533402466386","977","8","14631","165","743","733"
"1533402466785","970","8","14631","165","758","733"
"1533402467176","977","8","14631","165","766","733"
"1533402467566","985","8","14631","165","766","733"
"1533402467960","988","7","14631","165","782","733"
"1533402468335","992","7","14631","165","772","733"
"1533402468731","984","7","14631","165","791","733"
"1533402469134","982","6","14631","165","809","733"
"1533402469544","990","6","14631","165","801","733"
"1533402469909","989","6","14631","165","811","733"
"1533402470310","996","5","14631","165","816","733"
"1533402470703","991","5","14631","165","824","733"
"1533402471113","989","5","14631","165","789","733"
"1533402471521","999","5","14631","165","793","733"
"1533402471907","984","4","14631","165","811","733"
"1533402472341","974","4","14631","169","824","733"
"1533402472737","980","4","14631","169","879","733"
"1533402473166","1006","4","14631","161","758","733"
"1533402473553","969","4","14631","165","760","733"
"1533402473958","975","5","14631","165","754","733"
"1533402474371","968","5","14631","161","731","733"
"1533402474753","971","6","14631","161","719","733"
"1533402475151","965","6","14631","161","723","792"
"1533402475558","973","7","14631","161","694","792"
"1533402475956","966","7","14631","161","707","792"
"1533402476390","960","7","14631","161","664","792"
"1533402476821","964","8","14631","161","670","792"
"1533402477207","951","8","14631","157","647","792"
"1533402477607","939","8","14631","157","636","792"
"1533402478001","938","8","14631","157","613","792"
"1533402478397","930","8","14631","157","609","792"
"1533402478812","938","8","14631","157","603","792"
"1533402479241","933","8","14631","157","597","792"
"1533402479664","940","9","14631","157","584","792"
"1533402480051","941","9","14631","157","587","792"
"1533402480419","945","9","14631","157","664","792"
"1533402480793","953","9","14631","165","791","792"
"1533402481187","1037","9","14631","169","879","792"
"1533402481581","1188","9","14631","169","881","792"
"1533402481952","1220","10","14631","165","772","792"
"1533402482355","1156","10","14631","161","694","792"
"1533402482772","1122","10","14631","161","721","792"
"1533402483156","1119","10","14631","165","784","792"
"1533402483553","1120","10","14631","161","729","792"
"1533402483932","1139","10","14631","165","749","792"
"1533402484368","1167","11","14631","161","725","792"
"1533402484773","1161","11","14631","161","664","792"
"1533402485136","1146","11","14631","157","580","792"
"1533402485577","1100","11","14631","153","567","792"
"1533402485940","1061","11","14631","153","559","792"
"1533402486370","1068","11","14631","157","554","792"
"1533402486803","1024","11","14631","157","562","792"
"1533402487196","981","11","14631","157","593","710"
"1533402487611","981","11","14631","157","580","710"
"1533402488090","989","11","14631","157","578","710"
"1533402488554","998","11","14631","157","578","710"
"1533402489131","991","11","14631","157","576","710"
"1533402489579","1002","11","14631","157","567","710"
"1533402489981","1002","11","14631","157","567","710"
"1533402490412","1002","11","14631","157","576","710"
"1533402490840","991","11","14631","157","591","710"
"1533402491227","977","10","14631","157","574","710"
"1533402491670","962","10","14631","157","593","710"
"1533402492103","939","9","14631","157","595","710"
"1533402492507","937","9","14631","157","601","710"
"1533402492922","947","9","14631","157","615","710"
"1533402493312","966","9","14631","157","603","710"
"1533402493672","971","9","14631","157","609","710"
"1533402494049","979","9","14631","157","613","710"
"1533402494431","972","9","14631","161","662","710"
"1533402494839","959","8","14631","161","675","710"
"1533402495231","958","8","14631","161","666","710"
"1533402495623","978","8","14631","161","677","710"
"1533402496013","978","8","14631","161","675","710"
"1533402496410","979","8","14631","161","705","710"
"1533402496787","1002","9","14631","161","666","710"
"1533402497169","1039","9","14631","157","617","710"
"1533402497563","1056","10","14631","157","846","710"
"1533402497961","1084","11","14631","180","1135","710"
"1533402498334","1358","11","14621","188","1213","710"
"1533402498704","1436","12","14621","176","1075","710"
"1533402499062","1358","13","14631","180","1019","710"
"1533402499429","1339","14","14621","180","1039","725"
"1533402499800","1189","15","14621","173","923","725"
"1533402500178","1163","15","14611","157","613","725"
"1533402500596","1170","15","14641","153","489","725"
"1533402500988","1151","15","14651","149","433","725"
"1533402501366","1002","15","14631","149","469","725"
"1533402501805","921","14","14631","149","448","725"
"1533402502174","909","12","14631","149","448","725"
"1533402502594","894","11","14631","149","455","725"
"1533402502990","862","9","14631","149","458","725"
"1533402503359","812","8","14631","149","459","725"
"1533402503782","768","6","14631","145","429","725"
"1533402504173","699","6","14621","149","451","725"
"1533402504581","684","5","14631","153","642","725"
"1533402505015","778","6","14631","188","1270","725"
"1533402505417","1157","6","14621","200","1417","725"
"1533402505813","1501","8","14611","200","1480","725"
"1533402506215","1538","10","14621","192","1317","725"
"1533402506601","1491","11","14621","180","1083","725"
"1533402507003","1398","12","14631","184","1171","725"
"1533402507392","1401","13","14631","188","1230","725"
"1533402507795","1400","13","14621","184","1210","725"
"1533402508262","1315","15","14621","184","1176","725"
"1533402508751","1228","16","14621","188","1171","725"
"1533402509269","1197","17","14631","192","1300","725"
"1533402509683","1222","17","14641","192","1179","725"
"1533402510097","1224","18","14621","192","1158","725"
"1533402510505","1223","19","14631","184","1086","725"
"1533402510901","1197","20","14631","204","1280","725"
"1533402511282","1207","21","14631","196","1270","725"
"1533402511730","1248","23","14631","200","1307","741"
"1533402512107","1239","24","14631","196","1267","741"
"1533402512514","1256","25","14631","204","1347","741"
"1533402512917","1247","26","14631","208","1410","741"
"1533402513314","1254","27","14631","204","1384","741"
"1533402513736","1244","28","14631","196","1247","741"
"1533402514138","1215","29","14631","176","946","741"
"1533402514555","1178","30","14651","157","632","741"
"1533402514969","1150","30","14641","153","554","741"
"1533402515355","1142","31","14641","157","634","741"
"1533402515761","1140","31","14631","161","707","741"
"1533402516161","1151","31","14631","161","713","741"
"1533402516551","1141","31","14631","161","778","741"
"1533402516953","1149","31","14631","176","1062","741"
"1533402517314","1170","32","14631","180","1075","741"
"1533402517697","1152","32","14631","180","1073","741"
"1533402518097","1177","32","14631","184","1122","741"
"1533402518468","1170","33","14631","176","985","741"
"1533402518873","1147","33","14631","176","971","741"
"1533402519246","1155","33","14631","173","923","741"
"1533402519629","1161","33","14631","169","890","741"
"1533402520089","1158","33","14631","173","932","741"
"1533402520567","1152","34","14631","184","1091","741"
"1533402520974","1159","34","14631","180","1078","741"
"1533402521391","1162","34","14631","184","1073","741"
"1533402521785","1165","34","14631","180","1033","741"
"1533402522194","1167","35","14631","184","1088","741"
"1533402522582","1164","35","14631","176","987","741"
"1533402522997","1161","35","14631","176","973","741"
"1533402523373","1163","35","14631","176","964","741"
"1533402523767","1153","36","14631","161","723","741"
"1533402524174","1142","36","14631","169","896","690"
"1533402524580","1141","36","14651","173","987","690"
"1533402524966","1153","36","14641","173","934","690"
"1533402525350","1154","36","14631","173","966","690"
"1533402525790","1163","36","14631","176","1010","690"
"1533402526169","1162","36","14631","176","1003","690"
"1533402526561","1156","36","14631","169","791","690"
"1533402526980","1155","37","14631","153","553","690"
"1533402527348","1196","36","14661","153","478","690"
"1533402527754","1215","36","14651","141","320","690"
"1533402528334","1209","36","14701","141","318","690"
"1533402528794","1214","35","14701","145","368","690"
"1533402529321","1253","34","14701","145","337","690"
"1533402529773","1223","34","14701","137","296","690"
"1533402530154","1247","33","14701","141","312","690"
"1533402530543","1234","33","14701","141","328","690"
"1533402530921","1243","33","14701","157","528","690"
"1533402531341","1228","32","14701","173","898","690"
"1533402531726","1238","32","13331","153","525","690"
"1533402532115","1222","32","13331","149","434","690"
"1533402532528","1220","32","14701","145","416","690"
"1533402532922","1251","32","14701","137","296","690"
"1533402533321","1220","31","14701","149","406","690"
"1533402533727","1231","30","14701","145","398","690"
"1533402534147","1237","30","14701","145","387","690"
"1533402534536","1208","29","14701","145","391","690"
"1533402534930","1227","28","14701","153","513","690"
"1533402535326","1267","27","14701","153","500","690"
"1533402535753","1197","27","13331","153","519","690"
"1533402536138","1220","27","13331","161","645","690"
"1533402536541","1206","26","13331","157","551","729"
"1533402536952","1175","26","13331","153","492","729"
"1533402537361","1206","26","13331","145","376","729"
"1533402537735","1231","25","13331","149","435","729"
"1533402538118","1201","24","13331","157","565","729"
"1533402538491","1193","24","13331","153","472","729"
"1533402538899","1189","24","13341","145","417","729"
"1533402539314","1095","24","14411","153","522","729"
"1533402539719","1099","23","14701","169","801","729"
"1533402540139","1281","23","14651","173","919","729"
"1533402540540","1332","24","14641","180","1247","729"
"1533402540964","1425","24","14631","188","1315","729"
