"timestamp","sys_time","abs_timestamp","raw_x_lin_acc","raw_y_lin_acc","raw_z_lin_acc"
"0.0","1529263880674","256608718786589","-2.5970247","-0.20654368","-2.7684317"
"5.0","1529263880679","256608723821989","-2.556465","-0.26070428","-2.6809616"
"9.0","1529263880684","256608728704802","-2.4208462","-0.27177417","-2.5412006"
"14.0","1529263880688","256608733618132","-2.3931093","-0.22678208","-2.2008448"
"20.0","1529263880694","256608738958708","-2.3090286","-0.22487068","-1.9527845"
"24.0","1529263880698","256608743505827","-2.222093","-0.22405946","-1.789465"
"29.0","1529263880703","256608748449675","-2.169603","-0.17129135","-1.653842"
"34.0","1529263880708","256608753393523","-2.1531405","-0.19880724","-1.5683861"
"39.0","1529263880713","256608758337370","-2.1526098","-0.21627879","-1.4970493"
"44.0","1529263880718","256608763281218","-2.1324885","-0.26572382","-1.3186178"
"49.0","1529263880724","256608768591276","-2.141378","-0.29400992","-1.1771231"
"54.0","1529263880728","256608773168913","-2.1440463","-0.37805843","-1.0696306"
"59.0","1529263880733","256608778112761","-2.1419923","-0.3776449","-0.9227724"
"64.0","1529263880738","256608783056608","-2.116516","-0.54291177","-0.93534756"
"69.0","1529263880745","256608788000456","-2.0768676","-0.5465076","-0.8687773"
"74.0","1529263880748","256608792944304","-2.027437","-0.54786456","-0.7946577"
"79.0","1529263880754","256608798254362","-1.9307332","-0.52462184","-0.6872959"
"84.0","1529263880760","256608802801482","-1.8313041","-0.48831785","-0.76248837"
"88.0","1529263880763","256608807775847","-1.7401167","-0.5355885","-0.8575554"
"93.0","1529263880767","256608812689177","-1.6520642","-0.5093818","-0.9561033"
"98.0","1529263880772","256608817633024","-1.627833","-0.5348532","-1.0907927"
"103.0","1529263880777","256608822576872","-1.52646","-0.46134233","-1.0904493"
"109.0","1529263880784","256608827917448","-1.4614503","-0.42914402","-1.0508661"
"113.0","1529263880792","256608832464567","-1.3871477","-0.2713375","-1.0710936"
"118.0","1529263880793","256608837408415","-1.1709018","-0.18184817","-1.2715015"
"123.0","1529263880798","256608842352263","-1.0868614","-0.08132732","-1.1766491"
"128.0","1529263880804","256608847296110","-1.034721","0.0045439005","-1.2150145"
"133.0","1529263880810","256608852239958","-0.93912137","0.06675136","-1.1362667"
"138.0","1529263880813","256608857550017","-0.88921046","0.12179661","-1.0406132"
"143.0","1529263880817","256608862127653","-0.83932495","0.13551533","-0.92817307"
"148.0","1529263880823","256608867071501","-0.8345103","0.14738047","-0.94911003"
"153.0","1529263880829","256608872015349","-0.88399804","0.12455821","-0.7521286"
"158.0","1529263880834","256608876959196","-0.92840254","0.11890459","-0.80449295"
"163.0","1529263880837","256608881903044","-0.97735226","0.054989457","-0.73668575"
"168.0","1529263880843","256608887213103","-1.0258112","-0.0057053566","-0.71223164"
"173.0","1529263880847","256608891790739","-1.0613999","-0.063115716","-0.68105984"
"177.0","1529263880854","256608896734587","-1.1299709","-0.1457175","-0.5377865"
"182.0","1529263880856","256608901678435","-1.1188378","-0.18269527","-0.5795679"
"187.0","1529263880864","256608906622282","-1.1484984","-0.23572898","-0.49171734"
"192.0","1529263880866","256608911535612","-1.2062831","-0.29277956","-0.36056042"
"198.0","1529263880875","256608916876189","-1.3097521","-0.3137951","-0.2360506"
"202.0","1529263880877","256608921423308","-1.3086134","-0.32462215","-0.2636652"
"207.0","1529263880885","256608926367155","-1.3672147","-0.3185395","-0.3287592"
"212.0","1529263880887","256608931311003","-1.3606935","-0.32844746","-0.2617197"
"217.0","1529263880891","256608936254851","-1.2901844","-0.38242018","-0.2591896"
"222.0","1529263880897","256608941198698","-1.2272002","-0.37434244","-0.24273682"
"227.0","1529263880904","256608946539274","-1.1709296","-0.31918228","-0.17026997"
"232.0","1529263880906","256608951086394","-1.1658642","-0.26248503","-0.16207981"
"237.0","1529263880912","256608956030241","-1.0794356","-0.23457539","-0.24820328"
