system_time,timestamp,lat,lon,speed,bearing
1970-01-01 00:00:08.800,1508813142293.0,43.00384848113872,-78.78813112418696,2.2969356,0.0
1970-01-01 00:00:08.900,,,,,
1970-01-01 00:00:09.000,,,,,
1970-01-01 00:00:09.100,,,,,
1970-01-01 00:00:09.200,,,,,
1970-01-01 00:00:09.300,,,,,
1970-01-01 00:00:09.400,,,,,
1970-01-01 00:00:09.500,,,,,
1970-01-01 00:00:09.600,,,,,
1970-01-01 00:00:09.700,,,,,
1970-01-01 00:00:09.800,,,,,
1970-01-01 00:00:09.900,,,,,
1970-01-01 00:00:10.000,,,,,
1970-01-01 00:00:10.100,,,,,
1970-01-01 00:00:10.200,,,,,
1970-01-01 00:00:10.300,,,,,
1970-01-01 00:00:10.400,,,,,
1970-01-01 00:00:10.500,,,,,
1970-01-01 00:00:10.600,,,,,
1970-01-01 00:00:10.700,,,,,
1970-01-01 00:00:10.800,1508813144291.0,43.00387514983706,-78.78814177872003,2.6906903,0.0
1970-01-01 00:00:10.900,,,,,
1970-01-01 00:00:11.000,,,,,
1970-01-01 00:00:11.100,,,,,
1970-01-01 00:00:11.200,,,,,
1970-01-01 00:00:11.300,,,,,
1970-01-01 00:00:11.400,,,,,
1970-01-01 00:00:11.500,,,,,
1970-01-01 00:00:11.600,,,,,
1970-01-01 00:00:11.700,,,,,
1970-01-01 00:00:11.800,1508813145000.0,43.00389595985979,-78.78812828814728,3.5647433,0.0
1970-01-01 00:00:11.900,,,,,
1970-01-01 00:00:12.000,,,,,
1970-01-01 00:00:12.100,,,,,
1970-01-01 00:00:12.200,,,,,
1970-01-01 00:00:12.300,,,,,
1970-01-01 00:00:12.400,,,,,
1970-01-01 00:00:12.500,1508813146000.0,43.003919517983455,-78.78813719513585,4.034836,0.0
1970-01-01 00:00:12.600,,,,,
1970-01-01 00:00:12.700,,,,,
1970-01-01 00:00:12.800,,,,,
1970-01-01 00:00:12.900,,,,,
1970-01-01 00:00:13.000,,,,,
1970-01-01 00:00:13.100,,,,,
1970-01-01 00:00:13.200,,,,,
1970-01-01 00:00:13.300,,,,,
1970-01-01 00:00:13.400,,,,,
1970-01-01 00:00:13.500,1508813147000.0,43.00395678470255,-78.78827460309122,4.9011545,334.77716000000004
1970-01-01 00:00:13.600,,,,,
1970-01-01 00:00:13.700,,,,,
1970-01-01 00:00:13.800,,,,,
1970-01-01 00:00:13.900,,,,,
1970-01-01 00:00:14.000,,,,,
1970-01-01 00:00:14.100,,,,,
1970-01-01 00:00:14.200,,,,,
1970-01-01 00:00:14.300,,,,,
1970-01-01 00:00:14.400,,,,,
1970-01-01 00:00:14.500,1508813148000.0,43.00401200276786,-78.78830544640272,5.341284,322.3885
1970-01-01 00:00:14.600,,,,,
1970-01-01 00:00:14.700,,,,,
1970-01-01 00:00:14.800,,,,,
1970-01-01 00:00:14.900,,,,,
1970-01-01 00:00:15.000,,,,,
1970-01-01 00:00:15.100,,,,,
1970-01-01 00:00:15.200,,,,,
1970-01-01 00:00:15.300,,,,,
1970-01-01 00:00:15.400,,,,,
1970-01-01 00:00:15.500,1508813149000.0,43.004056423961174,-78.78834148096377,6.2324133,307.86047
