sys_time,RPM,Speed
1970-01-01 00:00:00,1851.0RPM,0.0km/h
1970-01-01 00:00:00.830000,1824.0RPM,0.0km/h
1970-01-01 00:00:01.400000,1836.0RPM,0.0km/h
1970-01-01 00:00:01.580000,1815.0RPM,0.0km/h
1970-01-01 00:00:01.790000,1811.0RPM,0.0km/h
1970-01-01 00:00:02.010000,1798.0RPM,0.0km/h
1970-01-01 00:00:02.190000,1804.0RPM,0.0km/h
1970-01-01 00:00:02.390000,1777.0RPM,0.0km/h
1970-01-01 00:00:02.550000,1780.0RPM,0.0km/h
1970-01-01 00:00:02.730000,1769.0RPM,0.0km/h
1970-01-01 00:00:02.880000,1775.0RPM,0.0km/h
1970-01-01 00:00:03.040000,1775.0RPM,0.0km/h
1970-01-01 00:00:03.190000,1774.0RPM,0.0km/h
1970-01-01 00:00:03.340000,1753.0RPM,0.0km/h
1970-01-01 00:00:03.500000,1708.0RPM,0.0km/h
1970-01-01 00:00:03.660000,1649.0RPM,0.0km/h
1970-01-01 00:00:03.780000,1562.0RPM,0.0km/h
1970-01-01 00:00:03.910000,1479.0RPM,0.0km/h
1970-01-01 00:00:04.010000,1379.0RPM,0.0km/h
1970-01-01 00:00:04.150000,1258.0RPM,0.0km/h
1970-01-01 00:00:04.260000,1203.0RPM,0.0km/h
1970-01-01 00:00:04.390000,1212.0RPM,0.0km/h
1970-01-01 00:00:04.480000,1224.0RPM,2.0km/h
1970-01-01 00:00:04.610000,1206.0RPM,2.0km/h
1970-01-01 00:00:04.700000,1169.0RPM,2.0km/h
1970-01-01 00:00:04.800000,1165.0RPM,3.0km/h
1970-01-01 00:00:04.930000,1159.0RPM,3.0km/h
1970-01-01 00:00:05.020000,1152.0RPM,3.0km/h
1970-01-01 00:00:05.140000,1142.0RPM,3.0km/h
1970-01-01 00:00:05.250000,1124.0RPM,4.0km/h
1970-01-01 00:00:05.380000,1149.0RPM,4.0km/h
1970-01-01 00:00:05.480000,1145.0RPM,4.0km/h
1970-01-01 00:00:05.580000,1155.0RPM,4.0km/h
1970-01-01 00:00:05.680000,1133.0RPM,5.0km/h
1970-01-01 00:00:05.770000,1140.0RPM,5.0km/h
1970-01-01 00:00:05.870000,1142.0RPM,5.0km/h
1970-01-01 00:00:05.960000,1147.0RPM,5.0km/h
1970-01-01 00:00:06.060000,1126.0RPM,5.0km/h
1970-01-01 00:00:06.170000,1122.0RPM,5.0km/h
1970-01-01 00:00:06.270000,1121.0RPM,6.0km/h
1970-01-01 00:00:06.400000,1109.0RPM,6.0km/h
1970-01-01 00:00:06.510000,1105.0RPM,6.0km/h
1970-01-01 00:00:06.610000,1090.0RPM,6.0km/h
1970-01-01 00:00:06.710000,1086.0RPM,6.0km/h
1970-01-01 00:00:06.810000,1084.0RPM,6.0km/h
1970-01-01 00:00:06.920000,1079.0RPM,7.0km/h
1970-01-01 00:00:07.020000,1072.0RPM,7.0km/h
1970-01-01 00:00:07.120000,1064.0RPM,7.0km/h
