timestamp,RPM,Speed
0,1851.0RPM,0.0km/h
800,1824.0RPM,0.0km/h
410,1825.5RPM,0.0km/h
610,1811.0RPM,0.0km/h
20,1801.0RPM,0.0km/h
220,1777.0RPM,0.0km/h
420,1780.0RPM,0.0km/h
620,1769.0RPM,0.0km/h
820,1775.0RPM,0.0km/h
30,1774.5RPM,0.0km/h
230,1753.0RPM,0.0km/h
430,1708.0RPM,0.0km/h
630,1605.5RPM,0.0km/h
830,1479.0RPM,0.0km/h
40,1318.5RPM,0.0km/h
240,1207.5RPM,0.0km/h
440,1224.0RPM,2.0km/h
640,1187.5RPM,2.0km/h
840,1162.0RPM,3.0km/h
50,1147.0RPM,3.0km/h
250,1136.5RPM,4.0km/h
450,1150.0RPM,4.0km/h
650,1136.5RPM,5.0km/h
850,1144.5RPM,5.0km/h
60,1124.0RPM,5.0km/h
260,1121.0RPM,6.0km/h
460,1107.0RPM,6.0km/h
660,1088.0RPM,6.0km/h
860,1081.5RPM,6.5km/h
70,1068.0RPM,7.0km/h
270,1061.0RPM,7.0km/h
470,1062.0RPM,7.0km/h
670,1071.0RPM,7.0km/h
870,1063.0RPM,8.0km/h
80,1063.0RPM,8.0km/h
280,1062.5RPM,8.0km/h
480,1051.5RPM,8.0km/h
680,1067.5RPM,8.0km/h
880,1070.5RPM,8.0km/h
90,1066.0RPM,9.0km/h
290,1063.0RPM,9.0km/h
490,1064.5RPM,9.0km/h
690,1072.0RPM,9.0km/h
890,1061.5RPM,9.0km/h
100,1052.5RPM,9.5km/h
300,1098.5RPM,10.0km/h
500,1297.5RPM,10.0km/h
700,1429.5RPM,10.5km/h
900,1466.0RPM,11.0km/h
110,1471.5RPM,11.0km/h
310,1482.0RPM,12.0km/h
510,1529.5RPM,13.0km/h
710,1535.5RPM,13.5km/h
910,1464.0RPM,14.0km/h
120,1415.0RPM,15.0km/h
320,1387.0RPM,15.5km/h
520,1356.0RPM,16.0km/h
720,1324.5RPM,17.0km/h
920,1290.5RPM,17.5km/h
130,1286.5RPM,18.5km/h
330,1307.0RPM,19.0km/h
530,1291.0RPM,20.0km/h
730,1259.0RPM,20.0km/h
930,1240.5RPM,21.0km/h
140,1244.5RPM,22.0km/h
340,1251.0RPM,22.5km/h
540,1259.0RPM,23.0km/h
740,1258.33333333RPM,23.6666666667km/h
940,1242.0RPM,24.0km/h
150,1241.0RPM,25.0km/h
350,1242.0RPM,25.0km/h
550,1233.0RPM,26.0km/h
750,1232.0RPM,26.5km/h
950,1225.5RPM,27.0km/h
160,1219.5RPM,27.5km/h
360,1211.5RPM,28.0km/h
560,1209.5RPM,28.5km/h
760,1206.0RPM,29.0km/h
960,1202.0RPM,29.0km/h
170,1199.0RPM,29.5km/h
370,1197.0RPM,30.0km/h
570,1192.5RPM,30.5km/h
770,1184.0RPM,31.0km/h
970,1175.5RPM,31.0km/h
180,1175.0RPM,31.5km/h
380,1201.5RPM,32.0km/h
580,1230.0RPM,32.0km/h
780,1233.5RPM,32.0km/h
980,1239.5RPM,32.5km/h
190,1241.5RPM,33.0km/h
390,1240.0RPM,33.0km/h
590,1244.0RPM,33.0km/h
790,1231.5RPM,33.0km/h
990,1236.5RPM,33.0km/h
200,1238.0RPM,32.0km/h
400,1232.0RPM,32.5km/h
600,1227.0RPM,32.0km/h
800,1224.5RPM,32.0km/h
1000,1225.0RPM,32.0km/h
210,1223.5RPM,32.0km/h
410,1229.5RPM,32.0km/h
610,1233.5RPM,32.0km/h
810,1231.5RPM,32.0km/h
1010,1227.5RPM,31.5km/h
220,1240.0RPM,31.0km/h
420,1251.0RPM,31.0km/h
620,1239.0RPM,31.0km/h
820,1230.5RPM,31.0km/h
1020,1240.0RPM,31.0km/h
230,1226.0RPM,30.0km/h
430,1229.0RPM,30.0km/h
630,1215.0RPM,29.0km/h
830,1209.5RPM,29.0km/h
1030,1213.5RPM,28.5km/h
240,1205.5RPM,28.0km/h
440,1215.0RPM,27.0km/h
640,1211.0RPM,26.3333333333km/h
840,1199.5RPM,25.5km/h
1040,1201.0RPM,25.0km/h
250,1184.0RPM,24.0km/h
450,1176.5RPM,22.5km/h
650,1188.5RPM,21.5km/h
850,1181.5RPM,20.0km/h
1050,1161.5RPM,19.5km/h
260,1148.0RPM,17.5km/h
460,1155.0RPM,16.0km/h
660,1183.0RPM,14.5km/h
860,1170.5RPM,13.5km/h
1060,1133.5RPM,12.5km/h
270,1123.0RPM,12.0km/h
470,1141.5RPM,12.0km/h
670,1164.5RPM,12.0km/h
870,1252.5RPM,12.0km/h
1070,1345.5RPM,13.0km/h
280,1376.5RPM,13.0km/h
480,1386.5RPM,13.5km/h
680,1425.0RPM,14.0km/h
880,1485.0RPM,14.0km/h
1080,1514.0RPM,14.5km/h
290,1547.5RPM,15.0km/h
490,1580.0RPM,16.0km/h
690,1598.0RPM,17.0km/h
890,1595.0RPM,17.5km/h
1090,1592.5RPM,18.5km/h
300,1595.0RPM,19.0km/h
500,1554.0RPM,20.0km/h
700,1512.5RPM,20.0km/h
900,1458.0RPM,21.0km/h
1100,1387.5RPM,22.0km/h
310,1330.0RPM,23.0km/h
510,1323.5RPM,23.5km/h
710,1329.0RPM,24.0km/h
910,1347.0RPM,24.5km/h
1110,1378.0RPM,26.0km/h
320,1413.5RPM,26.0km/h
520,1460.0RPM,27.0km/h
720,1484.0RPM,28.0km/h
920,1498.5RPM,29.0km/h
1120,1523.0RPM,29.5km/h
330,1538.0RPM,30.5km/h
530,1544.0RPM,31.0km/h
730,1544.5RPM,32.0km/h
930,1534.0RPM,32.5km/h
1130,1455.0RPM,33.0km/h
340,1388.0RPM,33.0km/h
540,1315.5RPM,33.0km/h
740,1272.5RPM,33.0km/h
940,1239.5RPM,34.0km/h
1140,1225.0RPM,33.0km/h
350,1215.0RPM,33.5km/h
550,1212.0RPM,33.0km/h
750,1209.5RPM,33.0km/h
950,1198.0RPM,33.0km/h
1150,1205.0RPM,33.0km/h
360,1205.5RPM,33.0km/h
560,1209.5RPM,33.0km/h
760,1224.0RPM,33.0km/h
960,1193.0RPM,33.0km/h
1160,1221.5RPM,32.0km/h
370,1209.5RPM,32.0km/h
570,1222.5RPM,32.0km/h
770,1204.0RPM,31.5km/h
970,1206.0RPM,31.0km/h
1170,1201.0RPM,31.0km/h
380,1203.5RPM,30.0km/h
580,1198.0RPM,29.0km/h
780,1191.5RPM,28.0km/h
980,1204.0RPM,28.0km/h
1180,1204.0RPM,27.0km/h
390,1196.5RPM,26.0km/h
590,1206.5RPM,25.5km/h
790,1193.0RPM,24.0km/h
990,1188.0RPM,23.0km/h
1190,1177.0RPM,23.0km/h
400,1183.0RPM,21.5km/h
600,1172.0RPM,20.5km/h
800,1171.0RPM,19.0km/h
1000,1179.5RPM,18.0km/h
1200,1156.5RPM,16.5km/h
410,1144.5RPM,15.5km/h
610,1166.5RPM,14.0km/h
810,1162.0RPM,13.0km/h
1010,1131.0RPM,12.0km/h
1210,1076.0RPM,11.5km/h
420,1044.0RPM,10.5km/h
620,1007.0RPM,9.0km/h
820,980.0RPM,8.0km/h
1020,955.5RPM,7.5km/h
1220,944.0RPM,6.5km/h
430,932.0RPM,5.5km/h
630,915.5RPM,4.5km/h
830,909.0RPM,4.0km/h
1030,913.5RPM,3.0km/h
1230,910.0RPM,2.5km/h
440,908.0RPM,1.5km/h
640,921.0RPM,0.0km/h
840,926.5RPM,0.0km/h
1040,925.0RPM,0.0km/h
1240,921.0RPM,0.0km/h
450,931.5RPM,0.0km/h
650,932.5RPM,0.0km/h
850,936.0RPM,0.0km/h
1050,934.5RPM,0.0km/h
1250,934.0RPM,0.0km/h
460,931.0RPM,0.0km/h
660,939.0RPM,0.0km/h
860,945.0RPM,0.0km/h
1060,938.0RPM,0.0km/h
1260,941.5RPM,0.0km/h
470,940.0RPM,0.0km/h
670,936.5RPM,0.0km/h
870,926.0RPM,0.0km/h
1070,929.0RPM,0.0km/h
1270,936.0RPM,0.0km/h
480,934.5RPM,0.0km/h
680,937.0RPM,0.0km/h
880,943.5RPM,0.0km/h
1080,940.5RPM,0.0km/h
1280,941.5RPM,0.0km/h
490,943.0RPM,0.0km/h
690,934.0RPM,0.0km/h
890,927.0RPM,0.0km/h
1090,925.5RPM,0.0km/h
1290,926.5RPM,0.0km/h
500,916.0RPM,0.0km/h
700,912.5RPM,0.0km/h
900,911.0RPM,0.0km/h
1100,915.0RPM,0.0km/h
1300,906.5RPM,0.0km/h
510,902.5RPM,0.0km/h
710,903.5RPM,0.0km/h
910,898.5RPM,0.0km/h
1110,902.5RPM,0.0km/h
1310,905.0RPM,0.0km/h
520,905.0RPM,0.0km/h
720,902.0RPM,0.0km/h
920,904.5RPM,0.0km/h
1120,898.5RPM,0.0km/h
1320,890.0RPM,0.0km/h
530,888.0RPM,0.0km/h
730,895.0RPM,0.0km/h
930,890.0RPM,0.0km/h
1130,885.5RPM,0.0km/h
1330,880.5RPM,0.0km/h
540,882.5RPM,0.0km/h
740,883.0RPM,0.0km/h
940,891.0RPM,0.0km/h
1140,890.0RPM,0.0km/h
1340,885.0RPM,0.0km/h
550,880.0RPM,0.0km/h
750,877.5RPM,0.0km/h
950,880.5RPM,0.0km/h
1150,878.0RPM,0.0km/h
1350,881.0RPM,0.0km/h
560,883.0RPM,0.0km/h
760,880.5RPM,0.0km/h
960,872.5RPM,0.0km/h
1160,884.0RPM,0.0km/h
1360,876.0RPM,0.0km/h
570,875.0RPM,0.0km/h
770,881.0RPM,0.0km/h
970,877.0RPM,0.0km/h
1170,875.5RPM,0.0km/h
1370,876.0RPM,0.0km/h
580,876.0RPM,0.0km/h
780,878.0RPM,0.0km/h
980,878.0RPM,0.0km/h
1180,879.5RPM,0.0km/h
1380,879.5RPM,0.0km/h
590,866.0RPM,0.0km/h
790,876.0RPM,0.0km/h
990,876.0RPM,0.0km/h
1190,872.5RPM,0.0km/h
1390,873.5RPM,0.0km/h
600,877.0RPM,0.0km/h
800,870.0RPM,0.0km/h
1000,873.0RPM,0.0km/h
1200,869.0RPM,0.0km/h
1400,867.5RPM,0.0km/h
610,870.0RPM,0.0km/h
810,871.0RPM,0.0km/h
1010,870.0RPM,0.0km/h
1210,876.5RPM,0.0km/h
1410,874.0RPM,0.0km/h
620,871.0RPM,0.0km/h
820,872.5RPM,0.0km/h
1020,863.5RPM,0.0km/h
1220,869.5RPM,0.0km/h
1420,867.0RPM,0.0km/h
630,874.0RPM,0.0km/h
830,871.0RPM,0.0km/h
1030,867.5RPM,0.0km/h
1230,867.0RPM,0.0km/h
1430,858.5RPM,0.0km/h
640,869.0RPM,0.0km/h
840,881.0RPM,0.0km/h
1040,869.5RPM,0.0km/h
1240,864.5RPM,0.0km/h
1440,872.0RPM,0.0km/h
650,868.0RPM,0.0km/h
850,861.5RPM,0.0km/h
1050,867.0RPM,0.0km/h
1250,866.0RPM,0.0km/h
1450,867.0RPM,0.0km/h
660,868.5RPM,0.0km/h
860,862.5RPM,0.0km/h
1060,866.5RPM,0.0km/h
1260,865.0RPM,0.0km/h
1460,868.0RPM,0.0km/h
670,866.5RPM,0.0km/h
870,862.0RPM,0.0km/h
1070,863.5RPM,0.0km/h
1270,853.0RPM,0.0km/h
1470,845.0RPM,0.5km/h
680,842.0RPM,2.0km/h
880,856.5RPM,2.0km/h
1080,932.0RPM,2.5km/h
1280,1096.0RPM,3.0km/h
1480,1349.5RPM,4.0km/h
690,1551.5RPM,5.5km/h
890,1617.5RPM,6.5km/h
1090,1647.5RPM,7.5km/h
1290,1717.0RPM,9.0km/h
1490,1760.0RPM,10.0km/h
700,1796.0RPM,11.5km/h
900,1746.5RPM,12.5km/h
1100,1711.5RPM,14.5km/h
1300,1697.0RPM,15.5km/h
1500,1663.0RPM,16.5km/h
710,1612.5RPM,18.0km/h
910,1514.0RPM,19.5km/h
1110,1431.0RPM,20.0km/h
1310,1367.5RPM,20.5km/h
1510,1346.5RPM,21.0km/h
720,1393.5RPM,21.0km/h
920,1412.5RPM,21.0km/h
1120,1490.5RPM,21.0km/h
1320,1630.0RPM,21.0km/h
1520,1788.5RPM,21.5km/h
730,1898.0RPM,22.5km/h
930,1887.0RPM,23.0km/h
1130,1865.0RPM,24.0km/h
1330,1851.5RPM,24.5km/h
1530,1867.0RPM,25.0km/h
740,1887.0RPM,25.0km/h
940,1908.0RPM,26.0km/h
1140,1912.5RPM,27.0km/h
1340,1908.0RPM,27.5km/h
1540,1904.5RPM,28.0km/h
750,1783.5RPM,28.5km/h
950,1692.0RPM,29.0km/h
1150,1613.5RPM,30.0km/h
1350,1499.0RPM,30.0km/h
1550,1389.0RPM,31.0km/h
760,1336.0RPM,31.0km/h
960,1260.0RPM,32.0km/h
1160,1258.5RPM,32.5km/h
1360,1270.0RPM,33.0km/h
1560,1279.5RPM,33.5km/h
770,1292.5RPM,34.0km/h
970,1318.0RPM,35.0km/h
1170,1331.33333333RPM,35.0km/h
1370,1359.0RPM,36.0km/h
1570,1376.0RPM,36.0km/h
780,1402.5RPM,37.0km/h
980,1425.5RPM,37.5km/h
1180,1481.0RPM,38.0km/h
1380,1529.0RPM,39.0km/h
1580,1579.0RPM,40.0km/h
790,1604.5RPM,40.5km/h
990,1636.0RPM,41.0km/h
1190,1674.0RPM,42.0km/h
1390,1687.5RPM,42.5km/h
1590,1691.5RPM,43.5km/h
800,1680.0RPM,44.0km/h
1000,1678.5RPM,44.5km/h
1200,1681.5RPM,45.0km/h
1400,1692.5RPM,46.0km/h
1600,1696.0RPM,46.5km/h
810,1711.0RPM,47.0km/h
1010,1741.5RPM,48.0km/h
1210,1761.5RPM,48.0km/h
1410,1790.0RPM,49.0km/h
1610,1819.0RPM,50.0km/h
820,1840.5RPM,50.5km/h
1020,1850.0RPM,51.0km/h
1220,1835.0RPM,52.0km/h
1420,1807.5RPM,52.0km/h
1620,1754.0RPM,52.5km/h
830,1707.5RPM,53.5km/h
1030,1670.0RPM,54.0km/h
1230,1649.0RPM,54.0km/h
1430,1637.5RPM,55.0km/h
1630,1635.5RPM,55.0km/h
840,1645.0RPM,56.0km/h
1040,1655.0RPM,56.0km/h
1240,1651.0RPM,57.0km/h
1440,1652.5RPM,57.0km/h
1640,1650.0RPM,57.5km/h
850,1635.0RPM,58.0km/h
1050,1606.0RPM,58.5km/h
1250,1539.5RPM,59.0km/h
1450,1455.5RPM,59.0km/h
1650,1402.5RPM,59.0km/h
860,1370.5RPM,60.0km/h
1060,1347.5RPM,60.0km/h
1260,1339.0RPM,60.0km/h
1460,1344.5RPM,60.0km/h
1660,1348.0RPM,60.0km/h
870,1355.5RPM,61.0km/h
1070,1383.5RPM,61.0km/h
1270,1398.0RPM,61.0km/h
1470,1405.5RPM,61.0km/h
1670,1408.0RPM,61.5km/h
880,1414.0RPM,62.0km/h
1080,1415.5RPM,62.0km/h
1280,1399.0RPM,62.0km/h
1480,1385.0RPM,62.0km/h
1680,1378.5RPM,62.0km/h
890,1365.0RPM,63.0km/h
1090,1350.5RPM,63.0km/h
1290,1348.0RPM,63.0km/h
1490,1343.5RPM,63.0km/h
1690,1344.5RPM,63.0km/h
900,1343.0RPM,63.0km/h
1100,1347.0RPM,63.0km/h
1300,1353.0RPM,64.0km/h
1500,1358.5RPM,64.0km/h
1700,1363.5RPM,64.0km/h
910,1380.0RPM,64.0km/h
1110,1410.5RPM,64.0km/h
1310,1445.0RPM,64.5km/h
1510,1486.0RPM,65.0km/h
1710,1518.5RPM,65.0km/h
920,1529.0RPM,65.0km/h
1120,1536.0RPM,65.0km/h
1320,1547.0RPM,66.0km/h
1520,1556.0RPM,66.0km/h
1720,1564.0RPM,66.0km/h
930,1573.0RPM,66.0km/h
1130,1577.5RPM,67.0km/h
1330,1585.0RPM,67.0km/h
1530,1590.0RPM,67.0km/h
1730,1590.0RPM,67.0km/h
940,1578.5RPM,67.5km/h
1140,1568.0RPM,68.0km/h
1340,1555.0RPM,68.0km/h
1540,1550.5RPM,68.0km/h
1740,1547.0RPM,68.0km/h
950,1550.0RPM,69.0km/h
1150,1551.5RPM,69.0km/h
1350,1555.5RPM,69.0km/h
1550,1561.5RPM,69.5km/h
1750,1565.0RPM,70.0km/h
960,1563.0RPM,70.0km/h
1160,1560.5RPM,70.0km/h
1360,1539.0RPM,70.0km/h
1560,1516.0RPM,70.0km/h
1760,1483.5RPM,71.0km/h
970,1449.0RPM,71.0km/h
1170,1426.5RPM,71.0km/h
1370,1409.5RPM,71.0km/h
1570,1388.5RPM,71.0km/h
1770,1378.0RPM,71.0km/h
980,1373.0RPM,71.0km/h
1180,1372.0RPM,71.0km/h
1380,1370.0RPM,71.0km/h
1580,1369.5RPM,71.0km/h
1780,1372.5RPM,71.0km/h
990,1366.0RPM,71.0km/h
1190,1366.0RPM,71.0km/h
1390,1360.0RPM,71.0km/h
1590,1354.5RPM,71.0km/h
1790,1354.5RPM,71.0km/h
1000,1355.5RPM,71.0km/h
1200,1352.5RPM,70.5km/h
1400,1352.0RPM,70.0km/h
1600,1369.0RPM,70.0km/h
1800,1367.5RPM,70.0km/h
1010,1371.0RPM,70.0km/h
1210,1373.0RPM,70.0km/h
1410,1376.5RPM,70.0km/h
1610,1377.5RPM,70.0km/h
1810,1376.0RPM,70.0km/h
1020,1378.0RPM,70.0km/h
1220,1378.0RPM,70.0km/h
1420,1377.5RPM,70.0km/h
1620,1376.0RPM,70.0km/h
1820,1371.5RPM,70.0km/h
1030,1371.0RPM,70.0km/h
1230,1367.5RPM,70.0km/h
1430,1370.0RPM,70.0km/h
1630,1366.0RPM,70.0km/h
1830,1364.0RPM,70.0km/h
