sys_time,RPM,Speed
0,1851.0RPM,0.0km/h
800,1824.0RPM,0.0km/h
1400,1836.0RPM,0.0km/h
1500,1815.0RPM,0.0km/h
1700,1811.0RPM,0.0km/h
2000,1798.0RPM,0.0km/h
2100,1804.0RPM,0.0km/h
2300,1777.0RPM,0.0km/h
2500,1780.0RPM,0.0km/h
2700,1769.0RPM,0.0km/h
2800,1775.0RPM,0.0km/h
3000,1775.0RPM,0.0km/h
3100,1774.0RPM,0.0km/h
3300,1753.0RPM,0.0km/h
3500,1708.0RPM,0.0km/h
3600,1649.0RPM,0.0km/h
3700,1562.0RPM,0.0km/h
3900,1479.0RPM,0.0km/h
4000,1379.0RPM,0.0km/h
4100,1258.0RPM,0.0km/h
4200,1203.0RPM,0.0km/h
4300,1212.0RPM,0.0km/h
4400,1224.0RPM,2.0km/h
4600,1206.0RPM,2.0km/h
4700,1169.0RPM,2.0km/h
4800,1165.0RPM,3.0km/h
4900,1159.0RPM,3.0km/h
5000,1152.0RPM,3.0km/h
5100,1142.0RPM,3.0km/h
5200,1124.0RPM,4.0km/h
5300,1149.0RPM,4.0km/h
5400,1145.0RPM,4.0km/h
5500,1155.0RPM,4.0km/h
5600,1133.0RPM,5.0km/h
5700,1140.0RPM,5.0km/h
5800,1142.0RPM,5.0km/h
5900,1147.0RPM,5.0km/h
6000,1126.0RPM,5.0km/h
6100,1122.0RPM,5.0km/h
6200,1121.0RPM,6.0km/h
6400,1109.0RPM,6.0km/h
6500,1105.0RPM,6.0km/h
6600,1090.0RPM,6.0km/h
6700,1086.0RPM,6.0km/h
6800,1084.0RPM,6.0km/h
6900,1079.0RPM,7.0km/h
7000,1072.0RPM,7.0km/h
7100,1064.0RPM,7.0km/h
7200,1057.0RPM,7.0km/h
7300,1065.0RPM,7.0km/h
7400,1065.0RPM,7.0km/h
7500,1059.0RPM,7.0km/h
7600,1076.0RPM,7.0km/h
7700,1066.0RPM,7.0km/h
7900,1063.0RPM,8.0km/h
8000,1064.0RPM,8.0km/h
8100,1062.0RPM,8.0km/h
8200,1066.0RPM,8.0km/h
8300,1059.0RPM,8.0km/h
8400,1043.0RPM,8.0km/h
8500,1060.0RPM,8.0km/h
8600,1063.0RPM,8.0km/h
8700,1072.0RPM,8.0km/h
8800,1073.0RPM,8.0km/h
8900,1068.0RPM,8.0km/h
9000,1074.0RPM,9.0km/h
9100,1058.0RPM,9.0km/h
9200,1059.0RPM,9.0km/h
9300,1067.0RPM,9.0km/h
9400,1069.0RPM,9.0km/h
9500,1060.0RPM,9.0km/h
9600,1072.0RPM,9.0km/h
9700,1072.0RPM,9.0km/h
9800,1068.0RPM,9.0km/h
9900,1055.0RPM,9.0km/h
10000,1048.0RPM,9.0km/h
10100,1057.0RPM,10.0km/h
10200,1083.0RPM,10.0km/h
10300,1114.0RPM,10.0km/h
10400,1241.0RPM,10.0km/h
10500,1354.0RPM,10.0km/h
10600,1407.0RPM,10.0km/h
10700,1452.0RPM,11.0km/h
10900,1466.0RPM,11.0km/h
11000,1471.5RPM,11.0km/h
11200,1475.0RPM,12.0km/h
11300,1489.0RPM,12.0km/h
11400,1515.0RPM,13.0km/h
11500,1544.0RPM,13.0km/h
11600,1554.0RPM,13.0km/h
11700,1517.0RPM,14.0km/h
11800,1464.0RPM,14.0km/h
12000,1427.0RPM,15.0km/h
12100,1403.0RPM,15.0km/h
12200,1400.0RPM,15.0km/h
12300,1374.0RPM,16.0km/h
12400,1357.0RPM,16.0km/h
12500,1355.0RPM,16.0km/h
12600,1341.0RPM,17.0km/h
12700,1308.0RPM,17.0km/h
12800,1297.0RPM,17.0km/h
12900,1284.0RPM,18.0km/h
13000,1279.0RPM,18.0km/h
13100,1294.0RPM,19.0km/h
13300,1307.0RPM,19.0km/h
13400,1295.0RPM,20.0km/h
13500,1287.0RPM,20.0km/h
13600,1261.0RPM,20.0km/h
13700,1257.0RPM,20.0km/h
13800,1236.0RPM,21.0km/h
13900,1245.0RPM,21.0km/h
14000,1244.0RPM,22.0km/h
14100,1245.0RPM,22.0km/h
14200,1257.0RPM,22.0km/h
14300,1245.0RPM,23.0km/h
14400,1259.0RPM,23.0km/h
14600,1257.5RPM,23.5km/h
14700,1260.0RPM,24.0km/h
14800,1242.0RPM,24.0km/h
14900,1242.0RPM,24.0km/h
15000,1241.0RPM,25.0km/h
15100,1241.0RPM,25.0km/h
15300,1242.0RPM,25.0km/h
15400,1234.0RPM,26.0km/h
15500,1232.0RPM,26.0km/h
15600,1234.0RPM,26.0km/h
15700,1230.0RPM,27.0km/h
15800,1224.0RPM,27.0km/h
15900,1227.0RPM,27.0km/h
16000,1221.0RPM,27.0km/h
16100,1218.0RPM,28.0km/h
16200,1212.0RPM,28.0km/h
16300,1211.0RPM,28.0km/h
16400,1213.0RPM,28.0km/h
16500,1206.0RPM,29.0km/h
16700,1206.0RPM,29.0km/h
16800,1203.0RPM,29.0km/h
16900,1201.0RPM,29.0km/h
17000,1199.0RPM,29.0km/h
17100,1199.0RPM,30.0km/h
17200,1198.0RPM,30.0km/h
17300,1196.0RPM,30.0km/h
17400,1191.0RPM,30.0km/h
17500,1194.0RPM,31.0km/h
17700,1184.0RPM,31.0km/h
17800,1185.0RPM,31.0km/h
17900,1166.0RPM,31.0km/h
18000,1168.0RPM,31.0km/h
18100,1182.0RPM,32.0km/h
18200,1192.0RPM,32.0km/h
18300,1211.0RPM,32.0km/h
18400,1230.0RPM,32.0km/h
18600,1232.0RPM,32.0km/h
18700,1235.0RPM,32.0km/h
18800,1240.0RPM,32.0km/h
18900,1239.0RPM,33.0km/h
19000,1240.0RPM,33.0km/h
19100,1243.0RPM,33.0km/h
19200,1239.0RPM,33.0km/h
19300,1241.0RPM,33.0km/h
19400,1241.0RPM,33.0km/h
19500,1247.0RPM,33.0km/h
19600,1230.0RPM,33.0km/h
19700,1233.0RPM,33.0km/h
19800,1244.0RPM,33.0km/h
19900,1229.0RPM,33.0km/h
20100,1238.0RPM,32.0km/h
20200,1227.0RPM,33.0km/h
20300,1237.0RPM,32.0km/h
20400,1236.0RPM,32.0km/h
20500,1218.0RPM,32.0km/h
20600,1226.0RPM,32.0km/h
20700,1223.0RPM,32.0km/h
20800,1225.0RPM,32.0km/h
21000,1230.0RPM,32.0km/h
21100,1217.0RPM,32.0km/h
21200,1226.0RPM,32.0km/h
21300,1233.0RPM,32.0km/h
21400,1227.0RPM,32.0km/h
21500,1240.0RPM,32.0km/h
21600,1235.0RPM,32.0km/h
21700,1228.0RPM,32.0km/h
21800,1225.0RPM,32.0km/h
21900,1230.0RPM,31.0km/h
22000,1234.0RPM,31.0km/h
22100,1246.0RPM,31.0km/h
22200,1251.0RPM,31.0km/h
22400,1239.0RPM,31.0km/h
22600,1238.0RPM,31.0km/h
22700,1223.0RPM,31.0km/h
22800,1235.0RPM,31.0km/h
22900,1245.0RPM,31.0km/h
23000,1224.0RPM,30.0km/h
23100,1228.0RPM,30.0km/h
23200,1236.0RPM,30.0km/h
23300,1222.0RPM,30.0km/h
23500,1215.0RPM,29.0km/h
23600,1203.0RPM,29.0km/h
23700,1216.0RPM,29.0km/h
23800,1205.0RPM,29.0km/h
23900,1222.0RPM,28.0km/h
24000,1211.0RPM,28.0km/h
24100,1200.0RPM,28.0km/h
24200,1215.0RPM,27.0km/h
24400,1203.5RPM,26.5km/h
24500,1226.0RPM,26.0km/h
24700,1199.5RPM,25.5km/h
24900,1201.0RPM,25.0km/h
25000,1192.0RPM,24.0km/h
25100,1176.0RPM,24.0km/h
25200,1169.0RPM,23.0km/h
25300,1184.0RPM,22.0km/h
25400,1185.0RPM,22.0km/h
25500,1192.0RPM,21.0km/h
25600,1196.0RPM,20.0km/h
25700,1167.0RPM,20.0km/h
25800,1161.0RPM,20.0km/h
25900,1162.0RPM,19.0km/h
26000,1150.0RPM,18.0km/h
26100,1146.0RPM,17.0km/h
26200,1149.0RPM,16.0km/h
26300,1161.0RPM,16.0km/h
26400,1179.0RPM,15.0km/h
26500,1187.0RPM,14.0km/h
26600,1188.0RPM,14.0km/h
26700,1153.0RPM,13.0km/h
26900,1133.5RPM,12.5km/h
27100,1123.0RPM,12.0km/h
27200,1131.0RPM,12.0km/h
27300,1152.0RPM,12.0km/h
27400,1168.0RPM,12.0km/h
27500,1161.0RPM,12.0km/h
27600,1236.0RPM,12.0km/h
27700,1269.0RPM,12.0km/h
27800,1332.0RPM,13.0km/h
27900,1359.0RPM,13.0km/h
28000,1372.0RPM,13.0km/h
28100,1381.0RPM,13.0km/h
28200,1380.0RPM,13.0km/h
28300,1393.0RPM,14.0km/h
28400,1408.0RPM,14.0km/h
28500,1442.0RPM,14.0km/h
28600,1485.0RPM,14.0km/h
28800,1502.0RPM,14.0km/h
28900,1526.0RPM,15.0km/h
29000,1535.0RPM,15.0km/h
29100,1560.0RPM,15.0km/h
29200,1575.0RPM,16.0km/h
29300,1585.0RPM,16.0km/h
29400,1596.0RPM,17.0km/h
29500,1600.0RPM,17.0km/h
29600,1599.0RPM,17.0km/h
29700,1591.0RPM,18.0km/h
29800,1589.0RPM,18.0km/h
29900,1596.0RPM,19.0km/h
30000,1598.0RPM,19.0km/h
30100,1592.0RPM,19.0km/h
30300,1554.0RPM,20.0km/h
30400,1518.0RPM,20.0km/h
30500,1507.0RPM,20.0km/h
30600,1473.0RPM,21.0km/h
30700,1443.0RPM,21.0km/h
30800,1402.0RPM,22.0km/h
30900,1373.0RPM,22.0km/h
31000,1330.0RPM,23.0km/h
31200,1320.0RPM,23.0km/h
31300,1327.0RPM,24.0km/h
31400,1330.0RPM,24.0km/h
31500,1328.0RPM,24.0km/h
31600,1338.0RPM,24.0km/h
31700,1356.0RPM,25.0km/h
31900,1378.0RPM,26.0km/h
32000,1409.0RPM,26.0km/h
32100,1418.0RPM,26.0km/h
32200,1454.0RPM,27.0km/h
32300,1466.0RPM,27.0km/h
32400,1469.0RPM,28.0km/h
32500,1499.0RPM,28.0km/h
32600,1500.0RPM,29.0km/h
32700,1497.0RPM,29.0km/h
32800,1519.0RPM,29.0km/h
32900,1527.0RPM,30.0km/h
33000,1532.0RPM,30.0km/h
33100,1544.0RPM,31.0km/h
33300,1544.0RPM,31.0km/h
33400,1545.0RPM,32.0km/h
33500,1544.0RPM,32.0km/h
33600,1533.0RPM,32.0km/h
33700,1535.0RPM,33.0km/h
33800,1483.0RPM,33.0km/h
33900,1427.0RPM,33.0km/h
34000,1407.0RPM,33.0km/h
34100,1369.0RPM,33.0km/h
34200,1337.0RPM,33.0km/h
34300,1294.0RPM,33.0km/h
34400,1289.0RPM,33.0km/h
34500,1256.0RPM,33.0km/h
34600,1246.0RPM,34.0km/h
34700,1233.0RPM,34.0km/h
34800,1225.0RPM,33.0km/h
35000,1221.0RPM,34.0km/h
35100,1209.0RPM,33.0km/h
35200,1214.0RPM,33.0km/h
35300,1210.0RPM,33.0km/h
35400,1207.0RPM,33.0km/h
35500,1212.0RPM,33.0km/h
35600,1198.0RPM,33.0km/h
35800,1203.0RPM,33.0km/h
35900,1207.0RPM,33.0km/h
36000,1202.0RPM,33.0km/h
36100,1209.0RPM,33.0km/h
36200,1217.0RPM,33.0km/h
36300,1202.0RPM,33.0km/h
36400,1229.0RPM,33.0km/h
36500,1219.0RPM,33.0km/h
36700,1193.0RPM,33.0km/h
36800,1232.0RPM,32.0km/h
36900,1211.0RPM,32.0km/h
37000,1198.0RPM,32.0km/h
37100,1221.0RPM,32.0km/h
37200,1227.0RPM,32.0km/h
37300,1218.0RPM,32.0km/h
37400,1203.0RPM,32.0km/h
37500,1205.0RPM,31.0km/h
37600,1206.0RPM,31.0km/h
37800,1202.0RPM,31.0km/h
37900,1200.0RPM,31.0km/h
38000,1203.0RPM,30.0km/h
38100,1204.0RPM,30.0km/h
38200,1197.0RPM,29.0km/h
38300,1199.0RPM,29.0km/h
38400,1195.0RPM,28.0km/h
38500,1188.0RPM,28.0km/h
38700,1204.0RPM,28.0km/h
38800,1207.0RPM,27.0km/h
38900,1201.0RPM,27.0km/h
39000,1195.0RPM,26.0km/h
39100,1198.0RPM,26.0km/h
39200,1208.0RPM,26.0km/h
39300,1205.0RPM,25.0km/h
39400,1194.0RPM,24.0km/h
39500,1192.0RPM,24.0km/h
39700,1188.0RPM,23.0km/h
39900,1177.0RPM,23.0km/h
40000,1184.0RPM,22.0km/h
40100,1182.0RPM,21.0km/h
40200,1174.0RPM,21.0km/h
40300,1170.0RPM,20.0km/h
40400,1164.0RPM,19.0km/h
40500,1178.0RPM,19.0km/h
40600,1179.0RPM,18.0km/h
40700,1180.0RPM,18.0km/h
40800,1165.0RPM,17.0km/h
40900,1148.0RPM,16.0km/h
41000,1142.0RPM,16.0km/h
41100,1147.0RPM,15.0km/h
41200,1166.0RPM,14.0km/h
41300,1167.0RPM,14.0km/h
41500,1162.0RPM,13.0km/h
41600,1141.0RPM,12.0km/h
41700,1121.0RPM,12.0km/h
41800,1089.0RPM,12.0km/h
41900,1063.0RPM,11.0km/h
42000,1055.0RPM,11.0km/h
42100,1033.0RPM,10.0km/h
42300,1007.0RPM,9.0km/h
42400,980.0RPM,8.0km/h
42600,963.0RPM,8.0km/h
42700,948.0RPM,7.0km/h
42800,945.0RPM,7.0km/h
42900,943.0RPM,6.0km/h
43000,936.0RPM,6.0km/h
43100,928.0RPM,5.0km/h
43200,918.0RPM,5.0km/h
43300,913.0RPM,4.0km/h
43400,909.0RPM,4.0km/h
43600,910.0RPM,3.0km/h
43700,917.0RPM,3.0km/h
43800,912.0RPM,3.0km/h
43900,908.0RPM,2.0km/h
44000,906.0RPM,2.0km/h
44100,910.0RPM,1.0km/h
44200,917.0RPM,0.0km/h
44300,925.0RPM,0.0km/h
44400,928.0RPM,0.0km/h
44500,925.0RPM,0.0km/h
44600,929.0RPM,0.0km/h
44700,921.0RPM,0.0km/h
44800,922.0RPM,0.0km/h
44900,920.0RPM,0.0km/h
45000,930.0RPM,0.0km/h
45100,933.0RPM,0.0km/h
45200,932.0RPM,0.0km/h
45300,933.0RPM,0.0km/h
45400,937.0RPM,0.0km/h
45500,935.0RPM,0.0km/h
45600,934.0RPM,0.0km/h
45700,935.0RPM,0.0km/h
45800,937.0RPM,0.0km/h
45900,931.0RPM,0.0km/h
46100,931.0RPM,0.0km/h
46200,935.0RPM,0.0km/h
46300,943.0RPM,0.0km/h
46400,946.0RPM,0.0km/h
46500,944.0RPM,0.0km/h
46600,938.0RPM,0.0km/h
46700,938.0RPM,0.0km/h
46800,943.0RPM,0.0km/h
46900,940.0RPM,0.0km/h
47000,939.0RPM,0.0km/h
47100,941.0RPM,0.0km/h
47200,938.0RPM,0.0km/h
47300,935.0RPM,0.0km/h
47500,926.0RPM,0.0km/h
47600,929.0RPM,0.0km/h
47700,929.0RPM,0.0km/h
47800,936.0RPM,0.0km/h
47900,936.0RPM,0.0km/h
48000,933.0RPM,0.0km/h
48100,936.0RPM,0.0km/h
48200,936.0RPM,0.0km/h
48300,938.0RPM,0.0km/h
48400,943.0RPM,0.0km/h
48500,944.0RPM,0.0km/h
48600,940.0RPM,0.0km/h
48700,941.0RPM,0.0km/h
48800,940.0RPM,0.0km/h
48900,943.0RPM,0.0km/h
49000,944.0RPM,0.0km/h
49100,942.0RPM,0.0km/h
49200,938.0RPM,0.0km/h
49300,930.0RPM,0.0km/h
49400,927.0RPM,0.0km/h
49600,924.0RPM,0.0km/h
49700,927.0RPM,0.0km/h
49800,926.0RPM,0.0km/h
49900,927.0RPM,0.0km/h
50000,916.0RPM,0.0km/h
50100,916.0RPM,0.0km/h
50200,914.0RPM,0.0km/h
50300,911.0RPM,0.0km/h
50400,912.0RPM,0.0km/h
50500,910.0RPM,0.0km/h
50600,915.0RPM,0.0km/h
50800,906.0RPM,0.0km/h
50900,907.0RPM,0.0km/h
51000,900.0RPM,0.0km/h
51100,905.0RPM,0.0km/h
51200,906.0RPM,0.0km/h
51300,901.0RPM,0.0km/h
51400,900.0RPM,0.0km/h
51500,897.0RPM,0.0km/h
51600,901.0RPM,0.0km/h
51700,904.0RPM,0.0km/h
51900,905.0RPM,0.0km/h
52000,910.0RPM,0.0km/h
52100,900.0RPM,0.0km/h
52200,903.0RPM,0.0km/h
52300,901.0RPM,0.0km/h
52400,905.0RPM,0.0km/h
52500,904.0RPM,0.0km/h
52600,901.0RPM,0.0km/h
52700,896.0RPM,0.0km/h
52800,895.0RPM,0.0km/h
52900,885.0RPM,0.0km/h
53000,885.0RPM,0.0km/h
53100,891.0RPM,0.0km/h
53200,896.0RPM,0.0km/h
53300,894.0RPM,0.0km/h
53500,890.0RPM,0.0km/h
53600,889.0RPM,0.0km/h
53700,882.0RPM,0.0km/h
53800,880.0RPM,0.0km/h
53900,881.0RPM,0.0km/h
54000,885.0RPM,0.0km/h
54100,880.0RPM,0.0km/h
54200,880.0RPM,0.0km/h
54300,886.0RPM,0.0km/h
54400,889.0RPM,0.0km/h
54500,893.0RPM,0.0km/h
54700,890.0RPM,0.0km/h
54800,888.0RPM,0.0km/h
54900,882.0RPM,0.0km/h
55000,881.0RPM,0.0km/h
55100,879.0RPM,0.0km/h
55200,877.0RPM,0.0km/h
55300,878.0RPM,0.0km/h
55400,885.0RPM,0.0km/h
55500,876.0RPM,0.0km/h
55600,877.0RPM,0.0km/h
55700,879.0RPM,0.0km/h
55900,881.0RPM,0.0km/h
56000,882.0RPM,0.0km/h
56100,884.0RPM,0.0km/h
56200,883.0RPM,0.0km/h
56300,878.0RPM,0.0km/h
56400,869.0RPM,0.0km/h
56500,876.0RPM,0.0km/h
56600,881.0RPM,0.0km/h
