timestamp,RPM,Speed
0,1851.0RPM,0.0km/h
800,1824.0RPM,0.0km/h
410,1836.0RPM,0.0km/h
510,1815.0RPM,0.0km/h
710,1811.0RPM,0.0km/h
20,1798.0RPM,0.0km/h
120,1804.0RPM,0.0km/h
320,1777.0RPM,0.0km/h
520,1780.0RPM,0.0km/h
720,1769.0RPM,0.0km/h
820,1775.0RPM,0.0km/h
30,1775.0RPM,0.0km/h
130,1774.0RPM,0.0km/h
330,1753.0RPM,0.0km/h
530,1708.0RPM,0.0km/h
630,1649.0RPM,0.0km/h
730,1562.0RPM,0.0km/h
930,1479.0RPM,0.0km/h
40,1379.0RPM,0.0km/h
140,1258.0RPM,0.0km/h
240,1203.0RPM,0.0km/h
340,1212.0RPM,0.0km/h
440,1224.0RPM,2.0km/h
640,1206.0RPM,2.0km/h
740,1169.0RPM,2.0km/h
840,1165.0RPM,3.0km/h
940,1159.0RPM,3.0km/h
50,1152.0RPM,3.0km/h
150,1142.0RPM,3.0km/h
250,1124.0RPM,4.0km/h
350,1149.0RPM,4.0km/h
450,1145.0RPM,4.0km/h
550,1155.0RPM,4.0km/h
650,1133.0RPM,5.0km/h
750,1140.0RPM,5.0km/h
850,1142.0RPM,5.0km/h
950,1147.0RPM,5.0km/h
60,1126.0RPM,5.0km/h
160,1122.0RPM,5.0km/h
260,1121.0RPM,6.0km/h
460,1109.0RPM,6.0km/h
560,1105.0RPM,6.0km/h
660,1090.0RPM,6.0km/h
760,1086.0RPM,6.0km/h
860,1084.0RPM,6.0km/h
960,1079.0RPM,7.0km/h
70,1072.0RPM,7.0km/h
170,1064.0RPM,7.0km/h
270,1057.0RPM,7.0km/h
370,1065.0RPM,7.0km/h
470,1065.0RPM,7.0km/h
570,1059.0RPM,7.0km/h
670,1076.0RPM,7.0km/h
770,1066.0RPM,7.0km/h
970,1063.0RPM,8.0km/h
80,1064.0RPM,8.0km/h
180,1062.0RPM,8.0km/h
280,1066.0RPM,8.0km/h
380,1059.0RPM,8.0km/h
480,1043.0RPM,8.0km/h
580,1060.0RPM,8.0km/h
680,1063.0RPM,8.0km/h
780,1072.0RPM,8.0km/h
880,1073.0RPM,8.0km/h
980,1068.0RPM,8.0km/h
90,1074.0RPM,9.0km/h
190,1058.0RPM,9.0km/h
290,1059.0RPM,9.0km/h
390,1067.0RPM,9.0km/h
490,1069.0RPM,9.0km/h
590,1060.0RPM,9.0km/h
690,1072.0RPM,9.0km/h
790,1072.0RPM,9.0km/h
890,1068.0RPM,9.0km/h
990,1055.0RPM,9.0km/h
100,1048.0RPM,9.0km/h
200,1057.0RPM,10.0km/h
300,1083.0RPM,10.0km/h
400,1114.0RPM,10.0km/h
500,1241.0RPM,10.0km/h
600,1354.0RPM,10.0km/h
700,1407.0RPM,10.0km/h
800,1452.0RPM,11.0km/h
1000,1466.0RPM,11.0km/h
110,1471.5RPM,11.0km/h
310,1475.0RPM,12.0km/h
410,1489.0RPM,12.0km/h
510,1515.0RPM,13.0km/h
610,1544.0RPM,13.0km/h
710,1554.0RPM,13.0km/h
810,1517.0RPM,14.0km/h
910,1464.0RPM,14.0km/h
120,1427.0RPM,15.0km/h
220,1403.0RPM,15.0km/h
320,1400.0RPM,15.0km/h
420,1374.0RPM,16.0km/h
520,1357.0RPM,16.0km/h
620,1355.0RPM,16.0km/h
720,1341.0RPM,17.0km/h
820,1308.0RPM,17.0km/h
920,1297.0RPM,17.0km/h
1020,1284.0RPM,18.0km/h
130,1279.0RPM,18.0km/h
230,1294.0RPM,19.0km/h
430,1307.0RPM,19.0km/h
530,1295.0RPM,20.0km/h
630,1287.0RPM,20.0km/h
730,1261.0RPM,20.0km/h
830,1257.0RPM,20.0km/h
930,1236.0RPM,21.0km/h
1030,1245.0RPM,21.0km/h
140,1244.0RPM,22.0km/h
240,1245.0RPM,22.0km/h
340,1257.0RPM,22.0km/h
440,1245.0RPM,23.0km/h
540,1259.0RPM,23.0km/h
740,1257.5RPM,23.5km/h
840,1260.0RPM,24.0km/h
940,1242.0RPM,24.0km/h
1040,1242.0RPM,24.0km/h
150,1241.0RPM,25.0km/h
250,1241.0RPM,25.0km/h
450,1242.0RPM,25.0km/h
550,1234.0RPM,26.0km/h
650,1232.0RPM,26.0km/h
750,1234.0RPM,26.0km/h
850,1230.0RPM,27.0km/h
950,1224.0RPM,27.0km/h
1050,1227.0RPM,27.0km/h
160,1221.0RPM,27.0km/h
260,1218.0RPM,28.0km/h
360,1212.0RPM,28.0km/h
460,1211.0RPM,28.0km/h
560,1213.0RPM,28.0km/h
660,1206.0RPM,29.0km/h
860,1206.0RPM,29.0km/h
960,1203.0RPM,29.0km/h
1060,1201.0RPM,29.0km/h
170,1199.0RPM,29.0km/h
270,1199.0RPM,30.0km/h
370,1198.0RPM,30.0km/h
470,1196.0RPM,30.0km/h
570,1191.0RPM,30.0km/h
670,1194.0RPM,31.0km/h
870,1184.0RPM,31.0km/h
970,1185.0RPM,31.0km/h
1070,1166.0RPM,31.0km/h
180,1168.0RPM,31.0km/h
280,1182.0RPM,32.0km/h
380,1192.0RPM,32.0km/h
480,1211.0RPM,32.0km/h
580,1230.0RPM,32.0km/h
780,1232.0RPM,32.0km/h
880,1235.0RPM,32.0km/h
980,1240.0RPM,32.0km/h
1080,1239.0RPM,33.0km/h
190,1240.0RPM,33.0km/h
290,1243.0RPM,33.0km/h
390,1239.0RPM,33.0km/h
490,1241.0RPM,33.0km/h
590,1241.0RPM,33.0km/h
690,1247.0RPM,33.0km/h
790,1230.0RPM,33.0km/h
890,1233.0RPM,33.0km/h
990,1244.0RPM,33.0km/h
1090,1229.0RPM,33.0km/h
300,1238.0RPM,32.0km/h
400,1227.0RPM,33.0km/h
500,1237.0RPM,32.0km/h
600,1236.0RPM,32.0km/h
700,1218.0RPM,32.0km/h
800,1226.0RPM,32.0km/h
900,1223.0RPM,32.0km/h
1000,1225.0RPM,32.0km/h
210,1230.0RPM,32.0km/h
310,1217.0RPM,32.0km/h
410,1226.0RPM,32.0km/h
510,1233.0RPM,32.0km/h
610,1227.0RPM,32.0km/h
710,1240.0RPM,32.0km/h
810,1235.0RPM,32.0km/h
910,1228.0RPM,32.0km/h
1010,1225.0RPM,32.0km/h
1110,1230.0RPM,31.0km/h
220,1234.0RPM,31.0km/h
320,1246.0RPM,31.0km/h
420,1251.0RPM,31.0km/h
620,1239.0RPM,31.0km/h
820,1238.0RPM,31.0km/h
920,1223.0RPM,31.0km/h
1020,1235.0RPM,31.0km/h
1120,1245.0RPM,31.0km/h
230,1224.0RPM,30.0km/h
330,1228.0RPM,30.0km/h
430,1236.0RPM,30.0km/h
530,1222.0RPM,30.0km/h
730,1215.0RPM,29.0km/h
830,1203.0RPM,29.0km/h
930,1216.0RPM,29.0km/h
1030,1205.0RPM,29.0km/h
1130,1222.0RPM,28.0km/h
240,1211.0RPM,28.0km/h
340,1200.0RPM,28.0km/h
440,1215.0RPM,27.0km/h
640,1203.5RPM,26.5km/h
740,1226.0RPM,26.0km/h
940,1199.5RPM,25.5km/h
1140,1201.0RPM,25.0km/h
250,1192.0RPM,24.0km/h
350,1176.0RPM,24.0km/h
450,1169.0RPM,23.0km/h
550,1184.0RPM,22.0km/h
650,1185.0RPM,22.0km/h
750,1192.0RPM,21.0km/h
850,1196.0RPM,20.0km/h
950,1167.0RPM,20.0km/h
1050,1161.0RPM,20.0km/h
1150,1162.0RPM,19.0km/h
260,1150.0RPM,18.0km/h
360,1146.0RPM,17.0km/h
460,1149.0RPM,16.0km/h
560,1161.0RPM,16.0km/h
660,1179.0RPM,15.0km/h
760,1187.0RPM,14.0km/h
860,1188.0RPM,14.0km/h
960,1153.0RPM,13.0km/h
1160,1133.5RPM,12.5km/h
370,1123.0RPM,12.0km/h
470,1131.0RPM,12.0km/h
570,1152.0RPM,12.0km/h
670,1168.0RPM,12.0km/h
770,1161.0RPM,12.0km/h
870,1236.0RPM,12.0km/h
970,1269.0RPM,12.0km/h
1070,1332.0RPM,13.0km/h
1170,1359.0RPM,13.0km/h
280,1372.0RPM,13.0km/h
380,1381.0RPM,13.0km/h
480,1380.0RPM,13.0km/h
580,1393.0RPM,14.0km/h
680,1408.0RPM,14.0km/h
780,1442.0RPM,14.0km/h
880,1485.0RPM,14.0km/h
1080,1502.0RPM,14.0km/h
1180,1526.0RPM,15.0km/h
290,1535.0RPM,15.0km/h
390,1560.0RPM,15.0km/h
490,1575.0RPM,16.0km/h
590,1585.0RPM,16.0km/h
690,1596.0RPM,17.0km/h
790,1600.0RPM,17.0km/h
890,1599.0RPM,17.0km/h
990,1591.0RPM,18.0km/h
1090,1589.0RPM,18.0km/h
1190,1596.0RPM,19.0km/h
300,1598.0RPM,19.0km/h
400,1592.0RPM,19.0km/h
600,1554.0RPM,20.0km/h
700,1518.0RPM,20.0km/h
800,1507.0RPM,20.0km/h
900,1473.0RPM,21.0km/h
1000,1443.0RPM,21.0km/h
1100,1402.0RPM,22.0km/h
1200,1373.0RPM,22.0km/h
310,1330.0RPM,23.0km/h
510,1320.0RPM,23.0km/h
610,1327.0RPM,24.0km/h
710,1330.0RPM,24.0km/h
810,1328.0RPM,24.0km/h
910,1338.0RPM,24.0km/h
1010,1356.0RPM,25.0km/h
1210,1378.0RPM,26.0km/h
320,1409.0RPM,26.0km/h
420,1418.0RPM,26.0km/h
520,1454.0RPM,27.0km/h
620,1466.0RPM,27.0km/h
720,1469.0RPM,28.0km/h
820,1499.0RPM,28.0km/h
920,1500.0RPM,29.0km/h
1020,1497.0RPM,29.0km/h
1120,1519.0RPM,29.0km/h
1220,1527.0RPM,30.0km/h
330,1532.0RPM,30.0km/h
430,1544.0RPM,31.0km/h
630,1544.0RPM,31.0km/h
730,1545.0RPM,32.0km/h
830,1544.0RPM,32.0km/h
930,1533.0RPM,32.0km/h
1030,1535.0RPM,33.0km/h
1130,1483.0RPM,33.0km/h
1230,1427.0RPM,33.0km/h
340,1407.0RPM,33.0km/h
440,1369.0RPM,33.0km/h
540,1337.0RPM,33.0km/h
640,1294.0RPM,33.0km/h
740,1289.0RPM,33.0km/h
840,1256.0RPM,33.0km/h
940,1246.0RPM,34.0km/h
1040,1233.0RPM,34.0km/h
1140,1225.0RPM,33.0km/h
350,1221.0RPM,34.0km/h
450,1209.0RPM,33.0km/h
550,1214.0RPM,33.0km/h
650,1210.0RPM,33.0km/h
750,1207.0RPM,33.0km/h
850,1212.0RPM,33.0km/h
950,1198.0RPM,33.0km/h
1150,1203.0RPM,33.0km/h
1250,1207.0RPM,33.0km/h
360,1202.0RPM,33.0km/h
460,1209.0RPM,33.0km/h
560,1217.0RPM,33.0km/h
660,1202.0RPM,33.0km/h
760,1229.0RPM,33.0km/h
860,1219.0RPM,33.0km/h
1060,1193.0RPM,33.0km/h
1160,1232.0RPM,32.0km/h
1260,1211.0RPM,32.0km/h
370,1198.0RPM,32.0km/h
470,1221.0RPM,32.0km/h
570,1227.0RPM,32.0km/h
670,1218.0RPM,32.0km/h
770,1203.0RPM,32.0km/h
870,1205.0RPM,31.0km/h
970,1206.0RPM,31.0km/h
1170,1202.0RPM,31.0km/h
1270,1200.0RPM,31.0km/h
380,1203.0RPM,30.0km/h
480,1204.0RPM,30.0km/h
580,1197.0RPM,29.0km/h
680,1199.0RPM,29.0km/h
780,1195.0RPM,28.0km/h
880,1188.0RPM,28.0km/h
1080,1204.0RPM,28.0km/h
1180,1207.0RPM,27.0km/h
1280,1201.0RPM,27.0km/h
390,1195.0RPM,26.0km/h
490,1198.0RPM,26.0km/h
590,1208.0RPM,26.0km/h
690,1205.0RPM,25.0km/h
790,1194.0RPM,24.0km/h
890,1192.0RPM,24.0km/h
1090,1188.0RPM,23.0km/h
1290,1177.0RPM,23.0km/h
400,1184.0RPM,22.0km/h
500,1182.0RPM,21.0km/h
600,1174.0RPM,21.0km/h
700,1170.0RPM,20.0km/h
800,1164.0RPM,19.0km/h
900,1178.0RPM,19.0km/h
1000,1179.0RPM,18.0km/h
1100,1180.0RPM,18.0km/h
1200,1165.0RPM,17.0km/h
1300,1148.0RPM,16.0km/h
410,1142.0RPM,16.0km/h
510,1147.0RPM,15.0km/h
610,1166.0RPM,14.0km/h
710,1167.0RPM,14.0km/h
910,1162.0RPM,13.0km/h
1010,1141.0RPM,12.0km/h
1110,1121.0RPM,12.0km/h
1210,1089.0RPM,12.0km/h
1310,1063.0RPM,11.0km/h
420,1055.0RPM,11.0km/h
520,1033.0RPM,10.0km/h
720,1007.0RPM,9.0km/h
820,980.0RPM,8.0km/h
1020,963.0RPM,8.0km/h
1120,948.0RPM,7.0km/h
1220,945.0RPM,7.0km/h
1320,943.0RPM,6.0km/h
430,936.0RPM,6.0km/h
530,928.0RPM,5.0km/h
630,918.0RPM,5.0km/h
730,913.0RPM,4.0km/h
830,909.0RPM,4.0km/h
1030,910.0RPM,3.0km/h
1130,917.0RPM,3.0km/h
1230,912.0RPM,3.0km/h
1330,908.0RPM,2.0km/h
440,906.0RPM,2.0km/h
540,910.0RPM,1.0km/h
640,917.0RPM,0.0km/h
740,925.0RPM,0.0km/h
840,928.0RPM,0.0km/h
940,925.0RPM,0.0km/h
1040,929.0RPM,0.0km/h
1140,921.0RPM,0.0km/h
1240,922.0RPM,0.0km/h
1340,920.0RPM,0.0km/h
450,930.0RPM,0.0km/h
550,933.0RPM,0.0km/h
650,932.0RPM,0.0km/h
750,933.0RPM,0.0km/h
850,937.0RPM,0.0km/h
950,935.0RPM,0.0km/h
1050,934.0RPM,0.0km/h
1150,935.0RPM,0.0km/h
1250,937.0RPM,0.0km/h
1350,931.0RPM,0.0km/h
560,931.0RPM,0.0km/h
660,935.0RPM,0.0km/h
760,943.0RPM,0.0km/h
860,946.0RPM,0.0km/h
960,944.0RPM,0.0km/h
1060,938.0RPM,0.0km/h
1160,938.0RPM,0.0km/h
1260,943.0RPM,0.0km/h
1360,940.0RPM,0.0km/h
470,939.0RPM,0.0km/h
570,941.0RPM,0.0km/h
670,938.0RPM,0.0km/h
770,935.0RPM,0.0km/h
970,926.0RPM,0.0km/h
1070,929.0RPM,0.0km/h
1170,929.0RPM,0.0km/h
1270,936.0RPM,0.0km/h
1370,936.0RPM,0.0km/h
480,933.0RPM,0.0km/h
580,936.0RPM,0.0km/h
680,936.0RPM,0.0km/h
780,938.0RPM,0.0km/h
880,943.0RPM,0.0km/h
980,944.0RPM,0.0km/h
1080,940.0RPM,0.0km/h
1180,941.0RPM,0.0km/h
1280,940.0RPM,0.0km/h
1380,943.0RPM,0.0km/h
490,944.0RPM,0.0km/h
590,942.0RPM,0.0km/h
690,938.0RPM,0.0km/h
790,930.0RPM,0.0km/h
890,927.0RPM,0.0km/h
1090,924.0RPM,0.0km/h
1190,927.0RPM,0.0km/h
1290,926.0RPM,0.0km/h
1390,927.0RPM,0.0km/h
500,916.0RPM,0.0km/h
600,916.0RPM,0.0km/h
700,914.0RPM,0.0km/h
800,911.0RPM,0.0km/h
900,912.0RPM,0.0km/h
1000,910.0RPM,0.0km/h
1100,915.0RPM,0.0km/h
1300,906.0RPM,0.0km/h
1400,907.0RPM,0.0km/h
510,900.0RPM,0.0km/h
610,905.0RPM,0.0km/h
710,906.0RPM,0.0km/h
810,901.0RPM,0.0km/h
910,900.0RPM,0.0km/h
1010,897.0RPM,0.0km/h
1110,901.0RPM,0.0km/h
1210,904.0RPM,0.0km/h
1410,905.0RPM,0.0km/h
520,910.0RPM,0.0km/h
620,900.0RPM,0.0km/h
720,903.0RPM,0.0km/h
820,901.0RPM,0.0km/h
920,905.0RPM,0.0km/h
1020,904.0RPM,0.0km/h
1120,901.0RPM,0.0km/h
1220,896.0RPM,0.0km/h
1320,895.0RPM,0.0km/h
1420,885.0RPM,0.0km/h
530,885.0RPM,0.0km/h
630,891.0RPM,0.0km/h
730,896.0RPM,0.0km/h
830,894.0RPM,0.0km/h
1030,890.0RPM,0.0km/h
1130,889.0RPM,0.0km/h
1230,882.0RPM,0.0km/h
1330,880.0RPM,0.0km/h
1430,881.0RPM,0.0km/h
540,885.0RPM,0.0km/h
640,880.0RPM,0.0km/h
740,880.0RPM,0.0km/h
840,886.0RPM,0.0km/h
940,889.0RPM,0.0km/h
1040,893.0RPM,0.0km/h
1240,890.0RPM,0.0km/h
1340,888.0RPM,0.0km/h
1440,882.0RPM,0.0km/h
550,881.0RPM,0.0km/h
650,879.0RPM,0.0km/h
750,877.0RPM,0.0km/h
850,878.0RPM,0.0km/h
950,885.0RPM,0.0km/h
1050,876.0RPM,0.0km/h
1150,877.0RPM,0.0km/h
1250,879.0RPM,0.0km/h
1450,881.0RPM,0.0km/h
560,882.0RPM,0.0km/h
660,884.0RPM,0.0km/h
760,883.0RPM,0.0km/h
860,878.0RPM,0.0km/h
960,869.0RPM,0.0km/h
1060,876.0RPM,0.0km/h
1160,881.0RPM,0.0km/h
1260,887.0RPM,0.0km/h
1360,881.0RPM,0.0km/h
1460,871.0RPM,0.0km/h
570,872.0RPM,0.0km/h
670,878.0RPM,0.0km/h
870,881.0RPM,0.0km/h
970,877.0RPM,0.0km/h
1070,877.0RPM,0.0km/h
1170,876.0RPM,0.0km/h
1270,875.0RPM,0.0km/h
1470,876.0RPM,0.0km/h
580,876.0RPM,0.0km/h
680,876.0RPM,0.0km/h
780,876.0RPM,0.0km/h
880,880.0RPM,0.0km/h
980,878.0RPM,0.0km/h
1180,879.0RPM,0.0km/h
1280,880.0RPM,0.0km/h
1380,879.0RPM,0.0km/h
1480,880.0RPM,0.0km/h
590,866.0RPM,0.0km/h
790,872.0RPM,0.0km/h
890,880.0RPM,0.0km/h
