"timestamp","sys_time","abs_timestamp","raw_x_mag","raw_y_mag","raw_z_mag"
"0.0","1508813124135","2442714314859710","-90.0","95.0625","21.625"
"10.0","1508813124145","2442714324867522","-89.9375","95.125","21.875"
"19.0","1508813124155","2442714334848772","-89.8125","95.125","21.9375"
"30.0","1508813124165","2442714344859710","-89.8125","95.25","22.375"
"40.0","1508813124175","2442714354870647","-89.4375","95.3125","22.6875"
"49.0","1508813124186","2442714364850335","-89.375","95.625","22.8125"
"60.0","1508813124195","2442714374889397","-89.4375","95.875","23.1875"
"70.0","1508813124205","2442714384872210","-89.625","95.875","23.125"
"79.0","1508813124216","2442714394853460","-89.75","95.8125","23.125"
"90.0","1508813124228","2442714404880022","-89.4375","96.0625","23.0"
"100.0","1508813124236","2442714414873772","-89.5625","96.125","22.9375"
"109.0","1508813124245","2442714424855022","-89.625","95.9375","22.5625"
"120.0","1508813124255","2442714434865960","-89.6875","95.9375","22.375"
"130.0","1508813124265","2442714444903460","-89.875","95.75","22.1875"
"139.0","1508813124275","2442714454856585","-89.625","95.9375","21.9375"
"150.0","1508813124285","2442714464869085","-89.375","95.9375","22.125"
"159.0","1508813124295","2442714474847210","-89.75","95.875","22.375"
"169.0","1508813124305","2442714484858147","-89.75","95.25","22.8125"
"180.0","1508813124316","2442714494895647","-89.5625","95.25","23.0"
"189.0","1508813124325","2442714504848772","-89.75","95.625","23.125"
"200.0","1508813124335","2442714514887835","-90.0625","95.5","23.125"
"210.0","1508813124345","2442714524887835","-90.0625","95.625","23.1875"
"219.0","1508813124355","2442714534851897","-89.8125","95.625","23.3125"
"230.0","1508813124365","2442714544862835","-90.0","95.625","23.125"
"240.0","1508813124375","2442714554873772","-89.625","95.875","23.1875"
"249.0","1508813124386","2442714564853460","-89.8125","96.0","22.8125"
"260.0","1508813124395","2442714574864397","-90.0625","96.1875","22.5"
"270.0","1508813124407","2442714584901897","-90.0","96.0625","22.375"
"279.0","1508813124415","2442714594855022","-89.8125","96.0","22.5"
"290.0","1508813124425","2442714604867522","-89.75","95.8125","22.5625"
"299.0","1508813124436","2442714614847210","-89.75","95.5","22.9375"
"310.0","1508813124445","2442714624862835","-89.625","95.625","23.3125"
"320.0","1508813124456","2442714634869085","-89.75","95.625","22.75"
"330.0","1508813124465","2442714644865960","-89.5625","95.625","22.625"
"340.0","1508813124476","2442714654886272","-89.25","95.5","22.8125"
"350.0","1508813124485","2442714664870647","-89.25","95.5","22.8125"
"359.0","1508813124495","2442714674850335","-89.25","95.6875","22.5"
"370.0","1508813124505","2442714684861272","-89.375","95.8125","22.1875"
"380.0","1508813124516","2442714694898772","-89.75","95.8125","21.75"
"389.0","1508813124525","2442714704853460","-90.0","95.875","21.1875"
"400.0","1508813124535","2442714714862835","-89.8125","96.0","21.5625"
"410.0","1508813124546","2442714724901897","-89.9375","96.1875","21.8125"
"419.0","1508813124555","2442714734855022","-90.1875","96.0625","22.0"
"430.0","1508813124565","2442714744865960","-90.25","96.0625","22.3125"
"440.0","1508813124576","2442714754876897","-90.375","96.0","22.5625"
