"timestamp","sys_time","abs_timestamp","raw_x_rot","raw_y_rot","raw_z_rot"
"0.0","1508813124140","2442714319414397","-0.131347","-0.621469","-0.148751"
"19.0","1508813124160","2442714339405022","-0.131535","-0.621497","-0.148528"
"40.0","1508813124184","2442714359426897","-0.131411","-0.62156","-0.14848"
"60.0","1508813124201","2442714379419085","-0.131302","-0.621717","-0.148292"
"79.0","1508813124221","2442714399409710","-0.131448","-0.621711","-0.148245"
"99.0","1508813124240","2442714419400335","-0.131189","-0.621676","-0.148483"
"120.0","1508813124260","2442714439422210","-0.131008","-0.621635","-0.148599"
"139.0","1508813124280","2442714459412835","-0.13098","-0.621805","-0.148375"
"159.0","1508813124300","2442714479403460","-0.130863","-0.621808","-0.148304"
"180.0","1508813124320","2442714499425335","-0.130435","-0.621874","-0.148457"
"200.0","1508813124341","2442714519417522","-0.13015","-0.622118","-0.148341"
"219.0","1508813124360","2442714539408147","-0.130618","-0.621961","-0.148324"
"239.0","1508813124380","2442714559398772","-0.131139","-0.621688","-0.14835499"
"260.0","1508813124406","2442714579420647","-0.130854","-0.621647","-0.148506"
"279.0","1508813124423","2442714599411272","-0.13043","-0.622008","-0.148188"
"300.0","1508813124441","2442714619445647","-0.130635","-0.621978","-0.147945"
"320.0","1508813124460","2442714639425335","-0.130865","-0.621757","-0.14802"
"340.0","1508813124481","2442714659415960","-0.130676","-0.621682","-0.148133"
"359.0","1508813124500","2442714679408147","-0.13047","-0.621973","-0.147912"
"379.0","1508813124520","2442714699398772","-0.13070899","-0.621793","-0.147738"
"400.0","1508813124541","2442714719420647","-0.130332","-0.621893","-0.147545"
"419.0","1508813124560","2442714739411272","-0.130018","-0.621871","-0.147435"
"439.0","1508813124580","2442714759401897","-0.129556","-0.622088","-0.147279"
"460.0","1508813124600","2442714779425335","-0.129354","-0.622175","-0.14723"
"480.0","1508813124620","2442714799415960","-0.129388","-0.622323","-0.147029"
"499.0","1508813124641","2442714819406585","-0.129265","-0.622266","-0.147068"
"519.0","1508813124660","2442714839397210","-0.128597","-0.622415","-0.147163"
"540.0","1508813124680","2442714859419085","-0.128884","-0.622474","-0.146712"
