sys_time,timestamp,abs_timestamp,raw_x_gyro,raw_y_gyro,raw_z_gyro
100,4600.0,2514539968432283.0,0.0,0.0,0.0
300,4800.0,2514540168435408.0,0.02565634,0.07452556,0.017104227
500,5000.0,2514540368440096.0,0.0,0.0,0.0
700,5200.0,2514540568441658.0,0.0,0.0,0.0
900,5400.0,2514540768444783.0,0.0,0.0,0.0
1100,5600.0,2514540968446346.0,0.0,0.0,0.0
1300,5800.0,2514541168451033.0,0.0,0.0,0.0
1500,6000.0,2514541368422908.0,0.0,0.0,0.0
1700,6200.0,2514541568424471.0,0.0,0.0,0.0
1900,6400.0,2514541768429158.0,0.0,0.0,0.0
2100,6600.0,2514541968432283.0,0.0,0.0,0.0
2300,6800.0,2514542168435408.0,0.0,0.0,0.0
2500,7000.0,2514542368438533.0,0.0,0.0,0.0
2700,7200.0,2514542568441658.0,0.0,0.0,0.0
2900,7400.0,2514542768443221.0,0.0,0.0,0.0
3100,7600.0,2514542968447908.0,0.0,0.0,0.0
3300,7800.0,2514543168451033.0,0.0,0.0,0.0
3500,8000.0,2514543368422908.0,0.0,0.0,0.0
3700,8200.0,2514543568426033.0,0.0,0.0,0.0
3900,8400.0,2514543768427596.0,-0.07086037,0.08552113,0.004886922
4100,8600.0,2514543968432283.0,0.0,0.0,0.0
4300,8800.0,2514544168433846.0,0.0,0.0,0.0
4500,9000.0,2514544368438533.0,0.0,0.0,0.0
4700,9200.0,2514544568440096.0,0.0,0.0,0.0
4900,9400.0,2514544768444783.0,0.0,0.0,0.0
5100,9600.0,2514544968446346.0,0.0,0.0,0.0
5300,9800.0,2514545168451033.0,-0.02076942,0.057421334,-0.04642576
5500,9999.0,2514545368421346.0,0.0,0.0,0.0
5700,10200.0,2514545568426033.0,0.0,0.0,0.0
5900,10400.0,2514545768427596.0,0.0,0.0,0.0
6100,10600.0,2514545968430721.0,0.0,0.0,0.0
6300,10800.0,2514546168433846.0,0.0,0.0,0.0
6500,11000.0,2514546368438533.0,0.0,0.0,0.0
6700,11200.0,2514546568440096.0,0.0,0.0,0.0
6900,11400.0,2514546768444783.0,0.0,0.0,0.0
7100,11600.0,2514546968446346.0,0.0,0.0,0.0
7300,11800.0,2514547168449471.0,0.0,0.0,0.0
7500,11999.0,2514547368421346.0,0.0,0.06597344599999999,0.039095376
7700,12200.0,2514547568424471.0,0.0,0.0,0.0
7900,12400.0,2514547768427596.0,0.0,0.0,0.0
8100,12600.0,2514547968430721.0,0.0,0.0,0.0
8300,12800.0,2514548168433846.0,0.0,0.0,0.0
8500,13000.0,2514548368436971.0,0.0,0.0,0.0
8700,13200.0,2514548568440096.0,-0.07941248,0.0061086523,-0.012217305
8900,13400.0,2514548768443221.0,0.0,0.0,0.0
9100,13600.0,2514548968446346.0,0.07819075,0.007330383,0.002443461
9300,13800.0,2514549168449471.0,0.0,0.0,0.0
9500,13999.0,2514549368419783.0,0.0,0.0,0.0
9700,14200.0,2514549568424471.0,0.0,0.0,0.0
9900,14400.0,2514549768427596.0,0.103847094,-0.13805555,0.02687807
10100,14600.0,2514549968430721.0,0.07574729,-0.08063421400000001,0.014660766
10300,14800.0,2514550168433846.0,-0.056199603,0.056199603,-0.007330383
10500,15000.0,2514550368436971.0,0.0,0.0,0.0
10700,15200.0,2514550568440096.0,0.0,0.0,0.0
10900,0.0,2514550768443221.0,-0.056199603,0.05497787,0.0
11100,200.0,2514550968446346.0,0.0,0.0,0.0
11300,400.0,2514551168449471.0,0.06841691,-0.035430185,0.015882496
11500,599.0,2514551368421346.0,0.0,0.0,0.0
11700,799.0,2514551568422908.0,-0.057421334,0.05009095,-0.002443461
11900,999.0,2514551768426033.0,0.0,0.0,0.0
12100,1199.0,2514551968430721.0,-0.035430185,0.06963864,0.009773844
12300,1399.0,2514552168433846.0,0.04153884,-0.064751714,0.02443461
12500,1599.0,2514552368436971.0,-0.07941248,0.012217305,0.0
12700,1799.0,2514552568438533.0,0.0,0.0,0.0
12900,2000.0,2514552768443221.0,0.0,0.0,0.0
13100,2200.0,2514552968446346.0,-0.028099801,0.06963864,0.02076942
13300,2400.0,2514553168447908.0,0.10751228,-0.019547688,0.004886922
13500,2599.0,2514553368421346.0,0.0,0.0,0.0
13700,2799.0,2514553568422908.0,-0.012217305,-0.04642576,0.09773844
13900,2999.0,2514553768427596.0,-0.08674286,0.14660765,-0.037873644
14100,3199.0,2514553968429158.0,-0.089186326,0.11728613,-0.04886922
14300,3399.0,2514554168432283.0,0.04886922,-0.07941248,0.06597344599999999
14500,3599.0,2514554368436971.0,0.0,0.0,0.0
14700,3799.0,2514554568440096.0,0.0,0.0,0.0
14900,3999.0,2514554768441658.0,0.0,0.0,0.0
15100,4200.0,2514554968446346.0,0.0,0.0,0.0
15300,4400.0,2514555168447908.0,0.02443461,0.10262536,0.036651913
15500,4599.0,2514555368421346.0,0.0,0.0,0.0
15700,4799.0,2514555568422908.0,0.0,0.0,0.0
15900,4999.0,2514555768426033.0,-0.047647487,0.05497787,-0.0842994
16100,5199.0,2514555968429158.0,0.0,0.0,0.0
16300,5399.0,2514556168432283.0,-0.04153884,0.12339478,-0.12339478
16500,5599.0,2514556368435408.0,0.06352998,-0.029321533,0.040317107000000005
16700,5799.0,2514556568438533.0,0.0,0.0,0.0
16900,5999.0,2514556768441658.0,0.042760565999999986,-0.004886922,0.06597344599999999
17100,6200.0,2514556968444783.0,0.0,0.0,0.0
