timestamp,RPM,Speed
0,1692.0RPM,0.0km/h
800,1694.0RPM,0.0km/h
210,1693.0RPM,0.0km/h
410,1695.0RPM,0.0km/h
610,1693.0RPM,0.0km/h
810,1691.0RPM,0.0km/h
20,1687.0RPM,0.0km/h
220,1693.0RPM,0.0km/h
420,1691.0RPM,0.0km/h
620,1688.0RPM,0.0km/h
820,1685.0RPM,0.0km/h
30,1686.0RPM,0.0km/h
230,1677.0RPM,0.0km/h
430,1676.0RPM,0.0km/h
630,1679.5RPM,0.0km/h
830,1683.5RPM,0.0km/h
40,1684.0RPM,0.0km/h
240,1688.0RPM,0.0km/h
440,1687.5RPM,0.0km/h
640,1685.5RPM,0.0km/h
840,1694.0RPM,0.0km/h
50,1698.5RPM,0.0km/h
250,1692.5RPM,0.0km/h
450,1690.5RPM,0.0km/h
650,1694.0RPM,0.0km/h
850,1698.0RPM,0.0km/h
60,1694.0RPM,0.0km/h
260,1678.5RPM,0.0km/h
460,1670.0RPM,0.0km/h
660,1670.5RPM,0.0km/h
860,1666.5RPM,0.0km/h
70,1668.0RPM,0.0km/h
270,1662.5RPM,0.0km/h
470,1660.0RPM,0.0km/h
670,1672.5RPM,0.0km/h
870,1666.5RPM,0.0km/h
80,1663.0RPM,0.0km/h
280,1665.5RPM,0.0km/h
480,1667.0RPM,0.0km/h
680,1665.0RPM,0.0km/h
880,1612.5RPM,0.0km/h
90,1535.0RPM,0.0km/h
290,1399.0RPM,0.0km/h
490,1219.0RPM,0.0km/h
690,1104.5RPM,0.0km/h
890,1004.5RPM,0.0km/h
100,874.5RPM,0.0km/h
300,848.0RPM,0.0km/h
500,846.0RPM,0.0km/h
700,835.5RPM,0.0km/h
900,825.0RPM,0.0km/h
110,798.5RPM,0.0km/h
310,804.0RPM,0.5km/h
510,813.0RPM,1.0km/h
710,808.5RPM,2.0km/h
910,813.0RPM,2.0km/h
120,800.5RPM,2.0km/h
320,810.5RPM,2.0km/h
520,811.5RPM,2.5km/h
720,818.5RPM,3.0km/h
920,822.0RPM,3.0km/h
130,816.0RPM,3.0km/h
330,810.0RPM,3.0km/h
530,825.0RPM,3.0km/h
730,825.0RPM,4.0km/h
930,837.5RPM,4.0km/h
140,850.5RPM,4.0km/h
340,850.5RPM,4.0km/h
540,856.0RPM,4.0km/h
740,849.5RPM,4.0km/h
940,848.0RPM,4.0km/h
150,834.5RPM,4.0km/h
350,832.0RPM,4.0km/h
550,835.0RPM,5.0km/h
750,839.0RPM,5.0km/h
950,835.0RPM,5.0km/h
160,835.5RPM,4.5km/h
360,813.5RPM,4.0km/h
560,825.0RPM,4.0km/h
760,832.5RPM,4.5km/h
960,851.5RPM,5.0km/h
170,906.5RPM,5.0km/h
370,959.0RPM,5.0km/h
570,984.5RPM,5.0km/h
770,1075.0RPM,5.0km/h
970,1234.0RPM,6.0km/h
180,1393.0RPM,6.0km/h
380,1507.0RPM,7.0km/h
580,1586.0RPM,8.0km/h
780,1640.0RPM,9.0km/h
980,1712.5RPM,10.0km/h
190,1747.5RPM,11.0km/h
390,1654.5RPM,12.5km/h
590,1597.0RPM,13.0km/h
790,1571.0RPM,14.0km/h
990,1582.5RPM,15.0km/h
200,1560.5RPM,16.0km/h
400,1511.5RPM,17.5km/h
600,1439.0RPM,18.0km/h
800,1418.0RPM,19.0km/h
1000,1398.0RPM,19.5km/h
210,1381.0RPM,21.0km/h
410,1367.0RPM,21.5km/h
610,1356.0RPM,22.5km/h
810,1331.0RPM,23.0km/h
1010,1303.0RPM,23.5km/h
220,1287.0RPM,24.0km/h
420,1311.5RPM,24.0km/h
620,1322.0RPM,24.0km/h
820,1227.0RPM,24.0km/h
1020,1197.0RPM,24.0km/h
230,1138.5RPM,24.0km/h
430,1230.0RPM,24.0km/h
630,1258.0RPM,24.0km/h
830,1199.0RPM,24.0km/h
1030,1135.5RPM,24.0km/h
240,1120.0RPM,24.0km/h
440,1103.5RPM,24.0km/h
640,1125.0RPM,23.0km/h
840,1153.5RPM,23.0km/h
1040,1152.5RPM,22.5km/h
250,1146.0RPM,22.0km/h
450,1137.5RPM,21.5km/h
650,1131.0RPM,21.0km/h
850,1133.5RPM,20.5km/h
1050,1118.5RPM,20.0km/h
260,1120.0RPM,19.0km/h
460,1114.5RPM,18.5km/h
660,1105.5RPM,18.0km/h
860,1110.0RPM,17.0km/h
1060,1094.0RPM,16.5km/h
270,1100.0RPM,16.0km/h
470,1111.5RPM,16.0km/h
670,1119.5RPM,15.0km/h
870,1119.5RPM,15.0km/h
1070,1087.5RPM,15.0km/h
280,1080.5RPM,14.0km/h
480,1072.5RPM,14.0km/h
680,1149.0RPM,14.0km/h
880,1228.0RPM,14.0km/h
1080,1292.5RPM,14.0km/h
290,1292.0RPM,14.0km/h
490,1287.0RPM,14.0km/h
690,1326.0RPM,14.0km/h
890,1424.0RPM,14.0km/h
1090,1487.5RPM,15.0km/h
300,1495.0RPM,15.0km/h
500,1496.0RPM,16.0km/h
700,1478.0RPM,16.5km/h
900,1430.0RPM,17.0km/h
1100,1380.0RPM,17.5km/h
310,1324.0RPM,18.0km/h
510,1252.5RPM,18.0km/h
710,1210.0RPM,18.0km/h
910,1268.0RPM,18.0km/h
1110,1269.5RPM,18.0km/h
320,1237.0RPM,18.0km/h
520,1203.0RPM,18.0km/h
720,1150.5RPM,18.0km/h
920,1095.5RPM,17.0km/h
1120,1066.0RPM,17.0km/h
330,1052.5RPM,16.5km/h
530,1051.0RPM,16.0km/h
730,1062.0RPM,15.5km/h
930,1044.0RPM,14.5km/h
1130,1046.0RPM,14.0km/h
340,1033.5RPM,13.5km/h
540,1008.5RPM,13.0km/h
740,1020.0RPM,13.0km/h
940,1060.5RPM,13.0km/h
1140,1293.0RPM,13.0km/h
350,1449.0RPM,13.0km/h
550,1568.5RPM,13.5km/h
750,1673.5RPM,14.5km/h
950,1645.5RPM,15.0km/h
1150,1628.5RPM,15.5km/h
360,1631.0RPM,16.0km/h
560,1631.0RPM,17.0km/h
760,1615.0RPM,18.0km/h
960,1567.0RPM,19.0km/h
1160,1484.5RPM,19.5km/h
370,1384.5RPM,20.5km/h
570,1299.0RPM,21.0km/h
770,1270.0RPM,21.5km/h
970,1288.0RPM,22.0km/h
1170,1361.5RPM,22.0km/h
380,1391.0RPM,21.0km/h
580,1336.5RPM,21.5km/h
780,1225.5RPM,21.0km/h
980,1106.5RPM,20.5km/h
1180,1042.5RPM,20.0km/h
390,1132.5RPM,18.5km/h
590,1141.0RPM,18.0km/h
790,1092.0RPM,17.0km/h
990,1004.5RPM,15.5km/h
1190,962.5RPM,14.0km/h
400,983.0RPM,12.5km/h
600,984.5RPM,10.5km/h
800,938.0RPM,9.5km/h
1000,872.5RPM,8.5km/h
1200,851.0RPM,6.5km/h
410,831.5RPM,5.5km/h
610,811.0RPM,5.0km/h
810,785.0RPM,4.0km/h
1010,779.5RPM,3.0km/h
1210,776.5RPM,2.0km/h
420,761.5RPM,2.0km/h
620,750.0RPM,0.0km/h
820,751.0RPM,0.0km/h
1020,749.5RPM,0.0km/h
1220,752.0RPM,0.0km/h
430,773.0RPM,0.0km/h
630,782.5RPM,0.0km/h
830,778.5RPM,0.0km/h
1030,783.0RPM,0.0km/h
1230,792.0RPM,0.0km/h
440,799.0RPM,0.0km/h
640,794.5RPM,0.0km/h
840,775.5RPM,0.0km/h
1040,781.0RPM,0.0km/h
1240,779.5RPM,0.0km/h
450,776.0RPM,0.0km/h
650,782.0RPM,0.0km/h
850,783.0RPM,0.0km/h
1050,780.5RPM,0.0km/h
1250,780.0RPM,0.0km/h
460,783.0RPM,0.0km/h
660,782.5RPM,0.0km/h
860,775.0RPM,0.0km/h
1060,781.0RPM,0.0km/h
1260,774.0RPM,0.0km/h
470,779.5RPM,0.0km/h
670,782.0RPM,0.0km/h
870,785.5RPM,0.0km/h
1070,761.5RPM,0.0km/h
1270,769.5RPM,0.0km/h
480,778.0RPM,0.0km/h
680,771.5RPM,0.0km/h
880,773.0RPM,0.0km/h
1080,783.0RPM,0.0km/h
1280,777.5RPM,0.0km/h
490,776.0RPM,0.0km/h
690,770.5RPM,0.0km/h
890,765.0RPM,0.0km/h
1090,776.5RPM,0.0km/h
1290,802.0RPM,0.0km/h
500,810.5RPM,0.5km/h
700,808.5RPM,2.0km/h
900,795.0RPM,2.0km/h
1100,779.5RPM,3.0km/h
1300,781.0RPM,3.0km/h
510,787.0RPM,3.0km/h
710,821.0RPM,4.0km/h
910,1301.5RPM,4.5km/h
1110,1674.5RPM,6.5km/h
1310,1764.5RPM,7.5km/h
