timestamp,RPM,Speed
0,1692.0RPM,0.0km/h
800,1694.0RPM,0.0km/h
310,1693.0RPM,0.0km/h
510,1695.0RPM,0.0km/h
710,1693.0RPM,0.0km/h
910,1691.0RPM,0.0km/h
120,1687.0RPM,0.0km/h
320,1693.0RPM,0.0km/h
520,1691.0RPM,0.0km/h
720,1688.0RPM,0.0km/h
820,1685.0RPM,0.0km/h
30,1681.0RPM,0.0km/h
130,1691.0RPM,0.0km/h
330,1677.0RPM,0.0km/h
530,1676.0RPM,0.0km/h
630,1677.0RPM,0.0km/h
730,1682.0RPM,0.0km/h
830,1680.0RPM,0.0km/h
930,1687.0RPM,0.0km/h
40,1684.0RPM,0.0km/h
240,1686.0RPM,0.0km/h
340,1690.0RPM,0.0km/h
440,1689.0RPM,0.0km/h
540,1686.0RPM,0.0km/h
640,1685.0RPM,0.0km/h
740,1686.0RPM,0.0km/h
840,1691.0RPM,0.0km/h
940,1697.0RPM,0.0km/h
50,1700.0RPM,0.0km/h
150,1697.0RPM,0.0km/h
250,1690.0RPM,0.0km/h
350,1695.0RPM,0.0km/h
450,1692.0RPM,0.0km/h
550,1689.0RPM,0.0km/h
650,1698.0RPM,0.0km/h
750,1690.0RPM,0.0km/h
850,1698.0RPM,0.0km/h
950,1698.0RPM,0.0km/h
60,1698.0RPM,0.0km/h
160,1690.0RPM,0.0km/h
260,1686.0RPM,0.0km/h
360,1671.0RPM,0.0km/h
460,1670.0RPM,0.0km/h
660,1675.0RPM,0.0km/h
760,1666.0RPM,0.0km/h
860,1663.0RPM,0.0km/h
960,1670.0RPM,0.0km/h
70,1668.0RPM,0.0km/h
170,1668.0RPM,0.0km/h
270,1664.0RPM,0.0km/h
370,1661.0RPM,0.0km/h
470,1660.0RPM,0.0km/h
570,1660.0RPM,0.0km/h
670,1666.0RPM,0.0km/h
770,1679.0RPM,0.0km/h
870,1675.0RPM,0.0km/h
970,1658.0RPM,0.0km/h
80,1663.0RPM,0.0km/h
280,1665.0RPM,0.0km/h
380,1666.0RPM,0.0km/h
480,1667.0RPM,0.0km/h
580,1667.0RPM,0.0km/h
680,1665.0RPM,0.0km/h
880,1612.5RPM,0.0km/h
90,1570.0RPM,0.0km/h
190,1500.0RPM,0.0km/h
290,1423.0RPM,0.0km/h
390,1375.0RPM,0.0km/h
490,1269.0RPM,0.0km/h
590,1169.0RPM,0.0km/h
690,1131.0RPM,0.0km/h
790,1078.0RPM,0.0km/h
890,1027.0RPM,0.0km/h
990,982.0RPM,0.0km/h
100,894.0RPM,0.0km/h
200,855.0RPM,0.0km/h
300,848.0RPM,0.0km/h
500,848.0RPM,0.0km/h
600,844.0RPM,0.0km/h
700,841.0RPM,0.0km/h
800,830.0RPM,0.0km/h
900,825.0RPM,0.0km/h
1000,825.0RPM,0.0km/h
110,801.0RPM,0.0km/h
210,796.0RPM,0.0km/h
310,799.0RPM,0.0km/h
410,809.0RPM,1.0km/h
610,813.0RPM,1.0km/h
710,809.0RPM,2.0km/h
810,808.0RPM,2.0km/h
910,808.0RPM,2.0km/h
1010,818.0RPM,2.0km/h
120,801.0RPM,2.0km/h
220,800.0RPM,2.0km/h
320,808.0RPM,2.0km/h
420,813.0RPM,2.0km/h
520,812.0RPM,2.0km/h
620,811.0RPM,3.0km/h
720,818.0RPM,3.0km/h
820,819.0RPM,3.0km/h
920,825.0RPM,3.0km/h
1020,819.0RPM,3.0km/h
230,816.0RPM,3.0km/h
330,804.0RPM,3.0km/h
430,816.0RPM,3.0km/h
530,830.0RPM,3.0km/h
630,820.0RPM,3.0km/h
730,825.0RPM,4.0km/h
930,836.0RPM,4.0km/h
1030,839.0RPM,4.0km/h
140,850.0RPM,4.0km/h
240,851.0RPM,4.0km/h
340,851.0RPM,4.0km/h
440,850.0RPM,4.0km/h
640,856.0RPM,4.0km/h
740,851.0RPM,4.0km/h
840,848.0RPM,4.0km/h
940,849.0RPM,4.0km/h
1040,847.0RPM,4.0km/h
150,833.0RPM,4.0km/h
250,836.0RPM,4.0km/h
450,832.0RPM,4.0km/h
550,833.0RPM,5.0km/h
650,837.0RPM,5.0km/h
750,844.0RPM,5.0km/h
850,834.0RPM,5.0km/h
950,836.0RPM,5.0km/h
1050,834.0RPM,5.0km/h
160,841.0RPM,5.0km/h
260,830.0RPM,4.0km/h
360,815.0RPM,4.0km/h
460,812.0RPM,4.0km/h
560,820.0RPM,4.0km/h
660,830.0RPM,4.0km/h
760,834.0RPM,4.0km/h
860,831.0RPM,5.0km/h
960,842.0RPM,5.0km/h
1060,861.0RPM,5.0km/h
170,884.0RPM,5.0km/h
270,929.0RPM,5.0km/h
370,959.0RPM,5.0km/h
570,980.0RPM,5.0km/h
670,989.0RPM,5.0km/h
770,1038.0RPM,5.0km/h
870,1112.0RPM,5.0km/h
970,1210.0RPM,6.0km/h
1070,1258.0RPM,6.0km/h
180,1367.0RPM,6.0km/h
280,1419.0RPM,6.0km/h
380,1495.0RPM,7.0km/h
480,1519.0RPM,7.0km/h
580,1568.0RPM,8.0km/h
680,1604.0RPM,8.0km/h
780,1619.0RPM,9.0km/h
880,1661.0RPM,9.0km/h
980,1689.0RPM,10.0km/h
1080,1736.0RPM,10.0km/h
190,1765.0RPM,11.0km/h
290,1730.0RPM,11.0km/h
390,1688.0RPM,12.0km/h
490,1621.0RPM,13.0km/h
690,1597.0RPM,13.0km/h
790,1569.0RPM,14.0km/h
890,1573.0RPM,14.0km/h
990,1584.0RPM,15.0km/h
1090,1581.0RPM,15.0km/h
200,1571.0RPM,16.0km/h
300,1550.0RPM,16.0km/h
400,1530.0RPM,17.0km/h
500,1493.0RPM,18.0km/h
700,1439.0RPM,18.0km/h
800,1426.0RPM,19.0km/h
900,1410.0RPM,19.0km/h
1000,1404.0RPM,19.0km/h
1100,1392.0RPM,20.0km/h
210,1386.0RPM,21.0km/h
310,1376.0RPM,21.0km/h
410,1368.0RPM,22.0km/h
510,1366.0RPM,21.0km/h
610,1356.0RPM,22.0km/h
710,1356.0RPM,23.0km/h
910,1331.0RPM,23.0km/h
1010,1320.0RPM,23.0km/h
1110,1286.0RPM,24.0km/h
220,1282.0RPM,24.0km/h
320,1292.0RPM,24.0km/h
420,1304.0RPM,24.0km/h
520,1319.0RPM,24.0km/h
620,1325.0RPM,24.0km/h
720,1319.0RPM,24.0km/h
820,1227.0RPM,24.0km/h
1020,1197.0RPM,24.0km/h
230,1110.0RPM,24.0km/h
330,1167.0RPM,24.0km/h
430,1206.0RPM,24.0km/h
530,1254.0RPM,24.0km/h
630,1263.0RPM,24.0km/h
730,1253.0RPM,24.0km/h
830,1206.0RPM,24.0km/h
930,1192.0RPM,24.0km/h
1030,1156.0RPM,24.0km/h
1130,1115.0RPM,24.0km/h
340,1120.0RPM,24.0km/h
440,1111.0RPM,24.0km/h
540,1096.0RPM,24.0km/h
640,1106.0RPM,23.0km/h
740,1144.0RPM,23.0km/h
840,1153.0RPM,23.0km/h
940,1154.0RPM,23.0km/h
1040,1153.0RPM,23.0km/h
1140,1152.0RPM,22.0km/h
250,1149.0RPM,22.0km/h
350,1143.0RPM,22.0km/h
450,1140.0RPM,22.0km/h
550,1135.0RPM,21.0km/h
650,1131.0RPM,21.0km/h
850,1131.0RPM,21.0km/h
950,1136.0RPM,20.0km/h
1050,1124.0RPM,20.0km/h
1150,1113.0RPM,20.0km/h
260,1123.0RPM,19.0km/h
360,1117.0RPM,19.0km/h
460,1112.0RPM,19.0km/h
560,1117.0RPM,18.0km/h
660,1112.0RPM,18.0km/h
760,1099.0RPM,18.0km/h
860,1107.0RPM,17.0km/h
960,1113.0RPM,17.0km/h
1060,1092.0RPM,17.0km/h
1160,1096.0RPM,16.0km/h
370,1100.0RPM,16.0km/h
470,1116.0RPM,16.0km/h
570,1107.0RPM,16.0km/h
670,1114.0RPM,15.0km/h
770,1125.0RPM,15.0km/h
870,1123.0RPM,15.0km/h
970,1116.0RPM,15.0km/h
1070,1090.0RPM,15.0km/h
1170,1085.0RPM,15.0km/h
280,1081.0RPM,14.0km/h
380,1080.0RPM,14.0km/h
480,1075.0RPM,14.0km/h
580,1070.0RPM,14.0km/h
680,1149.0RPM,14.0km/h
880,1228.0RPM,14.0km/h
1080,1286.0RPM,14.0km/h
1180,1299.0RPM,14.0km/h
290,1300.0RPM,14.0km/h
390,1284.0RPM,14.0km/h
490,1283.0RPM,14.0km/h
590,1291.0RPM,14.0km/h
690,1299.0RPM,14.0km/h
790,1353.0RPM,14.0km/h
990,1424.0RPM,14.0km/h
1090,1478.0RPM,15.0km/h
1190,1497.0RPM,15.0km/h
