sys_time,RPM,Speed
1970-01-01 00:00:00.000,1692.0RPM,0.0km/h
1970-01-01 00:00:00.800,1694.0RPM,0.0km/h
1970-01-01 00:00:01.300,1693.0RPM,0.0km/h
1970-01-01 00:00:01.500,1695.0RPM,0.0km/h
1970-01-01 00:00:01.700,1693.0RPM,0.0km/h
1970-01-01 00:00:01.900,1691.0RPM,0.0km/h
1970-01-01 00:00:02.100,1687.0RPM,0.0km/h
1970-01-01 00:00:02.300,1693.0RPM,0.0km/h
1970-01-01 00:00:02.500,1691.0RPM,0.0km/h
1970-01-01 00:00:02.700,1688.0RPM,0.0km/h
1970-01-01 00:00:02.800,1685.0RPM,0.0km/h
1970-01-01 00:00:03.000,1681.0RPM,0.0km/h
1970-01-01 00:00:03.100,1691.0RPM,0.0km/h
1970-01-01 00:00:03.300,1677.0RPM,0.0km/h
1970-01-01 00:00:03.500,1676.0RPM,0.0km/h
1970-01-01 00:00:03.600,1677.0RPM,0.0km/h
1970-01-01 00:00:03.700,1682.0RPM,0.0km/h
1970-01-01 00:00:03.800,1680.0RPM,0.0km/h
1970-01-01 00:00:03.900,1687.0RPM,0.0km/h
1970-01-01 00:00:04.000,1684.0RPM,0.0km/h
1970-01-01 00:00:04.200,1686.0RPM,0.0km/h
1970-01-01 00:00:04.300,1690.0RPM,0.0km/h
1970-01-01 00:00:04.400,1689.0RPM,0.0km/h
1970-01-01 00:00:04.500,1686.0RPM,0.0km/h
1970-01-01 00:00:04.600,1685.0RPM,0.0km/h
1970-01-01 00:00:04.700,1686.0RPM,0.0km/h
1970-01-01 00:00:04.800,1691.0RPM,0.0km/h
1970-01-01 00:00:04.900,1697.0RPM,0.0km/h
1970-01-01 00:00:05.000,1700.0RPM,0.0km/h
1970-01-01 00:00:05.100,1697.0RPM,0.0km/h
1970-01-01 00:00:05.200,1690.0RPM,0.0km/h
1970-01-01 00:00:05.300,1695.0RPM,0.0km/h
1970-01-01 00:00:05.400,1692.0RPM,0.0km/h
1970-01-01 00:00:05.500,1689.0RPM,0.0km/h
1970-01-01 00:00:05.600,1698.0RPM,0.0km/h
1970-01-01 00:00:05.700,1690.0RPM,0.0km/h
1970-01-01 00:00:05.800,1698.0RPM,0.0km/h
1970-01-01 00:00:05.900,1698.0RPM,0.0km/h
1970-01-01 00:00:06.000,1698.0RPM,0.0km/h
1970-01-01 00:00:06.100,1690.0RPM,0.0km/h
1970-01-01 00:00:06.200,1686.0RPM,0.0km/h
1970-01-01 00:00:06.300,1671.0RPM,0.0km/h
1970-01-01 00:00:06.400,1670.0RPM,0.0km/h
1970-01-01 00:00:06.600,1675.0RPM,0.0km/h
1970-01-01 00:00:06.700,1666.0RPM,0.0km/h
1970-01-01 00:00:06.800,1663.0RPM,0.0km/h
1970-01-01 00:00:06.900,1670.0RPM,0.0km/h
1970-01-01 00:00:07.000,1668.0RPM,0.0km/h
1970-01-01 00:00:07.100,1668.0RPM,0.0km/h
1970-01-01 00:00:07.200,1664.0RPM,0.0km/h
1970-01-01 00:00:07.300,1661.0RPM,0.0km/h
1970-01-01 00:00:07.400,1660.0RPM,0.0km/h
1970-01-01 00:00:07.500,1660.0RPM,0.0km/h
1970-01-01 00:00:07.600,1666.0RPM,0.0km/h
1970-01-01 00:00:07.700,1679.0RPM,0.0km/h
1970-01-01 00:00:07.800,1675.0RPM,0.0km/h
1970-01-01 00:00:07.900,1658.0RPM,0.0km/h
1970-01-01 00:00:08.000,1663.0RPM,0.0km/h
1970-01-01 00:00:08.200,1665.0RPM,0.0km/h
1970-01-01 00:00:08.300,1666.0RPM,0.0km/h
1970-01-01 00:00:08.400,1667.0RPM,0.0km/h
1970-01-01 00:00:08.500,1667.0RPM,0.0km/h
1970-01-01 00:00:08.600,1665.0RPM,0.0km/h
1970-01-01 00:00:08.800,1612.5RPM,0.0km/h
1970-01-01 00:00:09.000,1570.0RPM,0.0km/h
1970-01-01 00:00:09.100,1500.0RPM,0.0km/h
1970-01-01 00:00:09.200,1423.0RPM,0.0km/h
1970-01-01 00:00:09.300,1375.0RPM,0.0km/h
1970-01-01 00:00:09.400,1269.0RPM,0.0km/h
1970-01-01 00:00:09.500,1169.0RPM,0.0km/h
1970-01-01 00:00:09.600,1131.0RPM,0.0km/h
1970-01-01 00:00:09.700,1078.0RPM,0.0km/h
1970-01-01 00:00:09.800,1027.0RPM,0.0km/h
1970-01-01 00:00:09.900,982.0RPM,0.0km/h
1970-01-01 00:00:10.000,894.0RPM,0.0km/h
