timestamp,RPM,Speed
0.0,1692.0RPM,0.0km/h
400.0,1694.0RPM,0.0km/h
700.0,1693.0RPM,0.0km/h
900.0,1695.0RPM,0.0km/h
1100.0,1693.0RPM,0.0km/h
1200.0,1691.0RPM,0.0km/h
1300.0,1687.0RPM,0.0km/h
1500.0,1693.0RPM,0.0km/h
1600.0,1691.0RPM,0.0km/h
1700.0,1688.0RPM,0.0km/h
1800.0,1685.0RPM,0.0km/h
1900.0,1681.0RPM,0.0km/h
2000.0,1691.0RPM,0.0km/h
2100.0,1677.0RPM,0.0km/h
2200.0,1676.0RPM,0.0km/h
2400.0,1680.0RPM,0.0km/h
2500.0,1687.0RPM,0.0km/h
2600.0,1684.0RPM,0.0km/h
2800.0,1689.0RPM,0.0km/h
3000.0,1686.0RPM,0.0km/h
3200.0,1700.0RPM,0.0km/h
3400.0,1695.0RPM,0.0km/h
3800.0,1698.0RPM,0.0km/h
4200.0,1663.0RPM,0.0km/h
4600.0,1660.0RPM,0.0km/h
5100.0,1667.0RPM,0.0km/h
5500.0,1269.0RPM,0.0km/h
5900.0,855.0RPM,0.0km/h
6300.0,825.0RPM,0.0km/h
6800.0,818.0RPM,2.0km/h
7400.0,825.0RPM,3.0km/h
7500.0,819.0RPM,3.0km/h
7600.0,816.0RPM,3.0km/h
7700.0,804.0RPM,3.0km/h
7800.0,816.0RPM,3.0km/h
8000.0,830.0RPM,3.0km/h
8100.0,820.0RPM,3.0km/h
8200.0,825.0RPM,4.0km/h
8300.0,836.0RPM,4.0km/h
8400.0,839.0RPM,4.0km/h
8500.0,850.0RPM,4.0km/h
8600.0,851.0RPM,4.0km/h
8700.0,851.0RPM,4.0km/h
8900.0,850.0RPM,4.0km/h
9000.0,856.0RPM,4.0km/h
9100.0,851.0RPM,4.0km/h
9200.0,848.0RPM,4.0km/h
9300.0,849.0RPM,4.0km/h
9400.0,847.0RPM,4.0km/h
9500.0,833.0RPM,4.0km/h
9600.0,836.0RPM,4.0km/h
9700.0,832.0RPM,4.0km/h
9800.0,833.0RPM,5.0km/h
10000.0,837.0RPM,5.0km/h
10100.0,844.0RPM,5.0km/h
10200.0,834.0RPM,5.0km/h
10300.0,836.0RPM,5.0km/h
10400.0,834.0RPM,5.0km/h
10500.0,841.0RPM,5.0km/h
10600.0,830.0RPM,4.0km/h
10700.0,815.0RPM,4.0km/h
10800.0,812.0RPM,4.0km/h
10900.0,820.0RPM,4.0km/h
11100.0,830.0RPM,4.0km/h
11200.0,834.0RPM,4.0km/h
11300.0,831.0RPM,5.0km/h
11400.0,842.0RPM,5.0km/h
11500.0,861.0RPM,5.0km/h
11600.0,884.0RPM,5.0km/h
11700.0,929.0RPM,5.0km/h
11800.0,959.0RPM,5.0km/h
11900.0,980.0RPM,5.0km/h
12000.0,989.0RPM,5.0km/h
12200.0,1038.0RPM,5.0km/h
12300.0,1112.0RPM,5.0km/h
12400.0,1210.0RPM,6.0km/h
12500.0,1258.0RPM,6.0km/h
12600.0,1367.0RPM,6.0km/h
12700.0,1419.0RPM,6.0km/h
12800.0,1495.0RPM,7.0km/h
12900.0,1519.0RPM,7.0km/h
13000.0,1568.0RPM,8.0km/h
13100.0,1604.0RPM,8.0km/h
13300.0,1619.0RPM,9.0km/h
13400.0,1661.0RPM,9.0km/h
13500.0,1689.0RPM,10.0km/h
13600.0,1736.0RPM,10.0km/h
13700.0,1765.0RPM,11.0km/h
13800.0,1730.0RPM,11.0km/h
13900.0,1688.0RPM,12.0km/h
14000.0,1621.0RPM,13.0km/h
14100.0,1597.0RPM,13.0km/h
14200.0,1569.0RPM,14.0km/h
14400.0,1573.0RPM,14.0km/h
14500.0,1584.0RPM,15.0km/h
14600.0,1581.0RPM,15.0km/h
14700.0,1571.0RPM,16.0km/h
14800.0,1550.0RPM,16.0km/h
14900.0,1530.0RPM,17.0km/h
15000.0,1493.0RPM,18.0km/h
15100.0,1439.0RPM,18.0km/h
15200.0,1426.0RPM,19.0km/h
15300.0,1410.0RPM,19.0km/h
15400.0,1404.0RPM,19.0km/h
15500.0,1392.0RPM,20.0km/h
15700.0,1386.0RPM,21.0km/h
15800.0,1376.0RPM,21.0km/h
15900.0,1368.0RPM,22.0km/h
16000.0,1366.0RPM,21.0km/h
16100.0,1356.0RPM,22.0km/h
16200.0,1356.0RPM,23.0km/h
16300.0,1331.0RPM,23.0km/h
16400.0,1320.0RPM,23.0km/h
16500.0,1286.0RPM,24.0km/h
16600.0,1282.0RPM,24.0km/h
16700.0,1292.0RPM,24.0km/h
16800.0,1304.0RPM,24.0km/h
17000.0,1319.0RPM,24.0km/h
17100.0,1325.0RPM,24.0km/h
17200.0,1319.0RPM,24.0km/h
17300.0,1227.0RPM,24.0km/h
17400.0,1197.0RPM,24.0km/h
17500.0,1110.0RPM,24.0km/h
17600.0,1167.0RPM,24.0km/h
17700.0,1206.0RPM,24.0km/h
17800.0,1254.0RPM,24.0km/h
17900.0,1263.0RPM,24.0km/h
18000.0,1253.0RPM,24.0km/h
18200.0,1206.0RPM,24.0km/h
18300.0,1192.0RPM,24.0km/h
18400.0,1156.0RPM,24.0km/h
18500.0,1115.0RPM,24.0km/h
18600.0,1120.0RPM,24.0km/h
18700.0,1111.0RPM,24.0km/h
18800.0,1096.0RPM,24.0km/h
18900.0,1106.0RPM,23.0km/h
19000.0,1144.0RPM,23.0km/h
19100.0,1153.0RPM,23.0km/h
19300.0,1154.0RPM,23.0km/h
19400.0,1153.0RPM,23.0km/h
19500.0,1152.0RPM,22.0km/h
19600.0,1149.0RPM,22.0km/h
19700.0,1143.0RPM,22.0km/h
19800.0,1140.0RPM,22.0km/h
19900.0,1135.0RPM,21.0km/h
20000.0,1131.0RPM,21.0km/h
20100.0,1131.0RPM,21.0km/h
20200.0,1136.0RPM,20.0km/h
20300.0,1124.0RPM,20.0km/h
20500.0,1113.0RPM,20.0km/h
20600.0,1123.0RPM,19.0km/h
20700.0,1117.0RPM,19.0km/h
20800.0,1112.0RPM,19.0km/h
20900.0,1117.0RPM,18.0km/h
21000.0,1112.0RPM,18.0km/h
21100.0,1099.0RPM,18.0km/h
21200.0,1107.0RPM,17.0km/h
21300.0,1113.0RPM,17.0km/h
21400.0,1092.0RPM,17.0km/h
21500.0,1096.0RPM,16.0km/h
21600.0,1100.0RPM,16.0km/h
21800.0,1116.0RPM,16.0km/h
21900.0,1107.0RPM,16.0km/h
22000.0,1114.0RPM,15.0km/h
22100.0,1125.0RPM,15.0km/h
22200.0,1123.0RPM,15.0km/h
22300.0,1116.0RPM,15.0km/h
22400.0,1090.0RPM,15.0km/h
22500.0,1085.0RPM,15.0km/h
22600.0,1081.0RPM,14.0km/h
22700.0,1080.0RPM,14.0km/h
22800.0,1075.0RPM,14.0km/h
23000.0,1070.0RPM,14.0km/h
23100.0,1149.0RPM,14.0km/h
23200.0,1228.0RPM,14.0km/h
23300.0,1286.0RPM,14.0km/h
23400.0,1299.0RPM,14.0km/h
23500.0,1300.0RPM,14.0km/h
23600.0,1284.0RPM,14.0km/h
23700.0,1283.0RPM,14.0km/h
23800.0,1291.0RPM,14.0km/h
23900.0,1299.0RPM,14.0km/h
24000.0,1353.0RPM,14.0km/h
24200.0,1424.0RPM,14.0km/h
