"timestamp","sys_time","abs_timestamp","raw_x_mag","raw_y_mag","raw_z_mag"
"0.0","1508884952456","2514535243891658","-83.3125","97.3125","20.875"
"9.0","1508884952466","2514535253874471","-83.0625","97.125","21.0"
"19.0","1508884952476","2514535263880721","-82.8125","96.9375","21.5"
"30.0","1508884952486","2514535273891658","-82.0625","96.625","21.9375"
"39.0","1508884952496","2514535283871346","-82.0625","96.375","21.8125"
"50.0","1508884952506","2514535294080721","-81.6875","96.4375","22.125"
"60.0","1508884952516","2514535303893221","-81.3125","96.25","22.125"
"69.0","1508884952526","2514535313874471","-81.3125","96.125","22.0"
"79.0","1508884952536","2514535323885408","-81.125","96.0625","21.9375"
"90.0","1508884952546","2514535333911971","-81.3125","96.25","21.5"
"100.0","1508884952557","2514535344221346","-81.125","96.3125","21.125"
"109.0","1508884952566","2514535353888533","-81.8125","96.8125","20.5625"
"120.0","1508884952577","2514535363899471","-81.625","97.1875","20.8125"
"129.0","1508884952586","2514535373877596","-81.875","97.0","20.5625"
"139.0","1508884952597","2514535383888533","-82.25","97.0625","20.75"
"149.0","1508884952606","2514535393869783","-82.0625","97.0625","21.0"
"159.0","1508884952617","2514535403880721","-82.1875","97.1875","21.3125"
"170.0","1508884952626","2514535413891658","-81.6875","97.25","21.6875"
"179.0","1508884952637","2514535423871346","-81.8125","97.375","21.3125"
"189.0","1508884952646","2514535433882283","-81.875","97.0625","21.6875"
"200.0","1508884952656","2514535443893221","-81.875","97.0","21.375"
"209.0","1508884952666","2514535453890096","-82.0","97.0625","21.5625"
"219.0","1508884952676","2514535463883846","-81.5","97.0","21.5"
"230.0","1508884952686","2514535473894783","-81.4375","97.0","21.375"
"239.0","1508884952696","2514535483874471","-80.875","97.0625","21.5"
"249.0","1508884952707","2514535493886971","-81.3125","97.0","21.5"
"260.0","1508884952717","2514535503897908","-81.5","97.0625","22.0625"
"270.0","1508884952727","2514535513926033","-81.3125","97.0625","22.1875"
"279.0","1508884952736","2514535523888533","-81.3125","96.875","22.5625"
"290.0","1508884952746","2514535533899471","-80.875","96.625","22.75"
"299.0","1508884952756","2514535543879158","-81.25","96.8125","22.3125"
"309.0","1508884952767","2514535553890096","-81.1875","97.0625","22.3125"
"319.0","1508884952777","2514535563869783","-81.6875","97.0","22.0625"
"330.0","1508884952787","2514535573897908","-81.6875","97.0","21.9375"
"340.0","1508884952796","2514535583893221","-81.875","96.6875","21.5"
"349.0","1508884952806","2514535593872908","-82.0","96.6875","20.9375"
"359.0","1508884952816","2514535603882283","-81.4375","96.625","20.875"
"370.0","1508884952826","2514535613894783","-81.8125","96.875","20.3125"
"379.0","1508884952841","2514535623874471","-81.6875","97.1875","20.75"
"389.0","1508884952846","2514535633885408","-82.0","96.875","20.6875"
"400.0","1508884952857","2514535643896346","-82.0","96.875","20.9375"
"409.0","1508884952868","2514535653876033","-81.6875","96.6875","20.9375"
"419.0","1508884952878","2514535663886971","-81.5625","96.875","21.125"
"430.0","1508884952888","2514535673897908","-80.875","96.8125","21.5625"
"439.0","1508884952900","2514535683877596","-81.25","97.1875","21.0625"
"450.0","1508884952915","2514535693905721","-81.0625","97.4375","21.375"
"459.0","1508884952918","2514535703868221","-81.1875","97.1875","21.375"
"469.0","1508884952927","2514535713880721","-81.25","96.875","21.5"
"480.0","1508884952943","2514535723891658","-81.25","96.875","21.3125"
"489.0","1508884952948","2514535733869783","-81.4375","97.0625","21.5"
"499.0","1508884952957","2514535743882283","-81.0","96.875","21.875"
"510.0","1508884952966","2514535753893221","-81.8125","97.1875","20.9375"
"519.0","1508884952976","2514535763872908","-81.4375","97.1875","21.75"
"529.0","1508884952988","2514535773883846","-81.5","97.0625","21.75"
"540.0","1508884952997","2514535783896346","-81.4375","97.0625","22.0"
"549.0","1508884953007","2514535793876033","-81.4375","97.1875","21.9375"
"559.0","1508884953016","2514535803886971","-81.25","97.25","21.75"
"570.0","1508884953026","2514535813913533","-80.8125","96.875","21.6875"
"579.0","1508884953037","2514535823877596","-81.3125","97.0625","21.125"
"589.0","1508884953046","2514535833888533","-80.6875","97.25","21.75"
"600.0","1508884953056","2514535843899471","-81.375","97.0625","21.1875"
"609.0","1508884953072","2514535853879158","-81.5","96.875","21.0"
"619.0","1508884953077","2514535863890096","-81.25","96.8125","20.3125"
"629.0","1508884953086","2514535873869783","-81.1875","97.1875","20.125"
"639.0","1508884953096","2514535883880721","-81.0","96.875","20.375"
"650.0","1508884953108","2514535893893221","-81.3125","97.25","20.5"
"659.0","1508884953116","2514535903872908","-80.875","97.25","20.875"
"669.0","1508884953126","2514535913883846","-81.3125","96.875","20.875"
"680.0","1508884953137","2514535923894783","-81.3125","97.25","20.9375"
"689.0","1508884953148","2514535933890096","-81.1875","97.4375","20.875"
"699.0","1508884953157","2514535943885408","-81.6875","97.5625","21.1875"
"710.0","1508884953173","2514535953896346","-81.4375","97.25","21.375"
"719.0","1508884953176","2514535963876033","-81.5","97.375","21.3125"
"729.0","1508884953186","2514535973890096","-81.25","97.25","21.375"
"740.0","1508884953197","2514535983897908","-81.4375","97.4375","21.125"
"749.0","1508884953206","2514535993879158","-81.3125","97.5625","20.9375"
"759.0","1508884953216","2514536003888533","-81.25","97.375","20.8125"
"769.0","1508884953226","2514536013869783","-81.5","97.25","21.0"
"779.0","1508884953239","2514536023882283","-81.0625","97.0625","21.375"
"790.0","1508884953246","2514536033891658","-81.125","97.25","21.75"
"799.0","1508884953256","2514536043871346","-80.875","97.1875","22.3125"
"810.0","1508884953272","2514536053897908","-81.5","97.0","22.0"
"820.0","1508884953277","2514536063893221","-81.6875","97.0625","22.375"
"829.0","1508884953286","2514536073874471","-81.625","97.1875","22.3125"
"839.0","1508884953297","2514536083883846","-82.0","97.0","22.375"
"850.0","1508884953307","2514536093894783","-81.8125","96.875","22.1875"
"859.0","1508884953316","2514536103874471","-82.0","97.25","21.6875"
"869.0","1508884953326","2514536113885408","-81.625","97.375","21.6875"
"880.0","1508884953337","2514536123897908","-82.1875","97.4375","20.75"
"889.0","1508884953346","2514536133876033","-82.0","98.0625","20.6875"
"899.0","1508884953356","2514536143888533","-82.1875","97.875","20.375"
"910.0","1508884953370","2514536153899471","-82.4375","97.625","20.9375"
"919.0","1508884953378","2514536163879158","-82.0","97.75","20.9375"
"930.0","1508884953387","2514536173907283","-82.1875","97.8125","21.125"
"939.0","1508884953400","2514536183869783","-81.625","97.4375","21.375"
"949.0","1508884953407","2514536193880721","-82.25","97.375","20.75"
"960.0","1508884953416","2514536203893221","-82.0","97.9375","20.9375"
"969.0","1508884953426","2514536213872908","-81.875","97.75","20.6875"
"979.0","1508884953437","2514536223883846","-81.875","97.625","20.875"
