system_time,timestamp,lat,lon,speed,bearing
1970-01-01 00:00:02.300,1508898534000.0,43.00330954905461,-78.78793566442141,0.18999888,0.0
1970-01-01 00:00:02.400,,,,,
1970-01-01 00:00:02.500,,,,,
1970-01-01 00:00:02.600,,,,,
1970-01-01 00:00:02.700,,,,,
1970-01-01 00:00:02.800,,,,,
1970-01-01 00:00:02.900,,,,,
1970-01-01 00:00:03.000,,,,,
1970-01-01 00:00:03.100,,,,,
1970-01-01 00:00:03.200,,,,,
1970-01-01 00:00:03.300,1508898535399.0,43.00342601741011,-78.78797076400285,0.43172485,0.0
1970-01-01 00:00:03.400,,,,,
1970-01-01 00:00:03.500,,,,,
1970-01-01 00:00:03.600,,,,,
1970-01-01 00:00:03.700,,,,,
1970-01-01 00:00:03.800,,,,,
1970-01-01 00:00:03.900,,,,,
1970-01-01 00:00:04.000,,,,,
1970-01-01 00:00:04.100,,,,,
1970-01-01 00:00:04.200,,,,,
1970-01-01 00:00:04.300,1508898536000.0,43.003422800648394,-78.78799269277589,0.48501474,0.0
1970-01-01 00:00:04.400,,,,,
1970-01-01 00:00:04.500,,,,,
1970-01-01 00:00:04.600,,,,,
1970-01-01 00:00:04.700,,,,,
1970-01-01 00:00:04.800,,,,,
1970-01-01 00:00:04.900,1508898537000.0,43.003438529009074,-78.78796980707187,0.4671625,0.0
1970-01-01 00:00:05.000,,,,,
1970-01-01 00:00:05.100,,,,,
1970-01-01 00:00:05.200,,,,,
1970-01-01 00:00:05.300,,,,,
1970-01-01 00:00:05.400,,,,,
1970-01-01 00:00:05.500,,,,,
1970-01-01 00:00:05.600,,,,,
1970-01-01 00:00:05.700,,,,,
1970-01-01 00:00:05.800,,,,,
1970-01-01 00:00:05.900,1508898538000.0,43.003398689982546,-78.78798811254086,0.32015637,0.0
1970-01-01 00:00:06.000,,,,,
1970-01-01 00:00:06.100,,,,,
1970-01-01 00:00:06.200,,,,,
1970-01-01 00:00:06.300,,,,,
1970-01-01 00:00:06.400,,,,,
1970-01-01 00:00:06.500,,,,,
1970-01-01 00:00:06.600,,,,,
1970-01-01 00:00:06.700,,,,,
1970-01-01 00:00:06.800,,,,,
1970-01-01 00:00:06.900,,,,,
1970-01-01 00:00:07.000,,,,,
1970-01-01 00:00:07.100,,,,,
1970-01-01 00:00:07.200,,,,,
1970-01-01 00:00:07.300,,,,,
1970-01-01 00:00:07.400,,,,,
1970-01-01 00:00:07.500,,,,,
1970-01-01 00:00:07.600,,,,,
1970-01-01 00:00:07.700,,,,,
1970-01-01 00:00:07.800,,,,,
1970-01-01 00:00:07.900,,,,,
1970-01-01 00:00:08.000,,,,,
1970-01-01 00:00:08.100,,,,,
1970-01-01 00:00:08.200,,,,,
1970-01-01 00:00:08.300,,,,,
1970-01-01 00:00:08.400,,,,,
1970-01-01 00:00:08.500,,,,,
1970-01-01 00:00:08.600,,,,,
1970-01-01 00:00:08.700,,,,,
1970-01-01 00:00:08.800,,,,,
1970-01-01 00:00:08.900,,,,,
1970-01-01 00:00:09.000,,,,,
1970-01-01 00:00:09.100,,,,,
1970-01-01 00:00:09.200,,,,,
1970-01-01 00:00:09.300,,,,,
1970-01-01 00:00:09.400,,,,,
1970-01-01 00:00:09.500,,,,,
1970-01-01 00:00:09.600,,,,,
1970-01-01 00:00:09.700,,,,,
1970-01-01 00:00:09.800,,,,,
1970-01-01 00:00:09.900,,,,,
1970-01-01 00:00:10.000,,,,,
1970-01-01 00:00:10.100,,,,,
1970-01-01 00:00:10.200,,,,,
1970-01-01 00:00:10.300,,,,,
1970-01-01 00:00:10.400,,,,,
1970-01-01 00:00:10.500,,,,,
1970-01-01 00:00:10.600,,,,,
1970-01-01 00:00:10.700,,,,,
1970-01-01 00:00:10.800,,,,,
1970-01-01 00:00:10.900,,,,,
1970-01-01 00:00:11.000,,,,,
1970-01-01 00:00:11.100,,,,,
1970-01-01 00:00:11.200,,,,,
1970-01-01 00:00:11.300,,,,,
1970-01-01 00:00:11.400,,,,,
1970-01-01 00:00:11.500,,,,,
1970-01-01 00:00:11.600,,,,,
1970-01-01 00:00:11.700,,,,,
1970-01-01 00:00:11.800,,,,,
1970-01-01 00:00:11.900,,,,,
1970-01-01 00:00:12.000,,,,,
1970-01-01 00:00:12.100,,,,,
1970-01-01 00:00:12.200,,,,,
1970-01-01 00:00:12.300,,,,,
1970-01-01 00:00:12.400,,,,,
1970-01-01 00:00:12.500,,,,,
1970-01-01 00:00:12.600,,,,,
1970-01-01 00:00:12.700,,,,,
1970-01-01 00:00:12.800,,,,,
1970-01-01 00:00:12.900,,,,,
1970-01-01 00:00:13.000,,,,,
1970-01-01 00:00:13.100,,,,,
1970-01-01 00:00:13.200,,,,,
1970-01-01 00:00:13.300,,,,,
1970-01-01 00:00:13.400,,,,,
1970-01-01 00:00:13.500,,,,,
1970-01-01 00:00:13.600,,,,,
1970-01-01 00:00:13.700,,,,,
1970-01-01 00:00:13.800,,,,,
1970-01-01 00:00:13.900,1508898546000.0,43.003408425011166,-78.78798542372705,0.9758870000000001,8.162231
1970-01-01 00:00:14.000,,,,,
1970-01-01 00:00:14.100,,,,,
1970-01-01 00:00:14.200,,,,,
1970-01-01 00:00:14.300,,,,,
1970-01-01 00:00:14.400,,,,,
1970-01-01 00:00:14.500,,,,,
1970-01-01 00:00:14.600,,,,,
1970-01-01 00:00:14.700,,,,,
1970-01-01 00:00:14.800,,,,,
1970-01-01 00:00:14.900,,,,,
1970-01-01 00:00:15.000,,,,,
1970-01-01 00:00:15.100,,,,,
1970-01-01 00:00:15.200,,,,,
1970-01-01 00:00:15.300,,,,,
1970-01-01 00:00:15.400,,,,,
1970-01-01 00:00:15.500,,,,,
1970-01-01 00:00:15.600,,,,,
1970-01-01 00:00:15.700,,,,,
1970-01-01 00:00:15.800,,,,,
1970-01-01 00:00:15.900,1508898548000.0,43.00341741404213,-78.78799001572258,0.18153371,8.162231
1970-01-01 00:00:16.000,,,,,
1970-01-01 00:00:16.100,,,,,
