sys_time,timestamp,abs_timestamp,raw_x_mag,raw_y_mag,raw_z_mag
0,4904.7,2528105036783288.5,-94.71875,97.36875,57.25
100,5004.7,2528105136782194.5,-94.65,97.4625,56.35
200,5104.6,2528105236777507.0,-94.85625,97.50625,56.21875
300,5204.8,2528105336785007.0,-94.58125,97.43125,57.05
400,5304.6,2528105436780945.0,-94.875,97.55,55.85
500,5404.8,2528105536781726.0,-94.55625,97.7625,56.99375
600,5504.6,2528105636780632.0,-95.1,98.225,56.775
700,5604.7,2528105736785007.0,-95.29375,97.55625,55.825
800,5704.6,2528105836777507.5,-94.66875,97.9375,57.03125
900,5804.6,2528105936781882.0,-95.5875,97.68125,55.325
1000,5904.7,2528106036783445.0,-94.68125,98.0,56.125
1100,6004.6,2528106136779069.0,-95.0875,97.5875,56.4625
1200,6104.8,2528106236786726.0,-95.16875,97.7,55.5125
1300,6204.6,2528106336779069.0,-95.46875,97.59375,57.08125
1400,6304.7,2528106436783288.5,-95.04375,97.78125,56.475
1500,6404.7,2528106536782038.5,-94.94375,97.51875,56.1
1600,6504.7,2528106636780476.5,-94.5625,97.475,56.76875
1700,6604.7,2528106736781726.0,-94.875,97.9125,55.55625
1800,6704.8,2528106836783601.0,-95.1875,97.775,56.80625
1900,6804.7,2528106936781726.0,-95.3125,97.36875,56.6625
2000,6904.6,2528107036780320.0,-95.00625,97.4125,55.69375
2100,7004.8,2528107136784695.0,-94.775,97.28125,56.6625
2200,7104.7,2528107236780945.0,-95.3375,97.49375,55.2375
2300,7204.7,2528107336781882.5,-94.875,97.2625,56.3625
2400,7304.7,2528107436782976.0,-94.9375,97.675,57.25
2500,7404.8,2528107536782195.0,-95.5,97.25625,55.35625
2600,7504.7,2528107636791257.0,-94.90625,97.525,56.6375
2700,7604.7,2528107736781882.0,-95.1625,97.3375,56.63125
2800,7704.7,2528107836783132.0,-94.63125,97.775,56.14375
2900,7804.6,2528107936782195.0,-94.9125,97.43125,57.05625
3000,7904.7,2528108036780007.0,-94.78125,97.325,56.51875
3100,8004.6,2528108136781413.0,-94.69375,97.80625,56.25
3200,8104.7,2528108236783601.0,-94.8125,97.88125,57.08125
3300,8204.6,2528108336781257.0,-95.1125,97.14375,56.4625
3400,8304.8,2528108436782663.0,-94.8375,97.3625,56.94375
3500,8404.7,2528108536784381.0,-95.30625,97.425,55.49375
3600,8504.7,2528108636780788.5,-94.9125,97.075,55.90625
3700,8604.7,2528108736778757.0,-94.90625,97.39375,57.1375
3800,8704.8,2528108836785945.0,-94.8625,97.50625,55.95
3900,8804.6,2528108936779226.0,-95.33125,97.15625,57.01875
4000,8904.7,2528109036783132.5,-95.30625,97.8,56.85
4100,9004.8,2528109136781726.0,-95.18125,97.6875,55.81875
4200,9104.7,2528109236782819.5,-94.675,97.4875,56.63125
4300,9204.7,2528109336782038.5,-95.20625,97.33125,55.99375
4400,9304.7,2528109436780476.0,-95.50625,97.5,56.25625
4500,9404.9,2528109536784851.0,-95.5375,97.75625,56.825
4600,9504.6,2528109636780320.0,-95.2,97.06875,56.15625
4700,9604.8,2528109736784381.0,-95.2125,97.14375,56.46875
4800,9704.7,2528109836780163.0,-95.125,97.6375,55.8625
4900,9799.666666666666,2528109931784312.5,-95.09027777777777,97.14583333333331,56.111111111111114
5000,9899.727272727272,2528110031780604.5,-94.8409090909091,97.32954545454544,56.92613636363637
5100,10004.6,2528110136781726.5,-95.175,97.29375,55.9125
5200,10104.7,2528110236785788.5,-94.4625,97.3,56.275
5300,10199.666666666666,2528110331779798.5,-94.55555555555556,97.56944444444444,56.381944444444436
5400,10294.7,2528110426783914.0,-94.8875,97.6125,56.2
5500,10399.636363636364,2528110531782166.5,-94.76704545454544,97.5340909090909,56.53977272727273
5600,10504.7,2528110636785163.0,-95.3125,97.6375,56.4
5700,10604.7,2528110736841257.0,-95.275,97.76875,56.175
5800,10704.7,2528110836783601.0,-94.9,97.86875,56.53125
5900,10804.7,2528110936781257.0,-94.875,97.59375,55.4625
6000,10904.6,2528111036779538.5,-94.8375,97.45,56.4125
6100,11004.8,2528111136784069.0,-95.21875,98.2375,56.7375
6200,11104.6,2528111236780163.5,-95.45,97.5125,55.55625
6300,11204.8,2528111336784225.0,-94.95625,97.44375,57.225
6400,11304.7,2528111436779694.5,-95.3,97.7875,56.00625
6500,11404.7,2528111536780944.5,-94.99375,97.39375,56.53125
6600,11504.7,2528111636782663.0,-95.2375,97.5875,56.44375
6700,11604.8,2528111736781413.0,-95.10625,97.4125,55.60625
6800,11704.7,2528111836782351.0,-94.78125,97.425,56.7875
6900,11804.6,2528111936781882.0,-94.775,97.81875,56.56875
7000,11904.8,2528112036782819.0,-95.15625,98.0625,56.20625
7100,12004.7,2528112136781413.0,-94.98125,97.7,56.48125
7200,12104.7,2528112236782663.0,-94.78125,97.9125,55.2125
7300,12204.7,2528112336780633.0,-95.24375,97.86875,56.01875
7400,12304.8,2528112436783132.0,-95.1625,97.61875,57.06875
7500,12404.6,2528112536783757.0,-94.83125,97.61875,56.5375
7600,12504.7,2528112636779695.0,-95.0,97.45625,58.04375
7700,12604.6,2528112736783601.0,-95.50625,96.35,59.1
7800,12704.7,2528112836782976.0,-95.4625,96.975,58.53125
7900,12804.6,2528112936777507.5,-95.2375,97.05,58.49375
8000,12904.7,2528113036785476.0,-95.99375,96.99375,57.90625
8100,13004.7,2528113136781101.0,-98.53125,96.68125,58.26875
8200,13104.7,2528113236782351.0,-100.5125,97.19375,58.8875
8300,13204.8,2528113336784539.0,-102.45,96.95,57.79375
8400,13304.7,2528113436782351.0,-104.6875,97.0875,58.20625
8500,13404.7,2528113536781257.0,-103.63125,97.575,57.2
8600,13504.8,2528113636782819.5,-104.43125,97.50625,56.76875
8700,13604.8,2528113736783757.0,-103.6,96.93125,57.9625
8800,13704.6,2528113836779695.0,-103.4375,96.96875,56.8875
8900,13804.7,2528113936783757.0,-101.725,95.9,57.91875
9000,13904.9,2528114036905163.5,-100.89375,97.0125,57.575
