sys_time,RPM,Speed
1970-01-01 00:00:00,1823.0RPM,0.0km/h
1970-01-01 00:00:00.810000,1820.0RPM,0.0km/h
1970-01-01 00:00:01.370000,1846.0RPM,0.0km/h
1970-01-01 00:00:01.550000,1825.0RPM,0.0km/h
1970-01-01 00:00:01.750000,1828.0RPM,0.0km/h
1970-01-01 00:00:01.930000,1831.0RPM,0.0km/h
1970-01-01 00:00:02.120000,1835.0RPM,0.0km/h
1970-01-01 00:00:02.320000,1818.0RPM,0.0km/h
1970-01-01 00:00:02.520000,1822.0RPM,0.0km/h
1970-01-01 00:00:02.680000,1846.0RPM,0.0km/h
1970-01-01 00:00:02.830000,1814.0RPM,0.0km/h
1970-01-01 00:00:02.990000,1821.0RPM,0.0km/h
1970-01-01 00:00:03.140000,1806.0RPM,0.0km/h
1970-01-01 00:00:03.290000,1830.0RPM,0.0km/h
1970-01-01 00:00:03.450000,1831.0RPM,0.0km/h
1970-01-01 00:00:03.610000,1832.0RPM,0.0km/h
1970-01-01 00:00:03.760000,1820.0RPM,0.0km/h
1970-01-01 00:00:03.860000,1837.0RPM,0.0km/h
1970-01-01 00:00:03.960000,1834.0RPM,0.0km/h
1970-01-01 00:00:04.090000,1830.0RPM,0.0km/h
1970-01-01 00:00:04.200000,1830.0RPM,0.0km/h
1970-01-01 00:00:04.310000,1816.0RPM,0.0km/h
1970-01-01 00:00:04.440000,1817.0RPM,0.0km/h
1970-01-01 00:00:04.550000,1811.0RPM,0.0km/h
1970-01-01 00:00:04.660000,1826.0RPM,0.0km/h
1970-01-01 00:00:04.780000,1826.0RPM,0.0km/h
1970-01-01 00:00:04.880000,1832.0RPM,0.0km/h
1970-01-01 00:00:04.980000,1830.0RPM,0.0km/h
1970-01-01 00:00:05.090000,1836.0RPM,0.0km/h
1970-01-01 00:00:05.190000,1839.0RPM,0.0km/h
1970-01-01 00:00:05.300000,1838.0RPM,0.0km/h
1970-01-01 00:00:05.400000,1825.0RPM,0.0km/h
1970-01-01 00:00:05.510000,1819.0RPM,0.0km/h
1970-01-01 00:00:05.620000,1817.0RPM,0.0km/h
1970-01-01 00:00:05.710000,1816.0RPM,0.0km/h
1970-01-01 00:00:05.820000,1815.0RPM,0.0km/h
1970-01-01 00:00:05.950000,1801.0RPM,0.0km/h
1970-01-01 00:00:06.050000,1815.0RPM,0.0km/h
1970-01-01 00:00:06.150000,1814.0RPM,0.0km/h
1970-01-01 00:00:06.260000,1841.0RPM,0.0km/h
1970-01-01 00:00:06.410000,1831.0RPM,0.0km/h
1970-01-01 00:00:06.520000,1840.0RPM,0.0km/h
1970-01-01 00:00:06.630000,1814.0RPM,0.0km/h
1970-01-01 00:00:06.720000,1821.0RPM,0.0km/h
