sys_time,timestamp,abs_timestamp,raw_x_mag,raw_y_mag,raw_z_mag
0,2555.1111111111113,2583589548074068.0,-92.85416666666669,101.86111111111113,73.9513888888889
100,2640.125,2583589633072788.0,-93.5703125,102.0546875,73.15625
200,2740.0,2583589733072201.0,-92.81770833333331,101.421875,73.81770833333333
300,2855.090909090909,2583589848073089.0,-93.13636363636364,100.9715909090909,73.875
400,2960.2,2583589953076498.5,-93.53125,101.14375,74.1875
500,3060.1,2583590053069936.0,-92.81875,101.41875,73.69375
600,3160.0,2583590153073061.0,-93.375,101.2375,73.6625
700,3260.1,2583590253074467.5,-93.11875,101.31875,74.05625
800,3360.1,2583590353072905.0,-93.15625,101.18125,73.78125
900,3460.1,2583590453074312.0,-93.325,100.9125,73.65
1000,3560.0,2583590553072905.0,-93.7125,100.56875,74.34375
1100,3660.1,2583590653070092.5,-93.93125,100.5375,73.35625
1200,3760.1,2583590753075717.0,-92.1375,100.81875,74.14375
1300,3860.0,2583590853071811.0,-91.10625,101.425,74.68125
1400,3960.1,2583590953075717.0,-92.0,100.325,74.48125
1500,4060.0,2583591053071499.0,-91.39375,101.05,74.6
1600,4160.1,2583591153075717.0,-92.625,101.6,73.63125
1700,4260.0,2583591253066811.0,-92.25625,101.575,73.61875
1800,4360.0,2583591353076186.5,-91.9375,100.825,75.2
1900,4460.0,2583591453071655.0,-92.4625,101.41875,74.625
2000,4555.0,2583591548070943.5,-92.5,101.5,74.19444444444444
2100,4655.0,2583591648075788.5,-91.39772727272728,101.1818181818182,74.17613636363636
2200,4760.0,2583591753072748.5,-92.18125,101.175,73.825
2300,4860.0,2583591853069467.5,-92.075,101.225,74.10625
2400,4960.0,2583591953076030.5,-92.15625,101.11875,73.7875
2500,5060.1,2583592053068373.0,-92.54375,101.35625,73.96875
2600,5160.0,2583592153075561.0,-92.3375,101.50625,74.28125
2700,5260.1,2583592253071655.0,-92.36875,101.3625,73.875
2800,5360.1,2583592353075249.0,-92.46875,101.275,73.675
2900,5460.0,2583592453069936.5,-92.625,101.23125,73.88125
3000,5560.0,2583592553075092.0,-93.08125,100.96875,73.6875
3100,5660.0,2583592653071655.5,-92.5,101.41875,74.40625
3200,5760.1,2583592753073061.0,-93.04375,101.15625,73.825
3300,5860.1,2583592853074311.0,-93.40625,101.63125,73.5875
3400,5960.0,2583592953072592.5,-93.66875,101.4875,73.49375
3500,6060.0,2583593053072436.0,-93.1375,101.85625,72.85
3600,6160.0,2583593153072748.5,-93.01875,101.79375,73.075
3700,6260.1,2583593253074311.0,-93.1875,101.325,73.1625
3800,6360.0,2583593353075873.0,-92.9,101.10625,73.2875
3900,6460.0,2583593453068843.0,-92.2625,101.49375,74.29375
4000,6560.0,2583593553078374.0,-92.26875,102.91875,72.64375
4100,6660.0,2583593653069624.0,-92.4,102.85,72.825
4200,6760.0,2583593753075092.5,-92.25,102.93125,72.81875
4300,6860.1,2583593853071498.5,-92.34375,101.725,72.11875
4400,6960.1,2583593953078843.0,-92.0375,101.73125,72.40625
4500,7060.0,2583594053068218.0,-92.275,101.74375,72.15625
4600,7160.1,2583594153072748.5,-92.49375,101.89375,72.00625
4700,7260.1,2583594253072280.5,-92.4125,101.9875,71.675
4800,7360.0,2583594353072280.0,-94.025,102.5375,70.61875
4900,7455.11111111111,2583594448072853.0,-93.77777777777777,101.64583333333331,72.375
5000,7555.090909090909,2583594548073515.5,-93.8125,101.0681818181818,72.31818181818181
5100,7655.0,2583594648069381.0,-93.81944444444444,101.14583333333331,71.65972222222223
5200,7750.1,2583594743075093.0,-93.25625,100.9625,72.34375
5300,7850.1,2583594843069311.0,-93.69375,100.9125,71.73125
5400,7955.090909090909,2583594948076498.5,-93.22727272727272,100.7443181818182,72.01136363636364
5500,8060.0,2583595053070874.0,-93.26875,101.15625,72.5625
5600,8155.11111111111,2583595148073894.5,-93.89583333333331,100.63888888888887,71.88194444444444
5700,8250.1,2583595243072593.0,-93.475,101.05,72.53125
5800,8350.0,2583595343071967.5,-93.93125,101.525,71.95
5900,8450.1,2583595443071968.0,-95.04375,100.9125,71.56875
6000,8550.1,2583595543073530.0,-94.9625,101.625,72.7125
6100,8655.181818181818,2583595648091129.0,-94.29545454545456,100.8806818181818,72.375
6200,8760.0,2583595753072279.5,-93.8625,100.2125,72.7
6300,8860.0,2583595853073842.5,-94.25625,100.175,72.28125
6400,8960.1,2583595953075249.0,-93.74375,100.4625,72.30625
6500,9060.0,2583596053068686.5,-93.2875,100.825,73.0875
6600,9160.0,2583596153075873.0,-94.29375,100.525,73.16875
6700,9260.1,2583596253071030.5,-93.91875,100.675,72.29375
6800,9360.0,2583596353074624.0,-93.25625,100.71875,73.38125
6900,9460.1,2583596453074468.0,-93.35,100.60625,73.10625
7000,9560.1,2583596553074624.0,-93.33125,100.675,73.975
7100,9660.0,2583596653069936.0,-93.25,100.9,73.64375
7200,9760.0,2583596753078686.0,-93.8875,101.1875,72.93125
7300,9860.0,2583596853071186.5,-93.2875,100.39375,73.58125
7400,9960.0,2583596953071655.0,-93.30625,100.80625,73.14375
7500,10060.1,2583597053073843.0,-93.39375,100.43125,72.8375
7600,10160.0,2583597153071811.0,-93.325,100.6,73.4125
7700,10260.0,2583597253072123.5,-93.59375,100.5625,73.175
7800,10360.0,2583597353075249.0,-93.43125,100.3,73.85
7900,10460.0,2583597453070249.0,-93.35,99.93125,73.3875
8000,10560.0,2583597553074779.5,-93.84375,100.625,72.7375
8100,10660.0,2583597653071029.0,-92.3125,100.3125,74.24375
8200,10760.0,2583597753075405.0,-93.6375,100.65,73.35
8300,10860.0,2583597853069311.5,-93.7375,101.01875,73.23125
8400,10960.1,2583597953077749.0,-92.81875,100.1875,73.33125
8500,11060.0,2583598053067749.0,-93.0,100.675,73.33125
8600,11160.0,2583598153077436.5,-92.48125,100.2125,74.61875
8700,11260.0,2583598253070561.0,-92.6375,100.38125,74.16875
8800,11355.0,2583598348070075.5,-92.20833333333331,100.17361111111113,73.34027777777777
8900,11455.090909090908,2583598448075646.0,-91.5056818181818,100.16477272727272,74.07386363636364
9000,11555.0,2583598548071637.0,-92.5625,100.61111111111113,73.5138888888889
9100,11655.090909090908,2583598648072947.5,-92.17045454545456,100.7159090909091,73.8409090909091
9200,11760.1,2583598753074936.5,-92.29375,99.90625,73.61875
9300,11860.1,2583598853073999.0,-93.4875,100.675,72.1625
9400,11955.0,2583598948068859.5,-92.85416666666669,100.14583333333331,72.86805555555556
9500,12050.1,2583599043071967.0,-92.2375,100.775,73.9
9600,12155.090909090908,2583599148076215.0,-93.58522727272728,101.1818181818182,73.625
9700,12255.111111111111,2583599248071290.5,-93.0,99.94444444444444,73.90277777777777
9800,12350.1,2583599343076030.5,-93.46875,99.73125,73.43125
9900,12450.1,2583599443071811.0,-93.6125,99.74375,73.1625
10000,12550.0,2583599543071186.0,-92.5875,100.55,74.075
10100,12650.1,2583599643074623.5,-93.2375,100.69375,73.24375
10200,12750.2,2583599743073218.5,-92.81875,100.0625,73.9125
10300,12855.090909090908,2583599848074936.0,-93.27272727272728,100.4431818181818,73.4090909090909
10400,12955.0,2583599948072506.0,-92.79166666666669,100.80555555555556,73.59722222222223
10500,13055.090909090908,2583600048072095.5,-93.5,100.89772727272728,73.38636363636364
10600,13155.111111111111,2583600148073895.0,-92.98611111111113,100.48611111111113,73.30555555555556
10700,13255.0,2583600248071953.0,-93.25,100.13636363636364,73.5284090909091
10800,13355.0,2583600348071638.0,-93.07638888888887,99.59722222222223,72.90277777777777
10900,13455.090909090908,2583600448073089.0,-92.6931818181818,100.42613636363636,72.88636363636364
11000,13560.0,2583600553073998.5,-92.90625,100.4125,73.29375
11100,13660.0,2583600653069936.0,-93.725,100.18125,72.33125
11200,13755.111111111111,2583600748075978.0,-93.5625,99.71527777777777,73.03472222222223
11300,13855.0,2583600848070674.5,-93.10227272727272,99.4431818181818,72.75
11400,13960.0,2583600953073686.0,-93.8875,98.9,72.9375
11500,14060.0,2583601053073217.0,-92.86875,98.6375,73.18125
11600,14160.0,2583601153071185.0,-93.43125,98.3,72.58125
11700,14260.1,2583601253073217.0,-93.2,98.10625,73.65
11800,14360.0,2583601353074155.0,-93.775,99.625,73.425
11900,14460.0,2583601453070873.0,-93.0375,99.84375,73.875
12000,14560.0,2583601553074311.0,-92.41875,100.1,74.45
12100,14660.0,2583601653073217.0,-93.2375,100.68125,73.88125
12200,14760.0,2583601753074311.5,-92.5875,101.05625,74.3125
12300,14860.0,2583601853069936.5,-92.41875,101.6375,74.64375
12400,14960.0,2583601953077280.5,-93.15,101.24375,73.54375
12500,15060.0,2583602053068529.0,-92.73125,101.45,73.90625
12600,15160.2,2583602153076967.5,-92.7125,101.6125,73.4
12700,15260.0,2583602253070405.0,-93.6125,101.6375,72.85
12800,15360.0,2583602353076967.5,-93.65625,101.18125,73.56875
12900,15460.1,2583602453072905.0,-93.96875,101.2625,72.59375
13000,15560.0,2583602553070874.0,-93.3875,101.125,73.0625
13100,15660.0,2583602653073998.5,-93.8625,101.5125,72.925
13200,15760.0,2583602753074311.5,-93.59375,101.66875,72.29375
13300,15860.0,2583602853072905.0,-93.65625,101.1,72.9
