timestamp,RPM,Speed
0,1319.0RPM,12.0km/h
800,1355.0RPM,13.0km/h
210,1237.0RPM,13.0km/h
410,1210.0RPM,13.0km/h
610,1180.0RPM,12.0km/h
810,1155.0RPM,11.0km/h
20,1133.0RPM,10.0km/h
220,1088.0RPM,10.0km/h
420,1080.0RPM,9.0km/h
620,1065.0RPM,8.0km/h
820,1065.0RPM,8.0km/h
30,1054.0RPM,7.0km/h
230,1048.0RPM,5.5km/h
430,1040.0RPM,5.0km/h
630,1021.0RPM,4.0km/h
830,1013.5RPM,3.5km/h
40,994.0RPM,3.0km/h
240,990.0RPM,2.5km/h
440,995.5RPM,2.0km/h
640,988.5RPM,2.0km/h
840,952.5RPM,1.5km/h
50,904.0RPM,1.0km/h
250,888.0RPM,0.0km/h
450,896.0RPM,0.0km/h
650,930.5RPM,1.0km/h
850,948.5RPM,2.0km/h
60,969.0RPM,2.0km/h
260,997.5RPM,3.0km/h
460,1044.0RPM,3.0km/h
660,1143.5RPM,3.5km/h
860,1234.5RPM,4.0km/h
70,1246.0RPM,5.0km/h
270,1235.5RPM,5.5km/h
470,1249.0RPM,6.0km/h
670,1296.0RPM,7.0km/h
870,1334.5RPM,7.5km/h
80,1385.5RPM,8.0km/h
280,1474.0RPM,9.0km/h
480,1591.0RPM,9.0km/h
680,1715.0RPM,10.0km/h
880,1781.5RPM,11.5km/h
90,1701.0RPM,13.0km/h
290,1601.0RPM,13.5km/h
490,1568.0RPM,14.5km/h
690,1541.0RPM,15.5km/h
890,1455.0RPM,17.0km/h
100,1386.0RPM,18.0km/h
300,1362.5RPM,18.5km/h
500,1344.5RPM,19.5km/h
700,1325.0RPM,20.0km/h
900,1299.0RPM,20.5km/h
110,1284.0RPM,21.0km/h
310,1265.0RPM,22.0km/h
510,1254.0RPM,22.0km/h
710,1256.5RPM,23.0km/h
910,1257.0RPM,23.0km/h
120,1253.5RPM,24.0km/h
320,1247.5RPM,24.5km/h
520,1247.5RPM,25.0km/h
720,1237.5RPM,25.5km/h
920,1236.0RPM,26.0km/h
130,1211.0RPM,26.5km/h
330,1196.0RPM,27.0km/h
530,1200.0RPM,27.0km/h
730,1194.5RPM,27.0km/h
930,1211.0RPM,28.0km/h
140,1214.0RPM,28.0km/h
340,1220.5RPM,28.0km/h
540,1217.5RPM,27.5km/h
740,1203.0RPM,27.0km/h
940,1172.5RPM,26.5km/h
150,1156.0RPM,26.0km/h
350,1186.0RPM,26.0km/h
550,1216.5RPM,25.5km/h
750,1220.0RPM,26.0km/h
950,1245.0RPM,26.0km/h
160,1222.5RPM,25.0km/h
360,1227.5RPM,25.0km/h
560,1228.0RPM,25.0km/h
760,1235.5RPM,25.0km/h
960,1232.0RPM,25.0km/h
170,1233.0RPM,25.0km/h
370,1232.5RPM,25.0km/h
570,1235.0RPM,25.0km/h
770,1208.0RPM,24.0km/h
970,1179.5RPM,23.5km/h
180,1183.5RPM,23.0km/h
380,1209.0RPM,23.0km/h
580,1226.5RPM,22.0km/h
780,1246.5RPM,22.0km/h
980,1244.0RPM,22.0km/h
190,1276.0RPM,22.0km/h
390,1297.0RPM,22.0km/h
590,1304.5RPM,22.0km/h
790,1293.0RPM,22.0km/h
990,1279.0RPM,21.0km/h
200,1292.5RPM,21.0km/h
400,1299.5RPM,21.0km/h
600,1283.0RPM,21.0km/h
800,1284.0RPM,21.0km/h
1000,1301.5RPM,21.0km/h
210,1309.0RPM,21.0km/h
410,1299.0RPM,20.5km/h
610,1282.0RPM,20.0km/h
810,1382.0RPM,20.0km/h
1010,1436.5RPM,20.0km/h
220,1450.5RPM,20.0km/h
420,1454.0RPM,20.0km/h
620,1422.0RPM,21.0km/h
820,1353.0RPM,21.0km/h
1020,1295.0RPM,21.0km/h
230,1285.0RPM,21.0km/h
430,1258.5RPM,21.0km/h
630,1243.0RPM,21.0km/h
830,1208.5RPM,22.0km/h
1030,1199.5RPM,22.0km/h
240,1260.0RPM,22.0km/h
440,1361.0RPM,22.0km/h
640,1432.0RPM,22.0km/h
840,1430.5RPM,22.0km/h
1040,1387.0RPM,22.0km/h
