timestamp,RPM,Speed
0,1395.0RPM,13.0km/h
800,1381.0RPM,14.0km/h
410,1290.0RPM,14.0km/h
510,1238.0RPM,14.0km/h
710,1198.0RPM,15.0km/h
910,1157.0RPM,15.0km/h
120,1167.0RPM,15.0km/h
320,1162.0RPM,15.0km/h
520,1167.0RPM,16.0km/h
620,1171.0RPM,16.0km/h
820,1175.0RPM,16.0km/h
920,1177.0RPM,16.0km/h
130,1176.0RPM,16.0km/h
230,1188.0RPM,17.0km/h
430,1175.0RPM,17.0km/h
530,1171.0RPM,17.0km/h
730,1183.0RPM,17.0km/h
830,1169.0RPM,17.0km/h
930,1168.0RPM,17.0km/h
40,1172.0RPM,17.0km/h
140,1160.0RPM,17.0km/h
240,1163.0RPM,17.0km/h
340,1159.0RPM,17.0km/h
540,1159.0RPM,17.0km/h
640,1163.0RPM,18.0km/h
740,1158.0RPM,18.0km/h
840,1166.0RPM,18.0km/h
940,1157.0RPM,18.0km/h
50,1162.0RPM,18.0km/h
150,1165.0RPM,18.0km/h
250,1152.0RPM,18.0km/h
350,1152.0RPM,18.0km/h
450,1154.0RPM,18.0km/h
550,1158.0RPM,18.0km/h
650,1154.0RPM,18.0km/h
750,1157.0RPM,18.0km/h
950,1162.0RPM,18.0km/h
60,1158.0RPM,18.0km/h
160,1160.0RPM,18.0km/h
260,1163.0RPM,18.0km/h
360,1161.0RPM,18.0km/h
460,1166.0RPM,18.0km/h
560,1163.0RPM,18.0km/h
660,1157.0RPM,19.0km/h
760,1160.0RPM,19.0km/h
860,1165.0RPM,19.0km/h
70,1151.0RPM,19.0km/h
170,1166.0RPM,19.0km/h
270,1161.0RPM,19.0km/h
370,1155.0RPM,19.0km/h
470,1165.0RPM,19.0km/h
570,1155.0RPM,19.0km/h
670,1161.0RPM,19.0km/h
770,1168.0RPM,19.0km/h
870,1155.0RPM,19.0km/h
970,1164.0RPM,19.0km/h
80,1171.0RPM,19.0km/h
180,1150.0RPM,19.0km/h
280,1150.0RPM,19.0km/h
380,1164.0RPM,19.0km/h
480,1152.0RPM,19.0km/h
680,1154.0RPM,19.0km/h
780,1155.0RPM,19.0km/h
880,1147.0RPM,19.0km/h
980,1152.0RPM,19.0km/h
90,1148.0RPM,19.0km/h
190,1148.0RPM,19.0km/h
290,1157.0RPM,19.0km/h
390,1154.0RPM,19.0km/h
490,1153.0RPM,19.0km/h
590,1158.0RPM,19.0km/h
690,1156.0RPM,19.0km/h
790,1158.0RPM,20.0km/h
890,1158.0RPM,20.0km/h
990,1156.0RPM,20.0km/h
100,1158.0RPM,20.0km/h
200,1150.0RPM,20.0km/h
300,1144.0RPM,20.0km/h
500,1150.0RPM,20.0km/h
600,1151.0RPM,20.0km/h
700,1142.0RPM,19.0km/h
800,1146.0RPM,20.0km/h
900,1151.0RPM,20.0km/h
1000,1139.0RPM,20.0km/h
110,1139.0RPM,20.0km/h
210,1155.0RPM,20.0km/h
310,1150.0RPM,20.0km/h
410,1151.0RPM,19.0km/h
510,1156.0RPM,20.0km/h
610,1167.0RPM,20.0km/h
710,1162.0RPM,20.0km/h
910,1167.0RPM,20.0km/h
1010,1169.0RPM,20.0km/h
120,1155.0RPM,20.0km/h
220,1164.0RPM,20.0km/h
320,1165.0RPM,20.0km/h
420,1171.0RPM,20.0km/h
520,1181.0RPM,20.0km/h
620,1170.0RPM,20.0km/h
720,1184.0RPM,21.0km/h
820,1182.0RPM,21.0km/h
1020,1174.0RPM,21.0km/h
130,1186.0RPM,21.0km/h
230,1175.0RPM,21.0km/h
330,1199.0RPM,21.0km/h
430,1181.0RPM,22.0km/h
530,1203.0RPM,22.0km/h
630,1208.0RPM,22.0km/h
830,1199.0RPM,23.0km/h
930,1235.0RPM,23.0km/h
1030,1224.0RPM,23.0km/h
140,1239.0RPM,23.0km/h
240,1241.0RPM,24.0km/h
340,1244.0RPM,24.0km/h
440,1243.0RPM,25.0km/h
640,1251.0RPM,25.0km/h
740,1246.0RPM,25.0km/h
840,1249.0RPM,26.0km/h
940,1248.0RPM,26.0km/h
1040,1246.0RPM,26.0km/h
250,1235.0RPM,27.0km/h
350,1224.0RPM,27.0km/h
450,1213.0RPM,27.0km/h
550,1226.0RPM,27.0km/h
650,1206.0RPM,28.0km/h
750,1214.0RPM,28.0km/h
850,1201.0RPM,28.0km/h
950,1211.0RPM,28.0km/h
1050,1179.0RPM,29.0km/h
160,1214.0RPM,29.0km/h
360,1192.0RPM,29.0km/h
460,1210.0RPM,29.0km/h
560,1179.0RPM,30.0km/h
660,1198.0RPM,30.0km/h
760,1192.0RPM,30.0km/h
860,1193.0RPM,30.0km/h
960,1182.0RPM,31.0km/h
1060,1187.0RPM,31.0km/h
270,1175.5RPM,31.0km/h
470,1170.0RPM,31.0km/h
570,1162.0RPM,31.0km/h
670,1164.0RPM,32.0km/h
770,1163.0RPM,32.0km/h
870,1170.0RPM,32.0km/h
970,1186.0RPM,32.0km/h
1070,1206.0RPM,32.0km/h
280,1197.0RPM,32.0km/h
380,1168.0RPM,32.0km/h
480,1190.0RPM,31.0km/h
580,1196.0RPM,31.0km/h
680,1219.0RPM,31.0km/h
780,1209.0RPM,31.0km/h
880,1215.0RPM,31.0km/h
980,1212.0RPM,31.0km/h
1080,1200.0RPM,31.0km/h
190,1206.0RPM,30.0km/h
290,1197.0RPM,30.0km/h
490,1207.0RPM,30.0km/h
590,1206.0RPM,29.0km/h
690,1218.0RPM,29.0km/h
790,1210.0RPM,29.0km/h
890,1224.0RPM,29.0km/h
990,1221.0RPM,29.0km/h
1090,1231.0RPM,28.0km/h
200,1223.0RPM,28.0km/h
300,1224.0RPM,28.0km/h
400,1223.0RPM,28.0km/h
600,1263.0RPM,27.0km/h
700,1210.0RPM,27.0km/h
800,1206.0RPM,27.0km/h
900,1230.0RPM,27.0km/h
1000,1188.0RPM,27.0km/h
1100,1199.0RPM,27.0km/h
210,1174.0RPM,27.0km/h
310,1180.0RPM,27.0km/h
410,1160.0RPM,27.0km/h
610,1178.0RPM,27.0km/h
710,1176.0RPM,27.0km/h
810,1191.0RPM,27.0km/h
910,1211.0RPM,27.0km/h
1010,1253.0RPM,27.0km/h
1110,1275.0RPM,27.0km/h
220,1266.0RPM,27.0km/h
320,1248.0RPM,27.0km/h
420,1261.0RPM,27.0km/h
520,1254.0RPM,27.0km/h
620,1262.0RPM,27.0km/h
720,1221.0RPM,27.0km/h
820,1236.0RPM,26.0km/h
920,1223.0RPM,26.0km/h
1020,1233.0RPM,26.0km/h
1120,1202.0RPM,26.0km/h
230,1229.0RPM,26.0km/h
330,1219.0RPM,25.0km/h
530,1233.0RPM,25.0km/h
630,1226.0RPM,25.0km/h
730,1222.0RPM,25.0km/h
830,1223.0RPM,24.0km/h
930,1218.0RPM,24.0km/h
1030,1227.0RPM,24.0km/h
1130,1221.0RPM,24.0km/h
240,1222.0RPM,23.0km/h
340,1232.0RPM,23.0km/h
440,1225.0RPM,23.0km/h
540,1228.0RPM,23.0km/h
640,1219.0RPM,23.0km/h
740,1216.0RPM,22.0km/h
840,1216.0RPM,22.0km/h
1040,1187.0RPM,22.0km/h
1140,1103.0RPM,22.0km/h
250,1059.0RPM,21.0km/h
350,1036.0RPM,21.0km/h
450,1110.0RPM,21.0km/h
550,1246.0RPM,21.0km/h
650,1253.0RPM,21.0km/h
750,1240.0RPM,21.0km/h
850,1213.0RPM,21.0km/h
950,1203.0RPM,20.0km/h
1050,1202.0RPM,20.0km/h
1150,1198.0RPM,20.0km/h
360,1188.0RPM,19.0km/h
460,1172.0RPM,18.5km/h
660,1138.0RPM,18.0km/h
760,1123.0RPM,17.0km/h
860,1121.0RPM,17.0km/h
960,1116.0RPM,16.0km/h
1060,1114.0RPM,16.0km/h
1160,1131.0RPM,16.0km/h
270,1139.0RPM,16.0km/h
370,1147.0RPM,15.0km/h
470,1152.0RPM,15.0km/h
570,1140.0RPM,14.0km/h
670,1128.0RPM,14.0km/h
770,1120.0RPM,14.0km/h
870,1092.0RPM,13.0km/h
970,1080.0RPM,13.0km/h
1070,1058.0RPM,12.0km/h
1170,1029.0RPM,12.0km/h
380,1003.0RPM,11.0km/h
480,991.0RPM,11.0km/h
580,990.0RPM,11.0km/h
680,987.0RPM,11.0km/h
780,980.0RPM,10.0km/h
880,976.0RPM,10.0km/h
1080,952.0RPM,10.0km/h
1180,941.0RPM,10.0km/h
290,921.0RPM,9.0km/h
