system_time,timestamp,lat,lon,speed,bearing
1970-01-01 00:00:01.900,1508975978553.0,43.01578919281751,-78.81844061489713,1.1992029,0.0
1970-01-01 00:00:02.000,,,,,
1970-01-01 00:00:02.100,1508975978753.0,43.015805135916175,-78.81845222696774,0.91477984,0.0
1970-01-01 00:00:02.200,,,,,
1970-01-01 00:00:02.300,,,,,
1970-01-01 00:00:02.400,,,,,
1970-01-01 00:00:02.500,,,,,
1970-01-01 00:00:02.600,,,,,
1970-01-01 00:00:02.700,,,,,
1970-01-01 00:00:02.800,,,,,
1970-01-01 00:00:02.900,,,,,
1970-01-01 00:00:03.000,1508975979753.0,43.015800349645545,-78.81859722511341,0.87948793,0.0
1970-01-01 00:00:03.100,,,,,
1970-01-01 00:00:03.200,,,,,
1970-01-01 00:00:03.300,,,,,
1970-01-01 00:00:03.400,,,,,
1970-01-01 00:00:03.500,,,,,
1970-01-01 00:00:03.600,,,,,
1970-01-01 00:00:03.700,,,,,
1970-01-01 00:00:03.800,,,,,
1970-01-01 00:00:03.900,,,,,
1970-01-01 00:00:04.000,1508975981000.0,43.01581130090918,-78.81852195640059,0.36646873,0.0
1970-01-01 00:00:04.100,,,,,
1970-01-01 00:00:04.200,,,,,
1970-01-01 00:00:04.300,,,,,
1970-01-01 00:00:04.400,,,,,
1970-01-01 00:00:04.500,,,,,
1970-01-01 00:00:04.600,,,,,
1970-01-01 00:00:04.700,,,,,
1970-01-01 00:00:04.800,,,,,
1970-01-01 00:00:04.900,,,,,
1970-01-01 00:00:05.000,,,,,
1970-01-01 00:00:05.100,,,,,
1970-01-01 00:00:05.200,,,,,
1970-01-01 00:00:05.300,1508975982000.0,43.015798148461506,-78.81849538712169,0.54844904,0.0
1970-01-01 00:00:05.400,,,,,
1970-01-01 00:00:05.500,,,,,
1970-01-01 00:00:05.600,,,,,
1970-01-01 00:00:05.700,,,,,
1970-01-01 00:00:05.800,,,,,
1970-01-01 00:00:05.900,,,,,
1970-01-01 00:00:06.000,,,,,
1970-01-01 00:00:06.100,,,,,
1970-01-01 00:00:06.200,,,,,
1970-01-01 00:00:06.300,1508975983000.0,43.015869505599426,-78.81855742083701,1.7706816000000003,330.53174
1970-01-01 00:00:06.400,,,,,
1970-01-01 00:00:06.500,,,,,
1970-01-01 00:00:06.600,,,,,
1970-01-01 00:00:06.700,,,,,
1970-01-01 00:00:06.800,,,,,
1970-01-01 00:00:06.900,,,,,
1970-01-01 00:00:07.000,,,,,
1970-01-01 00:00:07.100,,,,,
1970-01-01 00:00:07.200,,,,,
1970-01-01 00:00:07.300,1508975984000.0,43.01588895913085,-78.81856609251946,1.8948044999999998,313.97153
1970-01-01 00:00:07.400,,,,,
1970-01-01 00:00:07.500,,,,,
1970-01-01 00:00:07.600,,,,,
1970-01-01 00:00:07.700,,,,,
1970-01-01 00:00:07.800,,,,,
1970-01-01 00:00:07.900,,,,,
1970-01-01 00:00:08.000,,,,,
1970-01-01 00:00:08.100,,,,,
1970-01-01 00:00:08.200,,,,,
1970-01-01 00:00:08.300,1508975985000.0,43.0159118055461,-78.81858188116428,2.0374715,318.86685
1970-01-01 00:00:08.400,,,,,
1970-01-01 00:00:08.500,,,,,
1970-01-01 00:00:08.600,,,,,
1970-01-01 00:00:08.700,,,,,
1970-01-01 00:00:08.800,,,,,
1970-01-01 00:00:08.900,,,,,
1970-01-01 00:00:09.000,,,,,
1970-01-01 00:00:09.100,,,,,
1970-01-01 00:00:09.200,,,,,
1970-01-01 00:00:09.300,1508975986000.0,43.01592608343791,-78.81859270964256,1.4664332,326.54504
1970-01-01 00:00:09.400,,,,,
1970-01-01 00:00:09.500,,,,,
1970-01-01 00:00:09.600,,,,,
1970-01-01 00:00:09.700,,,,,
1970-01-01 00:00:09.800,,,,,
1970-01-01 00:00:09.900,,,,,
1970-01-01 00:00:10.000,,,,,
1970-01-01 00:00:10.100,,,,,
1970-01-01 00:00:10.200,,,,,
1970-01-01 00:00:10.300,1508975987000.0,43.015935704205674,-78.81860305715429,1.837502,347.3409
1970-01-01 00:00:10.400,,,,,
1970-01-01 00:00:10.500,,,,,
1970-01-01 00:00:10.600,,,,,
1970-01-01 00:00:10.700,,,,,
1970-01-01 00:00:10.800,,,,,
1970-01-01 00:00:10.900,,,,,
1970-01-01 00:00:11.000,,,,,
1970-01-01 00:00:11.100,,,,,
1970-01-01 00:00:11.200,,,,,
1970-01-01 00:00:11.300,1508975988000.0,43.01590961566159,-78.81858699358729,1.0530814,1.1101553
1970-01-01 00:00:11.400,,,,,
1970-01-01 00:00:11.500,,,,,
1970-01-01 00:00:11.600,,,,,
1970-01-01 00:00:11.700,,,,,
1970-01-01 00:00:11.800,,,,,
1970-01-01 00:00:11.900,,,,,
1970-01-01 00:00:12.000,,,,,
1970-01-01 00:00:12.100,,,,,
1970-01-01 00:00:12.200,,,,,
1970-01-01 00:00:12.300,1508975989000.0,43.0158680121593,-78.81855634883078,0.82609284,28.313908
1970-01-01 00:00:12.400,,,,,
1970-01-01 00:00:12.500,,,,,
1970-01-01 00:00:12.600,,,,,
1970-01-01 00:00:12.700,,,,,
1970-01-01 00:00:12.800,,,,,
1970-01-01 00:00:12.900,,,,,
1970-01-01 00:00:13.000,,,,,
