sys_time,RPM,Speed
1970-01-01 00:00:00,1667.0RPM,0.0km/h
1970-01-01 00:00:00.810000,1652.0RPM,0.0km/h
1970-01-01 00:00:01.390000,1646.0RPM,0.0km/h
1970-01-01 00:00:01.580000,1663.0RPM,0.0km/h
1970-01-01 00:00:01.760000,1660.0RPM,0.0km/h
1970-01-01 00:00:01.950000,1560.0RPM,0.0km/h
1970-01-01 00:00:02.160000,1406.0RPM,0.0km/h
1970-01-01 00:00:02.360000,1223.0RPM,0.0km/h
1970-01-01 00:00:02.520000,1043.0RPM,0.0km/h
1970-01-01 00:00:02.680000,1032.0RPM,0.0km/h
1970-01-01 00:00:02.830000,1075.0RPM,0.0km/h
1970-01-01 00:00:03,1084.0RPM,0.0km/h
1970-01-01 00:00:03.160000,1033.0RPM,0.0km/h
1970-01-01 00:00:03.310000,999.0RPM,0.0km/h
1970-01-01 00:00:03.470000,971.0RPM,0.0km/h
1970-01-01 00:00:03.630000,940.0RPM,0.0km/h
1970-01-01 00:00:03.760000,908.0RPM,0.0km/h
1970-01-01 00:00:03.850000,897.0RPM,0.0km/h
1970-01-01 00:00:03.960000,879.0RPM,0.0km/h
1970-01-01 00:00:04.090000,862.0RPM,2.0km/h
1970-01-01 00:00:04.190000,868.0RPM,2.0km/h
1970-01-01 00:00:04.300000,875.0RPM,2.0km/h
1970-01-01 00:00:04.400000,891.0RPM,2.0km/h
1970-01-01 00:00:04.500000,934.0RPM,2.0km/h
1970-01-01 00:00:04.610000,982.0RPM,2.0km/h
1970-01-01 00:00:04.710000,1073.0RPM,3.0km/h
1970-01-01 00:00:04.810000,1133.0RPM,3.0km/h
1970-01-01 00:00:04.920000,1190.0RPM,3.0km/h
1970-01-01 00:00:05.020000,1225.0RPM,4.0km/h
1970-01-01 00:00:05.130000,1239.0RPM,4.0km/h
1970-01-01 00:00:05.250000,1266.0RPM,4.0km/h
1970-01-01 00:00:05.350000,1330.0RPM,5.0km/h
1970-01-01 00:00:05.460000,1354.0RPM,5.0km/h
1970-01-01 00:00:05.560000,1439.0RPM,6.0km/h
1970-01-01 00:00:05.660000,1492.0RPM,6.0km/h
1970-01-01 00:00:05.770000,1515.0RPM,7.0km/h
1970-01-01 00:00:05.870000,1542.0RPM,7.0km/h
1970-01-01 00:00:05.990000,1558.0RPM,8.0km/h
1970-01-01 00:00:06.100000,1528.0RPM,8.0km/h
1970-01-01 00:00:06.210000,1482.0RPM,8.0km/h
1970-01-01 00:00:06.310000,1365.0RPM,9.0km/h
1970-01-01 00:00:06.410000,1312.0RPM,9.0km/h
1970-01-01 00:00:06.550000,1200.0RPM,9.0km/h
1970-01-01 00:00:06.640000,1178.0RPM,9.0km/h
1970-01-01 00:00:06.750000,1128.0RPM,9.0km/h
1970-01-01 00:00:06.850000,1114.0RPM,9.0km/h
1970-01-01 00:00:06.950000,1089.0RPM,9.0km/h
1970-01-01 00:00:07.050000,1084.0RPM,9.0km/h
1970-01-01 00:00:07.160000,1062.0RPM,8.0km/h
