sys_time,RPM,Speed
0,1667.0,0.0
800,1652.0,0.0
1300,1646.0,0.0
1500,1663.0,0.0
1700,1660.0,0.0
1900,1560.0,0.0
2100,1406.0,0.0
2300,1223.0,0.0
2500,1043.0,0.0
2600,1032.0,0.0
2800,1075.0,0.0
3000,1084.0,0.0
3100,1033.0,0.0
3300,999.0,0.0
3400,971.0,0.0
3600,940.0,0.0
3700,908.0,0.0
3800,897.0,0.0
3900,879.0,0.0
4000,862.0,2.0
4100,868.0,2.0
4300,875.0,2.0
4400,891.0,2.0
4500,934.0,2.0
4600,982.0,2.0
4700,1073.0,3.0
4800,1133.0,3.0
4900,1190.0,3.0
5000,1225.0,4.0
5100,1239.0,4.0
5200,1266.0,4.0
5300,1330.0,5.0
5400,1354.0,5.0
5500,1439.0,6.0
5600,1492.0,6.0
5700,1515.0,7.0
5800,1542.0,7.0
5900,1558.0,8.0
6100,1528.0,8.0
6200,1482.0,8.0
6300,1365.0,9.0
6400,1312.0,9.0
6500,1200.0,9.0
6600,1178.0,9.0
6700,1128.0,9.0
6800,1114.0,9.0
6900,1089.0,9.0
7000,1084.0,9.0
7100,1062.0,8.0
7200,1033.0,8.0
7300,1001.0,8.0
7400,971.0,7.0
7600,922.0,6.0
7700,918.0,5.0
7800,908.0,5.0
7900,898.0,4.0
8000,892.0,3.0
8200,891.0,3.0
8300,897.0,2.0
8400,913.0,2.0
8500,927.0,0.0
8600,950.0,0.0
8700,961.0,0.0
8800,984.0,0.0
8900,999.0,0.0
9000,1009.0,0.0
9100,1023.0,0.0
9200,1025.0,0.0
9300,1041.0,0.0
9400,1118.0,0.0
9600,1190.0,0.0
9700,1254.0,0.0
9800,1292.0,0.0
9900,1289.0,0.0
10000,1260.0,0.0
10200,1164.0,0.0
10400,1088.0,0.0
10500,1021.0,0.0
10600,953.0,0.0
10700,929.0,0.0
10800,902.0,0.0
10900,871.0,0.0
11000,863.0,0.0
11100,864.0,0.0
11200,870.0,0.0
11300,876.0,0.0
11400,880.0,0.0
11500,883.0,0.0
11700,903.0,0.0
11800,922.0,0.0
11900,930.0,0.0
12000,938.0,2.0
12100,936.0,2.0
12200,944.0,2.0
12300,964.0,2.0
12400,982.0,2.0
12500,1006.0,2.0
12600,1027.0,3.0
12700,1118.0,3.0
12800,1154.0,3.0
12900,1256.0,3.0
13000,1290.0,3.0
13100,1275.0,4.0
13200,1178.0,4.0
13300,1129.0,4.0
13400,1070.0,5.0
13500,1003.0,5.0
13700,974.0,5.0
13800,954.0,5.0
13900,948.0,5.0
14000,936.0,4.0
14100,931.0,4.0
14200,922.0,4.0
14300,919.0,4.0
14400,906.0,3.0
14500,896.0,3.0
14600,887.0,2.0
14700,874.0,2.0
14800,873.0,2.0
14900,877.0,0.0
15000,901.0,0.0
15100,923.0,0.0
15200,958.0,0.0
15300,988.0,0.0
15400,1001.0,0.0
15500,1008.0,0.0
15600,1014.0,0.0
15800,1053.0,0.0
15900,1091.0,0.0
16000,1131.0,0.0
16100,1134.0,0.0
16200,1122.0,0.0
16300,1065.0,0.0
16400,1010.0,0.0
16600,974.0,0.0
16700,966.0,0.0
16800,951.0,0.0
16900,941.0,0.0
17000,945.0,0.0
17100,952.0,0.0
17200,995.0,0.0
17300,1085.0,2.0
17400,1379.0,2.0
17500,1494.0,3.0
17600,1662.0,4.0
17700,1777.0,5.0
17800,1820.0,6.0
18000,1808.0,7.0
18100,1799.0,8.0
18200,1791.0,8.0
18300,1819.0,9.0
18400,1834.0,10.0
18500,1868.0,11.0
18600,1889.0,12.0
18700,1892.0,12.0
18800,1852.0,13.0
18900,1789.0,13.0
19000,1768.0,14.0
19200,1727.0,14.0
19300,1657.0,15.0
19400,1618.0,15.0
19500,1604.0,16.0
19600,1563.0,16.0
19700,1537.0,17.0
19800,1486.0,17.0
19900,1426.0,18.0
20000,1404.0,18.0
20100,1389.0,19.0
20200,1366.0,19.0
20300,1360.0,20.0
20400,1343.0,20.0
20500,1330.0,21.0
20600,1336.0,21.0
20700,1355.0,21.0
20800,1330.0,22.0
20900,1336.0,22.0
21000,1347.0,23.0
21100,1325.0,23.0
21200,1334.0,23.0
21300,1334.0,24.0
21500,1317.0,24.0
21600,1334.0,25.0
21700,1353.0,25.0
21800,1375.0,25.0
21900,1391.0,26.0
22000,1424.0,26.0
22100,1449.0,26.0
22200,1476.0,27.0
22300,1502.0,27.0
22400,1530.0,28.0
22600,1542.0,28.0
22700,1529.0,29.0
22800,1534.0,29.0
22900,1518.0,30.0
23000,1491.0,30.0
23100,1487.0,31.0
23300,1480.0,31.0
23400,1458.0,32.0
23500,1445.0,32.0
23600,1441.0,32.0
23700,1445.0,33.0
23800,1439.0,33.0
23900,1447.0,33.0
24000,1427.0,34.0
24100,1451.0,34.0
24200,1422.0,34.0
24400,1436.0,35.0
24500,1410.0,35.0
24600,1421.0,35.0
24700,1400.0,35.0
24800,1388.0,36.0
24900,1374.0,36.0
25000,1378.0,36.0
25100,1366.0,37.0
25300,1356.0,37.0
25400,1367.0,37.0
25500,1369.0,37.0
25600,1400.0,38.0
25700,1383.0,38.0
25800,1402.0,38.0
25900,1389.0,38.0
26000,1411.0,38.0
26100,1391.0,39.0
26200,1415.0,39.0
26300,1412.0,39.0
26500,1410.5,39.5
26700,1403.0,40.0
26800,1396.0,40.0
26900,1389.0,40.0
27000,1391.0,41.0
27100,1389.0,41.0
27200,1395.0,41.0
27300,1386.0,41.0
27400,1401.0,42.0
27500,1393.0,42.0
27600,1404.0,42.0
27700,1400.0,42.0
27800,1400.0,43.0
27900,1408.0,43.0
28000,1396.0,43.0
28200,1398.0,43.0
28300,1410.0,43.0
28400,1390.0,44.0
28500,1387.0,44.0
28600,1409.0,44.0
28700,1394.0,44.0
28900,1396.0,44.0
29100,1405.0,45.0
29200,1403.0,45.0
29300,1397.0,45.0
29400,1391.0,45.0
29500,1391.0,45.0
29600,1396.0,46.0
29700,1391.0,46.0
29800,1406.0,46.0
29900,1401.0,46.0
30000,1419.0,47.0
30100,1419.0,47.0
30300,1421.0,47.0
30400,1425.0,47.0
30500,1408.0,47.0
30600,1410.0,48.0
30700,1406.0,48.0
30900,1396.0,48.0
31000,1401.0,48.0
31100,1393.0,49.0
31200,1391.0,49.0
31300,1388.0,49.0
31400,1382.0,49.0
31500,1362.0,49.0
31600,1349.0,49.0
31700,1317.0,49.0
31800,1296.0,49.0
31900,1265.0,50.0
32000,1239.0,50.0
32100,1212.0,50.0
32200,1202.0,50.0
32300,1185.0,50.0
32400,1174.0,50.0
32500,1164.0,50.0
32600,1156.0,50.0
32700,1154.0,50.0
32800,1145.0,50.0
33000,1142.0,50.0
33100,1140.0,50.0
33200,1144.0,50.0
33300,1145.0,50.0
33400,1143.0,50.0
33500,1143.0,50.0
33600,1147.0,50.0
33700,1142.0,50.0
33800,1144.0,50.0
33900,1149.0,50.0
